procs -----------------------memory---------------------- ---swap-- -----io---- -system-- --------cpu--------
r,b,swpd,free,buff,cache,si,so,bi,bo,in,cs,s,sy,id,wa,st
6,0,0,6245888,356064,994348,0,0,1,15,45,52,3,2,96,0,0
0,0,0,6245888,356064,994360,0,0,0,35,750,1411,2,2,96,0,0
0,0,0,6245636,356064,994364,0,0,0,31,743,1386,2,2,97,0,0
0,0,0,6245636,356064,994368,0,0,0,27,815,1548,2,2,96,0,0
0,0,0,6245636,356064,994380,0,0,0,29,775,1444,2,2,96,0,0
0,0,0,6245132,356064,994384,0,0,0,28,755,1426,2,2,96,0,0
0,0,0,6245132,356064,994376,0,0,0,28,704,1334,2,2,96,0,0
0,0,0,6243180,356064,994376,0,0,0,28,806,1545,2,2,96,0,0
0,0,0,6245332,356064,994388,0,0,0,29,818,1542,3,2,96,0,0
0,0,0,6246124,356064,994380,0,0,0,29,813,1567,2,2,96,0,0
0,0,0,6248184,356064,994376,0,0,0,29,757,1418,2,2,96,0,0
0,0,0,6242536,356064,994380,0,0,0,29,768,1422,2,2,96,0,0
0,0,0,6244496,356068,994380,0,0,0,24,840,1579,3,2,96,0,0
0,0,0,6239896,356068,994388,0,0,0,29,634,1220,2,2,97,0,0
0,0,0,6239896,356068,994388,0,0,0,33,780,1453,2,2,96,0,0
4,0,0,6239896,356068,994400,0,0,0,26,805,1495,2,2,95,0,0
0,0,0,6239896,356068,994400,0,0,0,24,774,1472,2,2,96,0,0
0,0,0,6239896,356068,994400,0,0,0,28,688,1298,2,1,97,0,0
0,0,0,6239644,356068,994392,0,0,0,29,805,1548,2,2,96,0,0
0,0,0,6239644,356068,994388,0,0,0,29,785,1470,2,2,96,0,0
0,0,0,6239644,356068,994388,0,0,0,22,793,1529,2,2,96,0,0
2,0,0,6239644,356068,994384,0,0,0,23,770,1431,2,2,96,0,0
1,0,0,6239392,356068,994380,0,0,0,30,800,1533,2,2,96,0,0
0,0,0,6239392,356068,994380,0,0,0,33,743,1404,2,2,96,0,0
0,0,0,6239392,356068,994384,0,0,0,26,825,1572,2,2,96,0,0
