procs -----------------------memory---------------------- ---swap-- -----io---- -system-- --------cpu--------
r,b,swpd,free,buff,cache,si,so,bi,bo,in,cs,us,sy,id,wa,st
2,0,0,6239140,356068,999272,0,0,1,15,45,52,3,2,96,0,0
2,0,0,6238888,356068,1000496,0,0,241,22,1467,1328,46,2,52,0,0
2,0,0,6238888,356068,1000500,0,0,0,25,1548,1577,45,2,53,0,0
0,0,0,6236116,356068,1000512,0,0,0,31,1619,1570,50,2,48,0,0
0,0,0,6233596,356068,1000532,0,0,0,30,1554,1345,51,1,48,0,0
0,0,0,6235804,356068,1000540,0,0,0,29,1656,1520,52,2,47,0,0
0,0,0,6234796,356068,1000540,0,0,0,29,1605,1534,51,2,47,0,0
3,0,0,6234292,356068,1000540,0,0,0,28,1591,1424,52,1,47,0,0
0,0,0,6235032,356068,1000548,0,0,0,29,1640,1517,50,1,48,0,0
0,0,0,6231256,356068,1000552,0,0,0,29,1657,1485,52,2,47,0,0
0,0,0,6231032,356068,1000548,0,0,0,36,1597,1447,51,1,48,0,0
0,0,0,6230792,356068,1000548,0,0,0,23,1677,1355,57,2,41,0,0
0,0,0,6232336,356068,1000552,0,0,0,29,1651,1584,51,2,48,0,0
1,0,0,6231872,356068,1000552,0,0,0,28,1691,1592,52,2,47,0,0
0,0,0,6232656,356068,1000548,0,0,0,29,1640,1476,53,2,45,0,0
2,0,0,6232432,356068,1000548,0,0,0,28,1635,1485,51,2,48,0,0
2,0,0,6230340,356068,1000540,0,0,0,34,1587,1437,49,2,49,0,0
2,0,0,6230088,356068,1000544,0,0,0,36,1638,1492,52,2,47,0,0
3,0,0,6230088,356068,1000548,0,0,0,28,1536,1318,49,1,50,0,0
2,0,0,6230088,356068,1000548,0,0,0,24,1650,1500,53,2,46,0,0
2,0,0,6230088,356068,1000548,0,0,0,26,1637,1601,50,2,48,0,0
2,0,0,6230088,356068,1000544,0,0,0,29,1663,1657,48,2,50,0,0
1,0,0,6230088,356068,1000544,0,0,0,25,1460,1340,47,1,51,0,0
1,0,0,6230088,356068,1000548,0,0,0,28,1628,1562,52,2,46,0,0
0,0,0,6230088,356068,998392,0,0,0,29,1639,1623,50,2,49,0,0
