procs -----------------------memory---------------------- ---swap-- -----io---- -system-- --------cpu--------
 r  b         swpd         free         buff        cache   si   so    bi    bo   in   cs  us  sy  id  wa  st
 2  0            0      6232008       356068      1000480    0    0     1    15   45   53   3   2  96   0   0
 2  0            0      6232008       356068      1000544    0    0     0    25 1646 1545  52   2  46   0   0
 1  0            0      6232008       356068      1000552    0    0     0    34 1573 1482  47   2  51   0   0
 2  0            0      6232008       356068      1000556    0    0     0    28 1560 1288  52   1  47   0   0
 1  0            0      6232008       356068      1000556    0    0     0    28 1639 1478  52   2  46   0   0
 2  0            0      6232008       356068      1000560    0    0     0    28 1703 1573  53   2  46   0   0
 2  0            0      6232008       356068      1000560    0    0     0    36 1709 1710  52   2  47   0   0
 2  0            0      6232008       356068      1000552    0    0     0    29 1609 1384  52   1  47   0   0
 2  0            0      6232008       356068      1000560    0    0     0    26 1606 1513  50   2  49   0   0
 1  0            0      6232008       356068      1000564    0    0     0    36 1633 1572  49   2  49   0   0
 1  0            0      6234216       356068      1000552    0    0     0    31 1656 1464  52   2  47   0   0
 0  0            0      6234216       356068      1000548    0    0     0    24 1692 1504  54   2  44   0   0
 0  0            0      6234216       356068      1000548    0    0     0    29 1716 1613  52   2  46   0   0
 0  0            0      6234216       356068      1000548    0    0     0    30 1763 1681  53   2  46   0   0
 0  0            0      6234216       356068      1000560    0    0     0    34 1523 1338  50   1  49   0   0
 0  0            0      6233964       356068      1000560    0    0     0    29 1641 1463  51   2  48   0   0
 1  0            0      6233964       356068      1000572    0    0     0    29 1667 1521  52   2  47   0   0
 0  0            0      6233964       356068      1000564    0    0     0    28 1656 1552  50   2  48   0   0
 1  0            0      6233916       356068      1000568    0    0     0    26 1561 1324  51   1  47   0   0
 0  0            0      6233916       356068      1000544    0    0     0    23 1731 1703  51   2  47   0   0
 0  0            0      6229820       356068      1000556    0    0     0    24 1729 1648  52   2  46   0   0
procs -----------------------memory---------------------- ---swap-- -----io---- -system-- --------cpu--------
 r  b         swpd         free         buff        cache   si   so    bi    bo   in   cs  us  sy  id  wa  st
 1  0            0      6229820       356068      1000560    0    0     0     8 1556 1351  50   2  48   0   0
 1  0            0      6232028       356068      1000564    0    0     0    26 1523 1167  51   1  48   0   0
 1  0            0      6232028       356068      1000568    0    0     0    29 1682 1562  51   2  47   0   0
 0  0            0      6232028       356068       998476    0    0     0    28 1699 1633  52   2  46   0   0
 1  0            0      6234028       356068       998404    0    0     0    30  759 1408   2   2  96   0   0
