starttime	seconds	ctime	dtime	ttime	wait
Sat Nov 26 17:15:07 2022	1669482907	0	2	2	0
Sat Nov 26 17:15:07 2022	1669482907	0	2	2	0
Sat Nov 26 17:15:07 2022	1669482907	0	2	2	0
Sat Nov 26 17:15:07 2022	1669482907	0	2	2	0
Sat Nov 26 17:15:07 2022	1669482907	0	2	2	0
Sat Nov 26 17:15:07 2022	1669482907	0	2	2	0
Sat Nov 26 17:15:07 2022	1669482907	0	2	2	0
Sat Nov 26 17:15:07 2022	1669482907	0	2	2	0
Sat Nov 26 17:15:07 2022	1669482907	0	2	2	0
Sat Nov 26 17:15:07 2022	1669482907	0	2	2	0
Sat Nov 26 17:15:07 2022	1669482907	0	2	2	0
Sat Nov 26 17:15:07 2022	1669482907	0	2	2	0
Sat Nov 26 17:15:07 2022	1669482907	0	2	2	0
Sat Nov 26 17:15:07 2022	1669482907	0	2	2	0
Sat Nov 26 17:15:07 2022	1669482907	0	2	2	0
Sat Nov 26 17:15:07 2022	1669482907	0	2	2	0
Sat Nov 26 17:15:07 2022	1669482907	0	3	3	0
Sat Nov 26 17:15:07 2022	1669482907	0	3	3	0
Sat Nov 26 17:15:07 2022	1669482907	0	3	3	0
Sat Nov 26 17:15:07 2022	1669482907	0	3	3	0
Sat Nov 26 17:15:07 2022	1669482907	0	3	3	0
Sat Nov 26 17:15:07 2022	1669482907	0	3	3	0
Sat Nov 26 17:15:07 2022	1669482907	0	3	3	0
Sat Nov 26 17:15:07 2022	1669482907	0	4	4	0
Sat Nov 26 17:15:07 2022	1669482907	0	4	4	0
Sat Nov 26 17:15:07 2022	1669482907	0	4	4	0
Sat Nov 26 17:15:07 2022	1669482907	0	4	4	0
Sat Nov 26 17:15:07 2022	1669482907	0	4	4	0
Sat Nov 26 17:15:07 2022	1669482907	0	4	4	0
Sat Nov 26 17:15:07 2022	1669482907	0	4	4	0
Sat Nov 26 17:15:07 2022	1669482907	0	4	4	0
Sat Nov 26 17:15:07 2022	1669482907	0	4	4	0
Sat Nov 26 17:15:07 2022	1669482907	0	4	4	0
Sat Nov 26 17:15:06 2022	1669482906	0	4	4	0
Sat Nov 26 17:15:06 2022	1669482906	0	4	4	0
Sat Nov 26 17:15:06 2022	1669482906	0	4	4	0
Sat Nov 26 17:15:06 2022	1669482906	0	4	4	0
Sat Nov 26 17:15:06 2022	1669482906	0	4	4	0
Sat Nov 26 17:15:07 2022	1669482907	0	4	4	0
Sat Nov 26 17:15:06 2022	1669482906	0	4	4	0
Sat Nov 26 17:15:06 2022	1669482906	0	4	4	0
Sat Nov 26 17:15:06 2022	1669482906	0	4	4	0
Sat Nov 26 17:15:06 2022	1669482906	0	4	4	0
Sat Nov 26 17:15:06 2022	1669482906	0	4	4	0
Sat Nov 26 17:15:06 2022	1669482906	0	4	4	0
Sat Nov 26 17:15:06 2022	1669482906	0	4	4	0
Sat Nov 26 17:15:07 2022	1669482907	0	4	4	0
Sat Nov 26 17:15:06 2022	1669482906	0	4	4	0
Sat Nov 26 17:15:06 2022	1669482906	0	4	4	0
Sat Nov 26 17:15:06 2022	1669482906	0	4	4	0
Sat Nov 26 17:15:06 2022	1669482906	0	4	4	0
Sat Nov 26 17:15:06 2022	1669482906	0	4	4	0
Sat Nov 26 17:15:06 2022	1669482906	0	4	4	0
Sat Nov 26 17:15:06 2022	1669482906	0	4	4	0
Sat Nov 26 17:15:06 2022	1669482906	0	5	5	0
Sat Nov 26 17:15:06 2022	1669482906	0	5	5	0
Sat Nov 26 17:15:06 2022	1669482906	0	5	5	0
Sat Nov 26 17:15:07 2022	1669482907	0	5	5	0
Sat Nov 26 17:15:07 2022	1669482907	0	5	5	0
Sat Nov 26 17:15:07 2022	1669482907	0	5	5	0
Sat Nov 26 17:15:06 2022	1669482906	0	5	5	0
Sat Nov 26 17:15:07 2022	1669482907	0	5	5	0
Sat Nov 26 17:15:06 2022	1669482906	0	5	5	0
Sat Nov 26 17:15:07 2022	1669482907	0	5	5	0
Sat Nov 26 17:15:06 2022	1669482906	0	5	5	0
Sat Nov 26 17:15:06 2022	1669482906	0	5	5	0
Sat Nov 26 17:15:06 2022	1669482906	0	5	5	0
Sat Nov 26 17:15:07 2022	1669482907	0	5	5	0
Sat Nov 26 17:15:07 2022	1669482907	0	5	5	0
Sat Nov 26 17:15:06 2022	1669482906	0	5	5	0
Sat Nov 26 17:15:07 2022	1669482907	0	5	5	0
Sat Nov 26 17:15:06 2022	1669482906	0	5	5	0
Sat Nov 26 17:15:04 2022	1669482904	0	5	5	0
Sat Nov 26 17:15:06 2022	1669482906	0	5	5	0
Sat Nov 26 17:15:06 2022	1669482906	0	5	5	0
Sat Nov 26 17:15:05 2022	1669482905	0	5	5	0
Sat Nov 26 17:15:06 2022	1669482906	0	5	5	0
Sat Nov 26 17:15:07 2022	1669482907	0	5	5	0
Sat Nov 26 17:15:07 2022	1669482907	0	5	5	0
Sat Nov 26 17:15:06 2022	1669482906	0	5	5	0
Sat Nov 26 17:15:07 2022	1669482907	0	5	5	0
Sat Nov 26 17:15:06 2022	1669482906	0	5	5	0
Sat Nov 26 17:15:07 2022	1669482907	0	5	5	0
Sat Nov 26 17:15:05 2022	1669482905	0	5	5	0
Sat Nov 26 17:15:07 2022	1669482907	0	5	5	0
Sat Nov 26 17:15:05 2022	1669482905	0	6	6	0
Sat Nov 26 17:15:05 2022	1669482905	0	6	6	0
Sat Nov 26 17:15:07 2022	1669482907	0	6	6	0
Sat Nov 26 17:15:07 2022	1669482907	0	6	6	0
Sat Nov 26 17:15:07 2022	1669482907	0	6	6	0
Sat Nov 26 17:15:07 2022	1669482907	0	6	6	0
Sat Nov 26 17:15:04 2022	1669482904	0	6	6	0
Sat Nov 26 17:15:05 2022	1669482905	0	6	6	0
Sat Nov 26 17:15:04 2022	1669482904	0	6	6	0
Sat Nov 26 17:15:05 2022	1669482905	0	6	6	0
Sat Nov 26 17:15:05 2022	1669482905	0	6	6	0
Sat Nov 26 17:15:06 2022	1669482906	0	6	6	0
Sat Nov 26 17:15:07 2022	1669482907	0	6	6	0
Sat Nov 26 17:15:07 2022	1669482907	0	6	6	0
Sat Nov 26 17:15:06 2022	1669482906	0	6	6	0
Sat Nov 26 17:15:06 2022	1669482906	0	6	6	0
Sat Nov 26 17:15:06 2022	1669482906	0	6	6	0
Sat Nov 26 17:15:04 2022	1669482904	0	6	6	0
Sat Nov 26 17:15:06 2022	1669482906	0	6	6	0
Sat Nov 26 17:15:06 2022	1669482906	0	6	6	0
Sat Nov 26 17:15:05 2022	1669482905	0	6	6	0
Sat Nov 26 17:15:06 2022	1669482906	0	6	6	0
