Percentage served,Time in ms
0,0.752
1,3.248
2,4.052
3,5.170
4,5.579
5,7.586
6,10.172
7,11.308
8,14.006
9,14.632
10,16.239
11,17.818
12,18.243
13,19.385
14,22.676
15,24.300
16,25.953
17,27.071
18,27.549
19,28.477
20,29.574
21,31.273
22,32.171
23,34.000
24,35.470
25,36.268
26,36.953
27,40.066
28,41.284
29,42.348
30,42.926
31,43.761
32,44.412
33,45.219
34,46.066
35,46.647
36,47.714
37,48.944
38,50.708
39,51.354
40,51.800
41,52.566
42,54.361
43,59.573
44,62.641
45,63.751
46,65.144
47,66.617
48,68.217
49,70.253
50,73.574
51,76.666
52,79.157
53,81.237
54,82.754
55,89.184
56,91.317
57,98.491
58,103.186
59,105.406
60,108.608
61,115.657
62,118.709
63,119.759
64,120.862
65,123.341
66,124.650
67,131.847
68,142.491
69,146.893
70,148.500
71,149.518
72,151.749
73,160.092
74,173.442
75,175.314
76,180.886
77,196.581
78,198.128
79,199.691
80,200.189
81,201.361
82,208.767
83,209.783
84,212.329
85,214.754
86,216.718
87,222.188
88,230.120
89,232.987
90,237.703
91,240.187
92,244.713
93,249.070
94,251.254
95,394.429
96,398.649
97,404.189
98,408.764
99,414.755
100,421.423
