Percentage served,Time in ms
0,0.235
1,4.823
2,5.059
3,5.384
4,6.476
5,7.245
6,10.517
7,11.708
8,13.579
9,14.632
10,14.872
11,15.225
12,16.035
13,16.737
14,17.285
15,18.145
16,21.433
17,24.649
18,26.899
19,27.608
20,27.924
21,28.316
22,28.606
23,28.801
24,29.307
25,29.671
26,30.250
27,30.878
28,32.471
29,34.414
30,35.345
31,36.850
32,37.948
33,39.973
34,40.233
35,40.636
36,41.683
37,42.445
38,43.340
39,44.252
40,45.100
41,46.522
42,48.538
43,50.827
44,52.309
45,52.687
46,52.917
47,53.580
48,54.412
49,58.003
50,59.961
51,62.365
52,65.140
53,67.225
54,68.506
55,69.406
56,70.183
57,71.403
58,74.465
59,78.719
60,79.944
61,80.928
62,83.274
63,93.712
64,110.297
65,115.932
66,117.035
67,119.839
68,124.602
69,142.175
70,145.177
71,147.088
72,150.990
73,152.117
74,153.802
75,155.616
76,158.156
77,176.102
78,179.334
79,204.382
80,207.998
81,212.729
82,214.035
83,214.801
84,216.321
85,217.437
86,220.314
87,222.676
88,225.786
89,227.542
90,229.351
91,231.504
92,233.871
93,245.171
94,362.580
95,366.608
96,370.100
97,395.021
98,399.927
99,612.738
100,613.930
