procs -----------------------memory---------------------- ---swap-- -----io---- -system-- --------cpu--------
r,b,swpd,free,buff,cache,si,so,bi,bo,in,cs,us,sy,id,wa,st
3,0,0,6240080,356060,994228,0,0,1,15,44,51,3,2,96,0,0
0,0,0,6240080,356060,994236,0,0,0,28,807,1557,2,2,96,0,0
0,0,0,6240080,356060,994236,0,0,0,29,744,1417,2,1,97,0,0
0,0,0,6241976,356060,994236,0,0,0,30,801,1507,3,2,95,0,0
0,0,0,6243864,356060,994232,0,0,0,27,770,1442,2,2,96,0,0
0,0,0,6247604,356060,994224,0,0,0,24,734,1447,2,2,96,0,0
4,0,0,6247712,356060,994232,0,0,0,0,578,1032,2,1,97,0,0
0,0,0,6247516,356060,994216,0,0,0,23,797,1543,2,2,96,0,0
0,0,0,6242916,356060,994212,0,0,0,30,807,1487,2,2,96,0,0
0,0,0,6242692,356060,994228,0,0,0,28,708,1329,2,1,97,0,0
0,0,0,6242692,356060,994224,0,0,0,31,743,1392,2,2,96,0,0
0,0,0,6242452,356060,994232,0,0,0,23,787,1499,2,2,96,0,0
0,0,0,6242452,356064,994232,0,0,0,26,818,1530,2,2,96,0,0
0,0,0,6242452,356064,994228,0,0,0,28,734,1387,2,2,96,0,0
0,0,0,6242452,356064,994228,0,0,0,29,843,1562,3,2,95,0,0
0,0,0,6242452,356064,994232,0,0,0,30,829,1527,2,2,96,0,0
0,0,0,6242452,356064,994228,0,0,0,34,792,1472,2,2,96,0,0
0,0,0,6242452,356064,994228,0,0,0,29,733,1397,2,2,96,0,0
0,0,0,6240312,356064,994232,0,0,0,25,807,1518,2,2,96,0,0
0,0,0,6240312,356064,994232,0,0,0,36,860,1606,3,2,96,0,0
1,0,0,6240088,356064,994224,0,0,0,22,769,1440,2,2,97,0,0
4,0,0,6239836,356064,994240,0,0,0,28,817,1556,2,2,96,0,0
0,0,0,6239836,356064,994240,0,0,0,28,826,1567,3,2,95,0,0
0,0,0,6239836,356064,994248,0,0,0,28,731,1398,2,2,96,0,0
0,0,0,6239836,356064,994244,0,0,0,29,802,1520,2,2,97,0,0
