K total memory,K used memory,K active memory,K inactive memory,K free memory,K buffer memory,K swap cache,K total swap,K used swap,K free swap,non-nice user cpu ticks,nice user cpu ticks,system cpu ticks,idle cpu ticks,IO-wait cpu ticks,IRQ cpu ticks,softirq cpu ticks,stolen cpu ticks,pages paged in,pages paged out,pages swapped in,pages swapped out,interrupts,CPU context switches,boot time,forks
8150928,275224,61548,174916,7773616,2420,99668,1048572,425608,622964,102233,0,41144,239057,7579,0,3252,0,21416563,44067724,4667232,11008312,5269054,3122757,1668169845,2499
8150928,275212,61552,177404,7773616,2428,99672,1048572,425608,622964,102742,0,41147,239546,7579,0,3252,0,21416563,44067740,4667232,11008312,5274936,3124577,1668169845,2501
8150928,275464,61560,177452,7773364,2428,99672,1048572,425600,622972,103216,0,41149,240085,7579,0,3252,0,21416567,44067744,4667233,11008312,5280563,3126610,1668169845,2503
8150928,275464,61560,177528,7773364,2428,99672,1048572,425596,622976,103765,0,41150,240537,7579,0,3252,0,21416567,44067744,4667233,11008312,5286885,3128432,1668169845,2505
8150928,275464,61560,177508,7773364,2428,99672,1048572,425596,622976,104173,0,41153,241111,7579,0,3252,0,21416567,44067744,4667233,11008312,5292033,3130659,1668169845,2507
8150928,275464,61560,177636,7773364,2428,99672,1048572,425592,622980,104731,0,41155,241555,7579,0,3252,0,21416567,44067744,4667233,11008312,5298481,3132616,1668169845,2509
8150928,275460,61560,177576,7773364,2428,99676,1048572,425588,622984,105229,0,41157,242056,7579,0,3252,0,21416583,44067744,4667237,11008312,5304278,3134402,1668169845,2511
8150928,275464,61560,177540,7773364,2428,99672,1048572,425580,622992,105713,0,41159,242572,7579,0,3252,0,21416587,44067744,4667238,11008312,5309986,3136271,1668169845,2513
8150928,275464,61560,177572,7773364,2428,99672,1048572,425580,622992,106207,0,41161,243078,7579,0,3252,0,21416587,44067744,4667238,11008312,5315773,3138058,1668169845,2515
8150928,275708,61560,177560,7773112,2428,99680,1048572,425560,623012,106711,0,41162,243577,7579,0,3252,0,21416611,44067744,4667244,11008312,5321681,3139880,1668169845,2517
8150928,275708,61560,177568,7773112,2428,99680,1048572,425556,623016,107216,0,41166,244067,7579,0,3252,0,21416615,44067744,4667245,11008312,5327753,3142043,1668169845,2519
8150928,275956,61564,177524,7772860,2428,99684,1048572,425556,623016,107695,0,41169,244586,7579,0,3252,0,21416615,44067744,4667245,11008312,5333492,3144051,1668169845,2521
8150928,275960,61564,177568,7772860,2428,99680,1048572,425556,623016,108203,0,41172,245077,7579,0,3252,0,21416615,44067744,4667245,11008312,5339421,3145820,1668169845,2523
8150928,276212,61564,177524,7772608,2428,99680,1048572,425556,623016,108680,0,41174,245600,7579,0,3252,0,21416615,44067744,4667245,11008312,5345031,3147615,1668169845,2525
8150928,276212,61564,177600,7772608,2428,99680,1048572,425556,623016,109161,0,41177,246102,7579,0,3252,0,21416615,44067744,4667245,11008312,5350676,3149416,1668169845,2527
8150928,276212,61560,177700,7772608,2428,99680,1048572,425552,623020,109675,0,41179,246588,7579,0,3252,0,21416615,44067744,4667245,11008312,5356736,3151433,1668169845,2529
8150928,276716,61564,177716,7772104,2428,99680,1048572,425540,623032,110200,0,41181,247062,7579,0,3252,0,21416615,44067744,4667245,11008312,5363014,3153725,1668169845,2531
8150928,276712,61564,177576,7772104,2428,99684,1048572,425536,623036,110702,0,41182,247560,7579,0,3252,0,21416615,44067744,4667245,11008312,5368976,3155848,1668169845,2533
8150928,276968,61560,177664,7771852,2428,99680,1048572,425524,623048,111219,0,41184,248042,7579,0,3252,0,21416615,44067744,4667245,11008312,5375008,3157724,1668169845,2535
8150928,276968,61560,177700,7771852,2428,99680,1048572,425524,623048,111724,0,41187,248537,7579,0,3252,0,21416615,44067744,4667245,11008312,5380868,3159510,1668169845,2537
8150928,276968,61564,177576,7771852,2428,99680,1048572,425520,623052,112241,0,41189,249019,7579,0,3252,0,21416615,44067744,4667245,11008312,5386811,3161158,1668169845,2539
8150928,276968,61564,177704,7771852,2428,99680,1048572,425520,623052,112746,0,41192,249514,7579,0,3252,0,21416615,44067744,4667245,11008312,5392637,3162839,1668169845,2542
8150928,276964,61564,177608,7771852,2428,99684,1048572,425516,623056,113265,0,41195,249990,7579,0,3252,0,21416615,44067744,4667245,11008312,5398868,3165141,1668169845,2544
8150928,276960,61560,177720,7771852,2428,99688,1048572,425508,623064,113770,0,41197,250484,7579,0,3252,0,21416615,44067744,4667245,11008312,5404671,3166906,1668169845,2546
8150928,279368,62420,167928,7771600,2428,97532,1048572,425508,623064,114023,0,41201,251224,7579,0,3252,0,21416615,44067744,4667245,11008312,5408302,3169160,1668169845,2548
