procs -----------------------memory---------------------- ---swap-- -----io---- -system-- --------cpu--------
 r  b         swpd         free         buff        cache   si   so    bi    bo   in   cs  us  sy  id  wa  st
 1  0            0      6238060       356052       996308    0    0     1    15   42   49   2   2  96   0   0
 0  0            0      6233712       356052       996320    0    0     0    28 1640 1567  51   1  47   0   0
 2  0            0      6237580       356052       996324    0    0     0    32 1639 1527  50   2  48   0   0
 1  0            0      6237088       356052       996328    0    0     0    28 1549 1259  52   1  47   0   0
 2  0            0      6236836       356052       996332    0    0     0    29 1582 1438  50   1  49   0   0
 0  0            0      6232740       356052       996336    0    0     0    30 1637 1549  53   2  46   0   0
 0  0            0      6232740       356052       996340    0    0     0    33 1632 1487  50   2  48   0   0
 1  0            0      6232500       356052       996340    0    0     0    28 1586 1383  51   1  47   0   0
 0  0            0      6232500       356052       996348    0    0     0    28 1645 1583  51   2  47   0   0
 3  0            0      6232248       356052       996348    0    0     0    28 1475 1364  50   2  48   0   0
 0  0            0      6232248       356052       996344    0    0     0    29 1446 1688  37   2  61   0   0
 0  0            0      6231996       356052       996344    0    0     0    32 1676 1511  54   1  44   0   0
 0  0            0      6231996       356052       996344    0    0     0    28 1520 1344  49   2  49   0   0
 1  0            0      6231996       356052       996348    0    0     0    28 1827 1756  56   2  42   0   0
 0  0            0      6231996       356052       996344    0    0     0    23 1652 1515  50   2  49   0   0
 0  0            0      6231996       356052       996340    0    0     0    28 1678 1584  51   2  48   0   0
 0  0            0      6234204       356052       996340    0    0     0    30 1573 1339  52   1  47   0   0
 0  0            0      6234204       356052       996336    0    0     0    22 1608 1453  51   1  48   0   0
 0  0            0      6234204       356052       996348    0    0     0    40 1646 1497  52   2  47   0   0
 0  0            0      6236188       356052       996348    0    0     0    29 1637 1531  51   2  48   0   0
 0  0            0      6236524       356052       996356    0    0     0    29 1561 1325  51   1  47   0   0
procs -----------------------memory---------------------- ---swap-- -----io---- -system-- --------cpu--------
 r  b         swpd         free         buff        cache   si   so    bi    bo   in   cs  us  sy  id  wa  st
 4  0            0      6236524       356052       996356    0    0     0    24 1683 1587  51   2  47   0   0
 1  0            0      6232204       356052       996352    0    0     0    24 1638 1496  51   1  47   0   0
 1  0            0      6232204       356052       996344    0    0     0    28 1625 1550  51   1  47   0   0
 0  0            0      6234412       356052       994256    0    0     0    28 1530 1339  49   1  50   0   0
