Percentage served,Time in ms
0,6.316
1,29.239
2,36.274
3,60.008
4,105.312
5,113.640
6,130.132
7,152.458
8,206.900
9,419.989
10,443.625
11,451.209
12,456.762
13,458.301
14,461.267
15,463.282
16,464.231
17,465.643
18,466.226
19,467.629
20,469.789
21,471.304
22,472.223
23,473.587
24,474.734
25,475.693
26,476.595
27,479.454
28,485.092
29,491.366
30,506.389
31,508.180
32,511.450
33,513.097
34,513.819
35,514.816
36,515.767
37,518.598
38,521.789
39,533.306
40,540.785
41,544.063
42,545.169
43,545.794
44,546.168
45,546.642
46,547.295
47,547.935
48,549.005
49,549.590
50,550.033
51,550.412
52,550.893
53,551.583
54,552.407
55,552.939
56,553.272
57,553.602
58,553.954
59,554.529
60,558.181
61,560.570
62,562.790
63,564.417
64,565.851
65,566.959
66,568.333
67,569.199
68,570.980
69,573.193
70,579.142
71,584.540
72,596.073
73,607.771
74,610.903
75,616.375
76,622.692
77,628.104
78,639.982
79,642.246
80,642.961
81,651.021
82,663.002
83,673.032
84,678.885
85,687.313
86,688.435
87,690.260
88,691.854
89,693.631
90,699.295
91,703.856
92,706.397
93,707.450
94,708.945
95,710.186
96,714.440
97,1591.068
98,1613.677
99,1682.976
100,1970.149
