K total memory,K used memory,K active memory,K inactive memory,K free memory,K buffer memory,K swap cache,K total swap,K used swap,K free swap,non-nice user cpu ticks,nice user cpu ticks,system cpu ticks,idle cpu ticks,IO-wait cpu ticks,IRQ cpu ticks,softirq cpu ticks,stolen cpu ticks,pages paged in,pages paged out,pages swapped in,pages swapped out,interrupts,CPU context switches,boot time,forks
8150928,294876,65112,178604,7745448,3896,106708,1048572,422096,626476,203186,0,44934,1244356,7586,0,3259,0,21429443,44068264,4668168,11008312,6946275,4349690,1668169841,2848
8150928,294872,65116,178552,7745448,3896,106712,1048572,422096,626476,203193,0,44937,1245342,7586,0,3259,0,21429451,44068264,4668170,11008312,6947496,4351880,1668169841,2850
8150928,294876,65116,178752,7745448,3896,106708,1048572,422092,626480,203195,0,44940,1246334,7586,0,3259,0,21429455,44068264,4668171,11008312,6948817,4354403,1668169841,2852
8150928,294876,65116,178672,7745448,3896,106708,1048572,422092,626480,203197,0,44942,1247330,7586,0,3259,0,21429455,44068264,4668171,11008312,6949703,4356094,1668169841,2854
8150928,294876,65116,178752,7745448,3896,106708,1048572,422092,626480,203198,0,44944,1248325,7586,0,3259,0,21429455,44068264,4668171,11008312,6950550,4357690,1668169841,2856
8150928,294876,65116,178680,7745448,3896,106708,1048572,422092,626480,203200,0,44946,1249319,7586,0,3259,0,21429455,44068264,4668171,11008312,6951513,4359496,1668169841,2858
8150928,294872,65112,178668,7745448,3896,106712,1048572,422092,626480,203201,0,44949,1250312,7586,0,3259,0,21429455,44068264,4668171,11008312,6952375,4361190,1668169841,2860
8150928,294876,65116,178780,7745448,3896,106708,1048572,422092,626480,203203,0,44951,1251303,7586,0,3259,0,21429455,44068264,4668171,11008312,6953474,4363337,1668169841,2862
8150928,294872,65112,178880,7745448,3896,106712,1048572,422088,626484,203204,0,44953,1252295,7586,0,3259,0,21429455,44068264,4668171,11008312,6954396,4365022,1668169841,2864
8150928,294872,65116,178860,7745448,3896,106712,1048572,422088,626484,203205,0,44956,1253292,7586,0,3259,0,21429455,44068264,4668171,11008312,6955240,4366611,1668169841,2866
8150928,294872,65116,178752,7745448,3896,106712,1048572,422088,626484,203207,0,44959,1254286,7586,0,3259,0,21429455,44068264,4668171,11008312,6956163,4368296,1668169841,2868
8150928,294868,65112,178880,7745448,3896,106716,1048572,422088,626484,203208,0,44962,1255278,7586,0,3259,0,21429455,44068264,4668171,11008312,6957127,4370011,1668169841,2871
8150928,294872,65112,178856,7745448,3896,106712,1048572,422088,626484,203209,0,44964,1256272,7586,0,3259,0,21429455,44068264,4668171,11008312,6957948,4371627,1668169841,2873
8150928,294872,65116,178776,7745448,3896,106712,1048572,422088,626484,203215,0,44967,1257257,7586,0,3259,0,21429455,44068264,4668171,11008312,6959047,4373660,1668169841,2875
8150928,294872,65112,178880,7745448,3896,106712,1048572,422088,626484,203216,0,44969,1258249,7586,0,3259,0,21429455,44068264,4668171,11008312,6959999,4375473,1668169841,2877
8150928,294872,65116,178776,7745448,3896,106712,1048572,422088,626484,203218,0,44972,1259241,7586,0,3259,0,21429455,44068264,4668171,11008312,6960890,4377111,1668169841,2879
8150928,294872,65112,178876,7745448,3896,106712,1048572,422088,626484,203220,0,44975,1260235,7586,0,3259,0,21429455,44068264,4668171,11008312,6961759,4378688,1668169841,2881
8150928,294868,65116,178940,7745448,3896,106716,1048572,422084,626488,203223,0,44978,1261225,7586,0,3259,0,21429455,44068264,4668171,11008312,6962783,4380444,1668169841,2883
8150928,294872,65112,178816,7745448,3896,106712,1048572,422084,626488,203225,0,44981,1262218,7586,0,3259,0,21429455,44068264,4668171,11008312,6963686,4382113,1668169841,2885
8150928,294872,65112,178816,7745448,3896,106712,1048572,422084,626488,203229,0,44985,1263204,7586,0,3259,0,21429455,44068264,4668171,11008312,6964866,4384086,1668169841,2887
8150928,294872,65116,178764,7745448,3896,106712,1048572,422084,626488,203230,0,44989,1264195,7586,0,3259,0,21429455,44068264,4668171,11008312,6965914,4385904,1668169841,2889
8150928,294872,65112,178844,7745448,3896,106712,1048572,422084,626488,203232,0,44992,1265188,7586,0,3259,0,21429455,44068264,4668171,11008312,6966772,4387504,1668169841,2891
8150928,294868,65116,178884,7745448,3896,106716,1048572,422084,626488,203234,0,44994,1266182,7586,0,3259,0,21429455,44068264,4668171,11008312,6967654,4389226,1668169841,2893
8150928,294872,65116,178712,7745448,3896,106712,1048572,422084,626488,203236,0,44997,1267175,7586,0,3259,0,21429455,44068264,4668171,11008312,6968564,4390888,1668169841,2895
8150928,294872,65116,178728,7745448,3896,106712,1048572,422084,626488,203238,0,45000,1268168,7586,0,3259,0,21429455,44068264,4668171,11008312,6969544,4392612,1668169841,2897
