K total memory,K used memory,K active memory,K inactive memory,K free memory,K buffer memory,K swap cache,K total swap,K used swap,K free swap,non-nice user cpu ticks,nice user cpu ticks,system cpu ticks,idle cpu ticks,IO-wait cpu ticks,IRQ cpu ticks,softirq cpu ticks,stolen cpu ticks,pages paged in,pages paged out,pages swapped in,pages swapped out,interrupts,CPU context switches,boot time,forks
8150928,1503060,68540,1381204,6559228,2140,86500,1048572,444136,604436,79869,0,31064,51722,5217,0,2286,0,16337847,31762800,3582968,7932663,3778791,2228227,1668169846,2374
8150928,4130312,88592,3987308,3951260,1408,67948,1048572,723664,324908,80405,0,31542,51725,5358,0,2314,0,16379915,32406016,3583810,8093430,3812295,2245632,1668169846,2377
8150928,7997868,1810692,6117912,102480,384,50196,1048572,802768,245804,80781,0,32000,51726,5411,0,2394,0,16941091,33026992,3721969,8248674,3890244,2306837,1668169846,2379
8150928,6254568,67344,6103632,1827308,1400,67652,1048572,449160,599412,81132,0,32401,51742,5587,0,2432,0,17165327,33463420,3767700,8357741,3932704,2331742,1668169846,2382
8150928,5146040,66748,5029612,2939364,1396,64128,1048572,468688,579884,81696,0,32721,51745,5664,0,2456,0,17213619,34091340,3768044,8514681,3956090,2347743,1668169846,2385
8150928,7968668,2839636,5054424,138636,836,42788,1048572,778532,270040,82225,0,33097,51759,5759,0,2486,0,17378055,34541688,3805352,8627258,4013645,2366629,1668169846,2387
8150928,5719492,1214408,4443232,2363344,1400,66692,1048572,476616,571956,82449,0,33605,51762,5917,0,2525,0,17777307,35112716,3894557,8769985,4074361,2422097,1668169846,2390
8150928,4342668,740164,3543940,3742208,824,65228,1048572,499072,549500,82921,0,34026,51774,6066,0,2561,0,17894967,35770452,3912137,8934386,4112152,2444716,1668169846,2393
8150928,7964568,3498072,4389704,144204,692,41464,1048572,713916,334656,83562,0,34353,51794,6069,0,2585,0,17965123,36033396,3925971,9000121,4162436,2460708,1668169846,2396
8150928,6036148,2003256,3985524,2047100,1400,66280,1048572,767364,281208,83844,0,34783,51808,6245,0,2632,0,18239603,36842140,3983974,9202267,4213525,2499517,1668169846,2399
8150928,4603572,73792,4470900,3479496,1408,66452,1048572,478324,570248,84251,0,35153,51811,6407,0,2662,0,18361719,37432464,4002203,9349816,4247118,2514110,1668169846,2402
8150928,7280840,83572,7151160,799768,1408,68912,1048572,477712,570860,84894,0,35517,51811,6407,0,2663,0,18365023,37432468,4002448,9349816,4326135,2516718,1668169846,2404
8150928,7971244,3642392,4257596,126520,808,52356,1048572,629804,418768,85444,0,35953,51812,6408,0,2683,0,18371255,37585352,4002835,9388019,4415115,2522559,1668169846,2406
8150928,5361476,2452608,2841584,2721444,1400,66608,1048572,505024,543548,85610,0,36508,51824,6545,0,2754,0,18825959,38333928,4106848,9575141,4488931,2591764,1668169846,2409
8150928,8004908,3031752,4895744,103996,904,41120,1048572,998100,50472,86200,0,36828,51826,6673,0,2779,0,18879159,38870976,4116261,9709392,4518487,2601163,1668169846,2411
8150928,7729852,172052,7486932,351580,1380,68116,1048572,463712,584860,86781,0,37187,51834,6694,0,2789,0,18939715,38940036,4121020,9726628,4560249,2616917,1668169846,2414
8150928,4613844,669484,3886572,3467816,1400,67868,1048572,480116,568456,87116,0,37668,51863,6782,0,2825,0,19049375,39535484,4136972,9875450,4611225,2642218,1668169846,2417
8150928,8006552,3581208,4347972,103312,752,40312,1048572,831800,216772,87721,0,37997,51866,6886,0,2849,0,19133623,39956828,4154980,9980775,4644794,2654368,1668169846,2419
8150928,6890952,582380,6244080,1190624,1200,68152,1048572,488716,559856,88089,0,38398,51872,7032,0,2884,0,19482443,40347524,4231926,10078420,4693793,2698888,1668169846,2423
8150928,6335632,394152,5884848,1752076,1488,61732,1048572,1014132,34440,88417,0,38814,51880,7210,0,2940,0,19677715,41033780,4265096,10249945,4743131,2724580,1668169846,2425
8150928,8000700,59196,7865100,107472,260,42496,1048572,798644,249928,88809,0,39239,51887,7364,0,3037,0,20329515,41564148,4423819,10382527,4799007,2789648,1668169846,2428
8150928,5181300,482564,4589252,2926212,496,42920,1048572,1048536,36,88984,0,39872,51892,7386,0,3159,0,20668083,43427924,4504746,10848463,4892470,2834067,1668169846,2431
8150928,7957624,1477644,6430492,123540,1080,68684,1048572,780568,268004,89184,0,40422,51898,7514,0,3227,0,21263287,43747252,4646662,10928274,4988254,2876458,1668169846,2433
8150928,5681320,57400,603228,7342220,1408,74592,1048572,442496,606076,89678,0,40820,51915,7567,0,3250,0,21385391,44067532,4664946,11008312,5022961,2897898,1668169846,2436
8150928,5291100,57824,145020,7800888,1416,78088,1048572,439492,609080,89680,0,40829,52903,7567,0,3250,0,21389287,44067580,4665068,11008312,5024145,2900098,1668169846,2439
