Percentage served,Time in ms
0,15.298
1,21.179
2,21.425
3,22.020
4,22.506
5,23.074
6,23.315
7,23.562
8,24.018
9,24.409
10,24.760
11,25.080
12,25.242
13,25.371
14,25.486
15,25.620
16,25.714
17,25.814
18,26.067
19,26.177
20,26.292
21,26.477
22,26.689
23,26.945
24,27.109
25,27.151
26,27.342
27,27.519
28,27.747
29,28.096
30,28.226
31,28.303
32,28.509
33,28.797
34,29.013
35,29.281
36,29.656
37,30.293
38,30.551
39,30.767
40,31.054
41,31.349
42,31.735
43,32.072
44,32.435
45,32.667
46,33.155
47,33.396
48,33.629
49,33.844
50,34.578
51,44.710
52,46.884
53,48.781
54,49.907
55,50.993
56,55.152
57,55.998
58,56.765
59,57.400
60,57.765
61,58.621
62,59.210
63,59.653
64,59.781
65,59.855
66,60.100
67,60.566
68,61.006
69,61.640
70,61.912
71,62.229
72,62.583
73,62.962
74,63.341
75,63.761
76,64.743
77,65.085
78,65.599
79,65.952
80,66.811
81,67.042
82,67.309
83,67.545
84,67.765
85,67.945
86,68.334
87,68.761
88,69.018
89,69.616
90,70.190
91,71.445
92,72.328
93,73.601
94,75.366
95,76.382
96,77.149
97,78.524
98,79.925
99,81.862
100,86.203
