K total memory,K used memory,K active memory,K inactive memory,K free memory,K buffer memory,K swap cache,K total swap,K used swap,K free swap,non-nice user cpu ticks,nice user cpu ticks,system cpu ticks,idle cpu ticks,IO-wait cpu ticks,IRQ cpu ticks,softirq cpu ticks,stolen cpu ticks,pages paged in,pages paged out,pages swapped in,pages swapped out,interrupts,CPU context switches,boot time,forks
7837696,223384,14456,157028,7510132,4444,99736,0,0,0,581713,698,71692,665992,4032,0,13,261,2949284,2184085,0,0,2798735,691250,1668269575,6011
7837696,223380,14472,157040,7510132,4444,99740,0,0,0,581713,698,71693,666991,4032,0,13,261,2949284,2184097,0,0,2798906,691505,1668269575,6014
7837696,222884,14476,157108,7510620,4452,99740,0,0,0,581714,698,71693,667991,4032,0,13,261,2949284,2184129,0,0,2799007,691645,1668269575,6016
7837696,222876,14484,157204,7510620,4460,99740,0,0,0,581714,698,71693,668991,4032,0,13,261,2949284,2184141,0,0,2799104,691778,1668269575,6018
7837696,222596,14496,157120,7510892,4468,99740,0,0,0,581714,698,71693,669991,4032,0,13,261,2949284,2184157,0,0,2799221,691914,1668269575,6020
7837696,222136,14500,157104,7511344,4476,99740,0,0,0,581714,698,71694,670991,4032,0,13,261,2949284,2184169,0,0,2799344,692075,1668269575,6022
7837696,222068,14508,157208,7511400,4484,99744,0,0,0,581714,698,71695,671991,4032,0,13,262,2949284,2184181,0,0,2799453,692220,1668269575,6024
7837696,222072,14528,157156,7511380,4500,99744,0,0,0,581715,698,71695,672990,4032,0,13,262,2949284,2184221,0,0,2799774,692603,1668269575,6029
7837696,221796,14528,157044,7511656,4500,99744,0,0,0,581715,698,71696,673988,4032,0,13,262,2949284,2184237,0,0,2800073,692928,1668269575,6039
7837696,221536,14536,157160,7511908,4508,99744,0,0,0,581715,698,71697,674988,4032,0,13,262,2949284,2184261,0,0,2800290,693224,1668269575,6043
7837696,221296,14540,157120,7512140,4516,99744,0,0,0,581716,698,71697,675988,4033,0,13,262,2949284,2184273,0,0,2800434,693400,1668269575,6045
7837696,221028,14560,157156,7512396,4524,99748,0,0,0,581717,698,71697,676987,4033,0,13,262,2949284,2184285,0,0,2800608,693605,1668269575,6049
7837696,220768,14564,157116,7512648,4532,99748,0,0,0,581717,698,71697,677987,4033,0,13,262,2949284,2184297,0,0,2800718,693743,1668269575,6051
7837696,220740,14572,157224,7512668,4540,99748,0,0,0,581717,698,71699,678987,4033,0,13,262,2949284,2184309,0,0,2800868,693949,1668269575,6054
7837696,220480,14580,157064,7512920,4548,99748,0,0,0,581717,698,71699,679987,4033,0,13,262,2949284,2184329,0,0,2800980,694093,1668269575,6056
7837696,220492,14588,157144,7512900,4556,99748,0,0,0,581717,698,71700,680987,4033,0,13,263,2949284,2184365,0,0,2801100,694237,1668269575,6058
7837696,220984,14604,157156,7512400,4564,99748,0,0,0,581718,698,71700,681986,4033,0,13,263,2949284,2184377,0,0,2801284,694445,1668269575,6062
7837696,220968,14608,157108,7512404,4572,99752,0,0,0,581718,698,71701,682985,4033,0,13,263,2949284,2184389,0,0,2801458,694659,1668269575,6066
7837696,221188,14624,157152,7512176,4580,99752,0,0,0,581719,698,71701,683984,4033,0,13,263,2949284,2184401,0,0,2801686,694913,1668269575,6072
7837696,220696,14628,157112,7512660,4588,99752,0,0,0,581719,698,71702,684984,4033,0,13,263,2949284,2184413,0,0,2801782,695054,1668269575,6074
7837696,220664,14636,157212,7512680,4596,99756,0,0,0,581719,698,71702,685985,4033,0,13,263,2949284,2184425,0,0,2801892,695193,1668269575,6076
7837696,220656,14644,157224,7512680,4604,99756,0,0,0,581719,698,71702,686984,4033,0,13,263,2949284,2184445,0,0,2802017,695368,1668269575,6078
7837696,220412,14652,157120,7512912,4612,99760,0,0,0,581719,698,71703,687984,4034,0,13,263,2949284,2184465,0,0,2802117,695509,1668269575,6080
7837696,220636,14660,157104,7512680,4620,99760,0,0,0,581719,698,71703,688984,4034,0,13,263,2949284,2184477,0,0,2802219,695657,1668269575,6082
7837696,220624,14668,157176,7512684,4628,99760,0,0,0,581720,698,71703,689984,4034,0,13,263,2949284,2184489,0,0,2802317,695796,1668269575,6084
7837696,221116,14676,157212,7512184,4636,99760,0,0,0,581721,698,71703,690984,4034,0,13,264,2949284,2184501,0,0,2802456,696008,1668269575,6086
7837696,221108,14688,157088,7512184,4644,99760,0,0,0,581721,698,71704,691983,4034,0,13,264,2949284,2184513,0,0,2802622,696223,1668269575,6089
7837696,221348,14692,157040,7511932,4652,99764,0,0,0,581721,698,71704,692983,4034,0,13,264,2949284,2184525,0,0,2802720,696363,1668269575,6091
7837696,221340,14700,157180,7511932,4660,99764,0,0,0,581722,698,71704,693983,4034,0,13,264,2949284,2184553,0,0,2802847,696528,1668269575,6093
7837696,221584,14708,157128,7511680,4668,99764,0,0,0,581722,698,71705,694983,4034,0,13,264,2949284,2184573,0,0,2802977,696700,1668269575,6095
