K total memory,K used memory,K active memory,K inactive memory,K free memory,K buffer memory,K swap cache,K total swap,K used swap,K free swap,non-nice user cpu ticks,nice user cpu ticks,system cpu ticks,idle cpu ticks,IO-wait cpu ticks,IRQ cpu ticks,softirq cpu ticks,stolen cpu ticks,pages paged in,pages paged out,pages swapped in,pages swapped out,interrupts,CPU context switches,boot time,forks
7837696,215340,12196,164860,7519416,3416,99524,0,0,0,485886,698,71654,627014,4027,0,13,240,2947100,2180949,0,0,2547563,663295,1668269575,5736
7837696,215836,12208,164864,7518916,3424,99520,0,0,0,486380,698,71654,627522,4027,0,13,240,2947100,2181009,0,0,2548904,663477,1668269575,5738
7837696,216332,12224,164856,7518412,3424,99528,0,0,0,486861,698,71655,628040,4027,0,13,240,2947100,2181009,0,0,2550224,663712,1668269575,5741
7837696,216324,12228,164840,7518412,3432,99528,0,0,0,487346,698,71655,628555,4028,0,13,240,2947100,2181021,0,0,2551551,663894,1668269575,5743
7837696,216316,12236,164852,7518412,3440,99528,0,0,0,487833,698,71655,629068,4028,0,13,241,2947100,2181037,0,0,2552876,664071,1668269575,5745
7837696,216560,12244,164856,7518160,3448,99528,0,0,0,488340,698,71656,629559,4028,0,13,241,2947100,2181049,0,0,2554228,664245,1668269575,5747
7837696,216800,12252,164956,7517908,3456,99532,0,0,0,488831,698,71657,630072,4028,0,13,241,2947100,2181061,0,0,2555540,664424,1668269575,5749
7837696,217032,12268,164988,7517656,3468,99540,0,0,0,489337,698,71657,630571,4028,0,13,241,2947104,2181197,0,0,2556930,664718,1668269575,5751
7837696,217024,12276,164988,7517656,3476,99540,0,0,0,489841,698,71657,631072,4028,0,13,241,2947104,2181273,0,0,2558276,664913,1668269575,5753
7837696,217016,12280,164872,7517656,3484,99540,0,0,0,490361,698,71657,631557,4028,0,13,241,2947104,2181285,0,0,2559647,665076,1668269575,5755
7837696,217008,12292,164852,7517656,3492,99540,0,0,0,490854,698,71657,632067,4028,0,13,242,2947104,2181297,0,0,2560954,665253,1668269575,5757
7837696,216996,12296,164952,7517656,3500,99544,0,0,0,491348,698,71658,632574,4028,0,13,242,2947104,2181309,0,0,2562282,665425,1668269575,5759
7837696,217492,12304,164988,7517152,3508,99544,0,0,0,491849,698,71658,633077,4028,0,13,242,2947104,2181321,0,0,2563630,665606,1668269575,5761
7837696,216900,12316,165976,7516648,3516,100632,0,0,0,492364,698,71658,633566,4028,0,13,242,2948192,2181333,0,0,2565039,665884,1668269575,5764
7837696,217396,12332,165960,7516144,3524,100632,0,0,0,492882,698,71659,634050,4028,0,13,242,2948192,2181353,0,0,2566452,666157,1668269575,5767
7837696,217384,12340,165936,7516144,3532,100636,0,0,0,493396,698,71660,634541,4028,0,13,242,2948192,2181373,0,0,2567811,666343,1668269575,5769
7837696,217628,12348,165872,7515892,3540,100636,0,0,0,493907,698,71660,635033,4028,0,13,242,2948192,2181393,0,0,2569171,666534,1668269575,5771
7837696,217616,12356,165960,7515892,3548,100640,0,0,0,494399,698,71660,635542,4028,0,13,243,2948192,2181405,0,0,2570489,666709,1668269575,5773
7837696,217860,12360,165944,7515640,3556,100640,0,0,0,494889,698,71660,636052,4028,0,13,243,2948192,2181417,0,0,2571808,666884,1668269575,5775
7837696,217852,12368,166040,7515640,3564,100640,0,0,0,495380,698,71660,636561,4028,0,13,243,2948192,2181429,0,0,2573128,667074,1668269575,5777
7837696,217844,12376,165960,7515640,3572,100640,0,0,0,495871,698,71660,637069,4029,0,13,243,2948192,2181441,0,0,2574443,667258,1668269575,5779
7837696,217836,12384,166052,7515640,3584,100636,0,0,0,496360,698,71661,637579,4029,0,13,243,2948196,2181461,0,0,2575756,667435,1668269575,5781
7837696,217812,12396,166048,7515640,3592,100652,0,0,0,496851,698,71661,638088,4029,0,13,243,2948196,2181481,0,0,2577067,667608,1668269575,5783
7837696,217804,12404,166084,7515640,3600,100652,0,0,0,497357,698,71661,638585,4029,0,13,244,2948196,2181501,0,0,2578417,667793,1668269575,5785
7837696,219952,13360,155992,7515640,3608,98496,0,0,0,497703,698,71662,639241,4029,0,13,244,2948196,2181513,0,0,2579387,667994,1668269575,5787
