procs -----------------------memory---------------------- ---swap-- -----io---- -system-- --------cpu--------
 r  b         swpd         free         buff        cache   si   so    bi    bo   in   cs  us  sy  id  wa  st
 0  0            0      6851636        38476       724960    0    0    63   340   50   46   9   0  90   1   0
 2  0            0      6851384        38476       725040    0    0     0     0  264   30  49   0  51   0   0
 2  0            0      6851384        38484       725040    0    0     0     8  272   33  51   0  49   0   0
 0  0            0      6851384        38484       725040    0    0     0     0  241   25  46   0  54   0   0
 2  0            0      6851384        38492       725040    0    0     0     2  268   33  51   0  49   0   0
 2  0            0      6851384        38500       725040    0    0     0     2  266   28  51   0  49   0   0
 2  0            0      6851384        38500       725040    0    0     0    22  274   30  51   0  49   0   0
 2  0            0      6851384        38508       725040    0    0     0     6  281   62  51   0  49   0   0
 2  0            0      6851384        38516       725040    0    0     0     4  283   47  52   0  48   0   0
 0  0            0      6851384        38516       725040    0    0     0     0  258   32  49   0  51   0   0
 0  0            0      6851384        38524       725040    0    0     0     2  261   34  49   0  51   0   0
 0  0            0      6850880        38532       725564    0    0   105     6  273   60  47   0  53   0   0
 2  0            0      6850880        38540       725564    0    0     0     5  266   34  50   0  50   0   0
 2  0            0      6850880        38540       725564    0    0     0     7  269   27  51   0  49   0   0
 2  0            0      6850880        38548       725564    0    0     0     3  269   33  51   0  49   0   0
 2  0            0      6850880        38556       725564    0    0     0     2  267   29  51   0  49   0   0
 2  0            0      6850880        38564       725564    0    0     0     2  270   31  51   0  49   0   0
 0  0            0      6850880        38572       725564    0    0     0    30  274   36  51   0  49   0   0
 0  0            0      6850880        38580       725564    0    0     0     4  263   33  49   0  51   0   0
 0  0            0      6850880        38580       725564    0    0     0     0  261   40  49   0  51   0   0
 0  0            0      6850880        38588       725564    0    0     0     2  263   36  49   0  51   0   0
 0  1            0      6850880        38592       725560    0    0     0     2  260   30  49   0  51   0   0
 0  0            0      6850880        38596       725564    0    0     0     1  256   33  48   0  52   0   0
 2  0            0      6850880        38604       725564    0    0     0     2  269   27  51   0  49   0   0
 0  0            0      6850880        38604       723476    0    0     0     2  249   37  46   0  54   0   0
