Percentage served,Time in ms
0,0.016
1,0.055
2,0.056
3,0.056
4,0.057
5,0.057
6,0.058
7,0.061
8,0.064
9,0.066
10,0.068
11,0.069
12,0.070
13,0.070
14,0.071
15,0.071
16,0.072
17,0.072
18,0.072
19,0.073
20,0.073
21,0.074
22,0.074
23,0.074
24,0.075
25,0.075
26,0.076
27,0.076
28,0.077
29,0.078
30,0.078
31,0.079
32,0.080
33,0.081
34,0.082
35,0.083
36,0.084
37,0.086
38,0.089
39,0.092
40,0.098
41,0.103
42,0.106
43,0.109
44,0.112
45,0.115
46,0.119
47,0.122
48,0.127
49,0.132
50,0.138
51,0.144
52,0.150
53,0.158
54,0.180
55,0.203
56,0.221
57,0.239
58,0.261
59,0.288
60,0.312
61,0.341
62,0.367
63,0.401
64,0.440
65,0.479
66,0.528
67,0.596
68,0.670
69,0.754
70,0.863
71,0.984
72,1.136
73,1.328
74,1.545
75,1.872
76,2.253
77,2.758
78,3.411
79,4.207
80,5.047
81,6.298
82,7.908
83,10.231
84,12.544
85,15.724
86,20.538
87,27.126
88,41.338
89,61.624
90,80.554
91,97.869
92,143.536
93,314.572
94,782.506
95,1123.799
96,1249.272
97,1271.439
98,1290.553
99,1314.655
100,1459.528
