K total memory,K used memory,K active memory,K inactive memory,K free memory,K buffer memory,K swap cache,K total swap,K used swap,K free swap,non-nice user cpu ticks,nice user cpu ticks,system cpu ticks,idle cpu ticks,IO-wait cpu ticks,IRQ cpu ticks,softirq cpu ticks,stolen cpu ticks,pages paged in,pages paged out,pages swapped in,pages swapped out,interrupts,CPU context switches,boot time,forks
7837696,211072,5352,121004,7567544,1560,57520,0,0,0,473643,698,71318,577968,3995,0,11,233,2895004,2178597,0,0,2501121,636592,1668269575,5587
7837696,210588,6012,121232,7567292,2220,57596,0,0,0,473643,698,71318,578968,3996,0,11,233,2895720,2178597,0,0,2501231,636748,1668269575,5589
7837696,204448,8188,139084,7553180,2228,77840,0,0,0,473643,698,71579,579686,4013,0,12,233,2933101,2178625,0,0,2506921,647913,1668269575,5591
7837696,204496,8376,139992,7552172,2400,78628,0,0,0,473643,698,71580,580681,4016,0,12,233,2933774,2179817,0,0,2507411,648627,1668269575,5595
7837696,205428,8676,139764,7551164,2408,78696,0,0,0,473644,698,71582,581679,4016,0,12,233,2933838,2179921,0,0,2507779,649040,1668269575,5605
7837696,205420,8684,139784,7551164,2416,78696,0,0,0,473644,698,71583,582678,4016,0,12,233,2933838,2179937,0,0,2507994,649311,1668269575,5609
7837696,205808,8796,139684,7550660,2436,78792,0,0,0,473644,698,71584,583677,4017,0,12,234,2933942,2179949,0,0,2508205,649565,1668269575,5615
7837696,205788,8804,139800,7550660,2448,78800,0,0,0,473644,698,71584,584677,4017,0,12,234,2933946,2179969,0,0,2508325,649722,1668269575,5617
7837696,205780,8812,139868,7550660,2456,78800,0,0,0,473644,698,71584,585677,4017,0,12,234,2933946,2179989,0,0,2508427,649862,1668269575,5619
7837696,205788,8988,141528,7548644,2464,80800,0,0,0,473645,698,71597,586663,4017,0,12,234,2936170,2180001,0,0,2508803,650504,1668269575,5623
7837696,205780,8996,141684,7548644,2472,80800,0,0,0,473645,698,71597,587663,4017,0,12,234,2936170,2180013,0,0,2508905,650656,1668269575,5625
7837696,205768,9004,141708,7548644,2480,80804,0,0,0,473645,698,71597,588663,4017,0,12,234,2936170,2180037,0,0,2509025,650812,1668269575,5627
7837696,206012,9008,141716,7548392,2488,80804,0,0,0,473646,698,71597,589663,4017,0,12,234,2936170,2180049,0,0,2509121,650940,1668269575,5629
7837696,206004,9016,141688,7548392,2496,80804,0,0,0,473646,698,71598,590663,4018,0,12,234,2936170,2180061,0,0,2509225,651075,1668269575,5631
7837696,206236,9028,141564,7548140,2508,80812,0,0,0,473646,698,71598,591663,4018,0,12,234,2936174,2180081,0,0,2509336,651227,1668269575,5633
7837696,204392,9424,151240,7539824,2684,90796,0,0,0,473646,698,71616,592641,4020,0,12,235,2941421,2180101,0,0,2509941,652207,1668269575,5636
7837696,204284,9572,154736,7536296,2692,94424,0,0,0,473646,698,71631,593625,4021,0,12,235,2943908,2180113,0,0,2510378,652957,1668269575,5638
7837696,205532,9696,154684,7535036,2700,94428,0,0,0,473647,698,71632,594624,4021,0,12,235,2943908,2180129,0,0,2510543,653154,1668269575,5642
7837696,205524,9700,154856,7535036,2708,94428,0,0,0,473647,698,71632,595624,4021,0,12,235,2943908,2180141,0,0,2510640,653288,1668269575,5644
7837696,205516,9708,154836,7535036,2716,94428,0,0,0,473648,698,71632,596624,4021,0,12,235,2943908,2180153,0,0,2510744,653432,1668269575,5646
7837696,205508,9720,154896,7535036,2724,94428,0,0,0,473648,698,71633,597624,4021,0,12,235,2943908,2180165,0,0,2510851,653570,1668269575,5648
7837696,206496,9740,154684,7534028,2736,94436,0,0,0,473649,698,71633,598624,4022,0,12,235,2943912,2180193,0,0,2511038,653792,1668269575,5652
7837696,206484,9744,154864,7534028,2744,94440,0,0,0,473649,698,71634,599624,4022,0,12,235,2943912,2180213,0,0,2511143,653935,1668269575,5654
7837696,206728,9752,154788,7533776,2752,94440,0,0,0,473649,698,71634,600623,4022,0,12,235,2943912,2180229,0,0,2511294,654141,1668269575,5658
7837696,206720,9768,154684,7533776,2760,94440,0,0,0,473649,698,71636,601622,4022,0,12,235,2943912,2180241,0,0,2511532,654452,1668269575,5666
7837696,206712,9776,154800,7533776,2768,94440,0,0,0,473650,698,71637,602620,4022,0,12,236,2943912,2180253,0,0,2511759,654736,1668269575,5672
