K total memory,K used memory,K active memory,K inactive memory,K free memory,K buffer memory,K swap cache,K total swap,K used swap,K free swap,non-nice user cpu ticks,nice user cpu ticks,system cpu ticks,idle cpu ticks,IO-wait cpu ticks,IRQ cpu ticks,softirq cpu ticks,stolen cpu ticks,pages paged in,pages paged out,pages swapped in,pages swapped out,interrupts,CPU context switches,boot time,forks
7837696,3072916,202456,3077956,4395812,20372,348596,0,0,0,399010,698,50421,564839,3968,0,11,208,1758784,2114817,0,0,1479552,513281,1668269575,5301
7837696,4397916,202468,4418760,3070800,20380,348600,0,0,0,399953,698,50482,564839,3968,0,11,208,1758784,2114985,0,0,1482117,513464,1668269575,5303
7837696,4398160,202468,4418840,3070548,20388,348600,0,0,0,400957,698,50482,564839,3968,0,11,208,1758784,2115013,0,0,1484658,513606,1668269575,5305
7837696,4398412,202476,4418820,3070296,20388,348600,0,0,0,401961,698,50482,564839,3968,0,11,208,1758784,2115013,0,0,1487195,513764,1668269575,5307
7837696,4398656,202484,4418752,3070044,20396,348600,0,0,0,402965,698,50483,564839,3968,0,11,208,1758784,2115025,0,0,1489760,513984,1668269575,5309
7837696,218048,202492,234600,7250644,20404,348600,0,0,0,403389,698,51062,564839,3968,0,11,209,1758784,2115037,0,0,1492361,514285,1668269575,5311
7837696,1783456,202500,1799192,5685224,20412,348604,0,0,0,404323,698,51132,564839,3968,0,11,209,1758784,2115049,0,0,1494904,514450,1668269575,5313
7837696,3350888,202508,3364728,4117784,20420,348604,0,0,0,405245,698,51215,564839,3968,0,11,209,1758784,2115105,0,0,1497457,514626,1668269575,5315
7837696,4386092,202516,4418776,3082572,20428,348604,0,0,0,406189,698,51274,564839,3968,0,11,209,1758784,2115125,0,0,1499999,514783,1668269575,5317
7837696,4386336,202524,4418740,3082320,20436,348604,0,0,0,407194,698,51274,564839,3968,0,11,210,1758784,2115145,0,0,1502540,514928,1668269575,5319
7837696,2181984,202532,2184232,5286664,20444,348604,0,0,0,408059,698,51413,564839,3968,0,11,210,1758784,2115169,0,0,1505087,515113,1668269575,5321
7837696,4390972,202540,4418852,3077664,20452,348608,0,0,0,408677,698,51799,564839,3968,0,11,210,1758784,2115181,0,0,1507625,515276,1668269575,5323
7837696,4390964,202556,4418708,3077664,20460,348608,0,0,0,409680,698,51799,564839,3968,0,11,210,1758784,2115201,0,0,1510202,515548,1668269575,5326
7837696,4391460,202564,4418660,3077160,20468,348608,0,0,0,410684,698,51799,564839,3968,0,11,210,1758784,2115221,0,0,1512741,515692,1668269575,5328
7837696,4396208,202572,4418708,3072404,20476,348608,0,0,0,411413,698,52074,564839,3968,0,11,211,1758784,2115245,0,0,1515285,515872,1668269575,5330
7837696,4396452,202580,4418664,3072152,20484,348608,0,0,0,412417,698,52074,564839,3968,0,11,211,1758784,2115257,0,0,1517827,516032,1668269575,5332
7837696,4384820,202588,4418680,3083776,20492,348608,0,0,0,413179,698,52317,564839,3968,0,11,211,1758784,2115273,0,0,1520375,516216,1668269575,5334
7837696,2312668,1303320,1220848,5155916,20508,348604,0,0,0,413879,698,52620,564839,3968,0,11,211,1758784,2115313,0,0,1522918,516396,1668269575,5336
7837696,4401548,202604,4418640,3067028,20508,348612,0,0,0,414544,698,52959,564839,3968,0,11,212,1758784,2115313,0,0,1525457,516607,1668269575,5338
7837696,339136,202612,335036,7129432,20516,348612,0,0,0,415514,698,52993,564839,3968,0,11,212,1758784,2115337,0,0,1528002,516777,1668269575,5340
7837696,4911916,202620,4943052,2556644,20524,348612,0,0,0,416269,698,53242,564839,3968,0,11,212,1758784,2115349,0,0,1530545,516941,1668269575,5342
7837696,4912412,202628,4943000,2556140,20532,348612,0,0,0,417272,698,53242,564839,3968,0,11,212,1758784,2115365,0,0,1533084,517092,1668269575,5344
7837696,4912904,202636,4943080,2555636,20552,348604,0,0,0,418277,698,53242,564839,3968,0,11,213,1758784,2115413,0,0,1535633,517280,1668269575,5346
7837696,4912892,202644,4942988,2555636,20552,348616,0,0,0,419282,698,53242,564839,3968,0,11,213,1758784,2115413,0,0,1538172,517423,1668269575,5348
7837696,211764,202652,221676,7258920,20560,346452,0,0,0,419689,698,53277,565399,3968,0,11,213,1758784,2115449,0,0,1539433,517689,1668269575,5351
