Percentage served,Time in ms
0,0.023
1,0.055
2,0.056
3,0.056
4,0.057
5,0.061
6,0.064
7,0.066
8,0.067
9,0.068
10,0.068
11,0.069
12,0.069
13,0.070
14,0.070
15,0.070
16,0.071
17,0.071
18,0.071
19,0.072
20,0.072
21,0.073
22,0.073
23,0.073
24,0.074
25,0.074
26,0.075
27,0.075
28,0.076
29,0.076
30,0.077
31,0.078
32,0.079
33,0.080
34,0.081
35,0.082
36,0.083
37,0.085
38,0.088
39,0.092
40,0.097
41,0.102
42,0.105
43,0.107
44,0.109
45,0.111
46,0.113
47,0.116
48,0.118
49,0.121
50,0.124
51,0.128
52,0.133
53,0.139
54,0.149
55,0.168
56,0.188
57,0.207
58,0.226
59,0.247
60,0.269
61,0.292
62,0.316
63,0.346
64,0.379
65,0.421
66,0.474
67,0.537
68,0.614
69,0.716
70,0.850
71,0.998
72,1.175
73,1.432
74,1.746
75,2.155
76,2.716
77,3.324
78,4.044
79,4.913
80,5.891
81,7.917
82,10.747
83,14.587
84,19.152
85,24.609
86,32.629
87,47.163
88,73.067
89,117.341
90,175.090
91,739.997
92,1479.643
93,3283.511
94,5691.929
95,67440.351
96,87447.377
97,110737.529
98,110747.398
99,112753.528
100,114808.185
