K total memory,K used memory,K active memory,K inactive memory,K free memory,K buffer memory,K swap cache,K total swap,K used swap,K free swap,non-nice user cpu ticks,nice user cpu ticks,system cpu ticks,idle cpu ticks,IO-wait cpu ticks,IRQ cpu ticks,softirq cpu ticks,stolen cpu ticks,pages paged in,pages paged out,pages swapped in,pages swapped out,interrupts,CPU context switches,boot time,forks
7837696,220692,14552,152928,7512616,4596,99792,0,0,0,355957,460,43971,442726,3415,0,8,183,1541010,1974361,0,0,1310991,428183,1668269575,3891
7837696,220456,14556,152796,7512848,4596,99796,0,0,0,355957,460,43972,443725,3415,0,8,183,1541010,1974361,0,0,1311157,428411,1668269575,3895
7837696,220192,14560,152892,7513100,4604,99800,0,0,0,355957,460,43972,444725,3415,0,8,183,1541010,1974405,0,0,1311276,428571,1668269575,3897
7837696,219932,14568,152952,7513352,4612,99800,0,0,0,355958,460,43972,445725,3415,0,8,183,1541010,1974425,0,0,1311380,428702,1668269575,3899
7837696,219672,14576,152784,7513604,4620,99800,0,0,0,355958,460,43973,446725,3415,0,8,183,1541010,1974449,0,0,1311486,428847,1668269575,3901
7837696,219644,14580,152972,7513624,4628,99800,0,0,0,355958,460,43973,447725,3415,0,8,183,1541010,1974461,0,0,1311584,428988,1668269575,3903
7837696,219400,14588,152808,7513856,4636,99804,0,0,0,355958,460,43973,448725,3415,0,8,184,1541010,1974481,0,0,1311692,429136,1668269575,3905
7837696,219120,14600,153016,7514128,4644,99804,0,0,0,355958,460,43973,449725,3415,0,8,184,1541010,1974501,0,0,1311791,429282,1668269575,3907
7837696,218880,14604,152884,7514360,4652,99804,0,0,0,355958,460,43973,450725,3415,0,8,184,1541010,1974525,0,0,1311913,429433,1668269575,3909
7837696,218620,14612,152884,7514612,4660,99804,0,0,0,355959,460,43974,451725,3416,0,8,184,1541010,1974537,0,0,1312010,429566,1668269575,3911
7837696,218840,14620,152904,7514384,4668,99804,0,0,0,355959,460,43974,452725,3416,0,8,184,1541010,1974553,0,0,1312119,429714,1668269575,3913
7837696,218344,14628,152972,7514868,4676,99808,0,0,0,355960,460,43974,453725,3416,0,8,184,1541010,1974565,0,0,1312217,429851,1668269575,3915
7837696,218332,14636,152912,7514872,4684,99808,0,0,0,355960,460,43974,454725,3416,0,8,184,1541010,1974585,0,0,1312373,430050,1668269575,3917
7837696,218088,14644,152916,7515108,4692,99808,0,0,0,355962,460,43974,455723,3416,0,8,184,1541010,1974605,0,0,1312738,430454,1668269575,3927
7837696,217304,14660,152724,7515884,4700,99808,0,0,0,355963,460,43975,456722,3416,0,8,184,1541010,1974637,0,0,1313014,430816,1668269575,3932
7837696,217276,14668,152828,7515904,4708,99808,0,0,0,355963,460,43975,457722,3416,0,8,185,1541010,1974653,0,0,1313128,430978,1668269575,3934
7837696,216784,14672,152900,7516388,4716,99808,0,0,0,355964,460,43975,458722,3416,0,8,185,1541010,1974665,0,0,1313243,431125,1668269575,3936
7837696,216752,14684,152812,7516408,4724,99812,0,0,0,355964,460,43975,459722,3416,0,8,185,1541010,1974685,0,0,1313344,431259,1668269575,3938
7837696,216260,14688,152908,7516892,4732,99812,0,0,0,355964,460,43976,460713,3426,0,8,185,1541010,1974705,0,0,1313451,431406,1668269575,3940
7837696,216252,14692,152832,7516892,4740,99812,0,0,0,355964,460,43976,461713,3426,0,8,185,1541010,1974729,0,0,1313549,431550,1668269575,3942
7837696,216240,14724,152716,7516896,4748,99812,0,0,0,355964,460,43977,462712,3426,0,8,185,1541010,1974741,0,0,1313747,431833,1668269575,3946
7837696,215976,14736,152828,7517152,4756,99812,0,0,0,355964,460,43978,463711,3426,0,8,185,1541010,1974757,0,0,1313976,432101,1668269575,3952
7837696,215688,14744,152716,7517424,4768,99816,0,0,0,355964,460,43978,464711,3426,0,8,185,1541010,1974777,0,0,1314099,432257,1668269575,3954
7837696,215696,14756,152712,7517404,4776,99820,0,0,0,355964,460,43979,465710,3426,0,8,185,1541010,1974805,0,0,1314248,432459,1668269575,3958
7837696,215668,14764,152808,7517424,4784,99820,0,0,0,355965,460,43979,466710,3426,0,8,185,1541010,1974837,0,0,1314357,432609,1668269575,3960
7837696,215700,14776,152712,7517384,4792,99820,0,0,0,355965,460,43980,467710,3426,0,8,186,1541010,1974849,0,0,1314546,432836,1668269575,3964
