K total memory,K used memory,K active memory,K inactive memory,K free memory,K buffer memory,K swap cache,K total swap,K used swap,K free swap,non-nice user cpu ticks,nice user cpu ticks,system cpu ticks,idle cpu ticks,IO-wait cpu ticks,IRQ cpu ticks,softirq cpu ticks,stolen cpu ticks,pages paged in,pages paged out,pages swapped in,pages swapped out,interrupts,CPU context switches,boot time,forks
7837696,219704,14308,152732,7513868,4380,99744,0,0,0,331941,460,43966,431657,3415,0,8,178,1540986,1973653,0,0,1248709,422156,1668269575,3831
7837696,217520,14308,161792,7513868,4380,101928,0,0,0,332407,460,43968,432191,3415,0,8,178,1541006,1973653,0,0,1249984,422378,1668269575,3836
7837696,217760,14312,161792,7513616,4388,101932,0,0,0,333411,460,43968,432191,3415,0,8,178,1541006,1973849,0,0,1252552,422557,1668269575,3838
7837696,218000,14320,161864,7513364,4400,101932,0,0,0,334415,460,43968,432191,3415,0,8,178,1541010,1973873,0,0,1255101,422722,1668269575,3840
7837696,218240,14336,161780,7513116,4408,101932,0,0,0,335419,460,43968,432191,3415,0,8,178,1541010,1973909,0,0,1257646,422878,1668269575,3842
7837696,218484,14344,161760,7512864,4416,101932,0,0,0,336424,460,43968,432191,3415,0,8,178,1541010,1973921,0,0,1260189,423037,1668269575,3844
7837696,218472,14352,161788,7512864,4424,101936,0,0,0,337429,460,43968,432191,3415,0,8,179,1541010,1973941,0,0,1262736,423204,1668269575,3846
7837696,218716,14360,161764,7512612,4432,101936,0,0,0,338434,460,43968,432191,3415,0,8,179,1541010,1973973,0,0,1265285,423371,1668269575,3848
7837696,218960,14364,161868,7512360,4440,101936,0,0,0,339438,460,43968,432191,3415,0,8,179,1541010,1973985,0,0,1267828,423531,1668269575,3850
7837696,218952,14376,161784,7512360,4448,101936,0,0,0,340443,460,43968,432191,3415,0,8,179,1541010,1974001,0,0,1270372,423702,1668269575,3852
7837696,219196,14380,161772,7512108,4456,101936,0,0,0,341446,460,43968,432191,3415,0,8,179,1541010,1974013,0,0,1272918,423864,1668269575,3854
7837696,219184,14392,161788,7512108,4464,101940,0,0,0,342451,460,43968,432191,3415,0,8,179,1541010,1974033,0,0,1275463,424018,1668269575,3856
7837696,219932,14408,161784,7511352,4472,101940,0,0,0,343456,460,43969,432191,3415,0,8,180,1541010,1974053,0,0,1278030,424237,1668269575,3859
7837696,220176,14416,161780,7511100,4480,101940,0,0,0,344460,460,43969,432191,3415,0,8,180,1541010,1974077,0,0,1280578,424407,1668269575,3861
7837696,220420,14424,161764,7510848,4488,101940,0,0,0,345465,460,43969,432191,3415,0,8,180,1541010,1974089,0,0,1283123,424562,1668269575,3863
7837696,220664,14432,161780,7510596,4496,101940,0,0,0,346468,460,43969,432191,3415,0,8,180,1541010,1974105,0,0,1285665,424714,1668269575,3865
7837696,220908,14440,161768,7510344,4504,101940,0,0,0,347473,460,43969,432191,3415,0,8,180,1541010,1974117,0,0,1288208,424871,1668269575,3867
7837696,221400,14448,161784,7509840,4512,101944,0,0,0,348478,460,43969,432191,3415,0,8,180,1541010,1974137,0,0,1290754,425033,1668269575,3869
7837696,221636,14464,161700,7509588,4528,101944,0,0,0,349481,460,43970,432191,3415,0,8,181,1541010,1974185,0,0,1293312,425218,1668269575,3873
7837696,221888,14464,161788,7509336,4528,101944,0,0,0,350485,460,43970,432191,3415,0,8,181,1541010,1974205,0,0,1295856,425366,1668269575,3875
7837696,222400,14472,161776,7508816,4536,101944,0,0,0,351488,460,43970,432191,3415,0,8,181,1541010,1974217,0,0,1298395,425510,1668269575,3877
7837696,222372,14480,161684,7508836,4544,101944,0,0,0,352493,460,43970,432191,3415,0,8,181,1541010,1974233,0,0,1300943,425680,1668269575,3879
7837696,222380,14488,161880,7508816,4552,101948,0,0,0,353497,460,43970,432191,3415,0,8,181,1541010,1974245,0,0,1303541,425957,1668269575,3881
7837696,222096,14500,161900,7509088,4564,101948,0,0,0,354501,460,43970,432191,3415,0,8,182,1541010,1974265,0,0,1306085,426128,1668269575,3883
7837696,222592,14508,161848,7508584,4572,101948,0,0,0,355504,460,43970,432191,3415,0,8,182,1541010,1974293,0,0,1308704,426470,1668269575,3886
7837696,220708,14540,152904,7512616,4580,99792,0,0,0,355957,460,43971,432740,3415,0,8,182,1541010,1974325,0,0,1309945,426702,1668269575,3888
