procs -----------------------memory---------------------- ---swap-- -----io---- -system-- --------cpu--------
 r  b         swpd         free         buff        cache   si   so    bi    bo   in   cs  us  sy  id  wa  st
 0  0            0      6903572        30336       688224    0    0   663  3268  160  243   4   2  86   7   0
 0  0            0      6903572        30336       688268    0    0     0     0   18   21   0   0 100   0   0
 0  0            0      6903572        30344       688268    0    0     0     6   27   38   0   0 100   0   0
 0  0            0      6903320        30344       688268    0    0     0     0  675 1292   0   0 100   0   0
 0  0            0      6903320        30352       688268    0    0     0     2   41   55   0   0 100   0   0
 0  0            0      6903320        30368       688268    0    0     0     7   56   62   0   0 100   0   0
 0  0            0      6903320        30368       688268    0    0     0     0   17   26   0   0 100   0   0
 0  0            0      6903320        30376       688268    0    0     0     3   17   24   0   0 100   0   0
 0  0            0      6903320        30384       688268    0    0     0     8   37   53   0   0 100   0   0
 0  0            0      6903320        30384       688268    0    0     0     0   29   47   0   0 100   0   0
 0  0            0      6903320        30392       688268    0    0     0     3   33   46   0   0 100   0   0
 0  0            0      6903320        30400       688268    0    0     0     2   17   26   0   0 100   0   0
 0  0            0      6903320        30400       688268    0    0     0     0   15   24   0   0 100   0   0
 0  0            0      6903320        30408       688268    0    0     0     2   17   24   0   0 100   0   0
 0  0            0      6903320        30408       688268    0    0     0     3   17   25   0   0 100   0   0
 0  0            0      6903320        30416       688268    0    0     0     3   59   69   0   0 100   0   0
 0  0            0      6903320        30424       688268    0    0     0     2   42   53   0   0 100   0   0
 0  0            0      6903320        30424       688268    0    0     0     0   15   21   0   0 100   0   0
 0  0            0      6903320        30432       688268    0    0     0     2   16   25   0   0 100   0   0
 0  0            0      6903320        30432       688268    0    0     0     0   14   21   0   0 100   0   0
 0  0            0      6903320        30440       688268    0    0     0     2   22   32   0   0 100   0   0
 0  1            0      6903320        30444       688268    0    0     0     2   20   27   0   0 100   0   0
 0  0            0      6903068        30448       688268    0    0     0     1   50   62   0   0 100   0   0
 0  0            0      6903068        30456       688268    0    0     0     2   27   37   0   0 100   0   0
 0  0            0      6902816        30464       688268    0    0     0     2   41   53   0   0 100   0   0
 0  0            0      6902816        30472       688268    0    0     0     2   17   25   0   0 100   0   0
 0  0            0      6902816        30472       688268    0    0     0     0   25   36   0   0 100   0   0
 0  0            0      6902816        30480       688268    0    0     0     2   24   32   0   0 100   0   0
