procs -----------------------memory---------------------- ---swap-- -----io---- -system-- --------cpu--------
 r  b         swpd         free         buff        cache   si   so    bi    bo   in   cs  us  sy  id  wa  st
 2  0            0      6878776        31752       712020    0    0   392  1960  113  173   3   1  91   4   0
 2  0            0      6878776        31760       712016    0    0     0    77  273   48  49   0  51   0   0
 2  0            0      6878776        31760       712024    0    0     0     0  265   29  50   0  50   0   0
 3  0            0      6878528        31768       712024    0    0     1  9009  304   81  49   0  44   7   0
 2  0            0      6866712        31820       712780    0    0   116    10  300  109  51   0  49   0   0
 1  0            0      6866712        31828       712780    0    0     0    27  281   34  50   0  50   0   0
 1  0            0      6866712        31836       712780    0    0     0     2  290   34  50   0  50   0   0
 2  0            0      6866712        31844       712780    0    0     0    60  314   82  49   0  50   0   0
 1  0            0      6866712        31852       712780    0    0     0     6  278   33  49   0  51   0   0
 1  0            0      6866712        31860       712780    0    0     0     2  291   33  51   0  49   0   0
 2  0            0      6866712        31868       712780    0    0     0    39  290   44  49   0  51   0   0
 1  0            0      6866712        31876       712780    0    0     0     6  280   34  50   0  50   0   0
 1  0            0      6866712        31884       712780    0    0     0     2  287   33  51   0  49   0   0
 0  0            0      6866712        31892       712780    0    0     0     2  277   32  49   0  51   0   0
 0  0            0      6866712        31900       712780    0    0     0    10  288   33  52   0  48   0   0
 1  0            0      6866712        31900       712780    0    0     0     0  282   29  50   0  50   0   0
 1  0            0      6866712        31908       712780    0    0     0     2  284   33  50   0  50   0   0
 2  0            0      6866712        31916       712780    0    0     0     2  281   35  50   0  50   0   0
 1  0            0      6866712        31924       712780    0    0     0     2  281   35  49   0  51   0   0
 1  0            0      6866712        31932       712780    0    0     0     2  282   37  50   0  50   0   0
 0  0            0      6866712        31940       712780    0    0     0     2  290   60  49   0  51   0   0
 1  0            0      6866712        31948       712780    0    0     0     3  290   34  51   0  49   0   0
 1  0            0      6866712        31948       712780    0    0     0     0  280   32  50   0  50   0   0
 0  0            0      6866712        31956       712780    0    0     0     2  285   33  50   0  49   1   0
 0  0            0      6870744        31964       710608    0    0     0     2  236   41  40   0  60   0   0
