Percentage served,Time in ms
0,0.290
1,5.910
2,10.183
3,12.554
4,13.278
5,15.972
6,16.442
7,16.931
8,17.156
9,17.238
10,17.363
11,17.419
12,17.458
13,17.703
14,17.998
15,18.263
16,18.460
17,18.636
18,18.845
19,19.395
20,19.662
21,19.876
22,20.036
23,20.220
24,20.375
25,20.603
26,20.814
27,20.980
28,21.090
29,21.168
30,21.230
31,21.306
32,21.400
33,21.543
34,21.713
35,21.976
36,22.255
37,22.471
38,22.669
39,22.982
40,23.585
41,24.144
42,24.995
43,25.341
44,25.537
45,25.699
46,26.057
47,26.500
48,26.791
49,26.845
50,26.927
51,27.014
52,27.090
53,27.189
54,27.366
55,27.692
56,28.443
57,29.083
58,29.204
59,29.319
60,29.409
61,29.834
62,30.073
63,30.345
64,30.557
65,30.812
66,31.056
67,31.298
68,31.469
69,31.695
70,31.920
71,32.132
72,32.259
73,32.298
74,32.311
75,32.324
76,32.387
77,33.196
78,39.403
79,40.327
80,43.370
81,44.373
82,45.185
83,45.506
84,45.740
85,46.037
86,46.266
87,46.456
88,46.732
89,47.054
90,49.299
91,49.645
92,50.878
93,51.158
94,51.260
95,51.406
96,51.533
97,51.758
98,52.600
99,53.525
100,54.607
