K total memory,K used memory,K active memory,K inactive memory,K free memory,K buffer memory,K swap cache,K total swap,K used swap,K free swap,non-nice user cpu ticks,nice user cpu ticks,system cpu ticks,idle cpu ticks,IO-wait cpu ticks,IRQ cpu ticks,softirq cpu ticks,stolen cpu ticks,pages paged in,pages paged out,pages swapped in,pages swapped out,interrupts,CPU context switches,boot time,forks
7837696,1864968,421432,2023828,5228756,33096,710876,0,0,0,171093,460,24786,323476,3321,0,6,127,374738,1907369,0,0,612480,231011,1668269575,3156
7837696,4398308,421436,4569484,2695404,33104,710880,0,0,0,171967,460,24916,323476,3321,0,6,127,374738,1907525,0,0,615039,231189,1668269575,3158
7837696,4398560,421444,4569544,2695152,33104,710880,0,0,0,172970,460,24916,323476,3321,0,6,127,374738,1907525,0,0,617579,231354,1668269575,3160
7837696,4398804,421452,4569548,2694900,33112,710880,0,0,0,173974,460,24916,323476,3321,0,6,127,374738,1907585,0,0,620129,231526,1668269575,3162
7837696,4399048,421460,4569536,2694648,33120,710880,0,0,0,174979,460,24916,323476,3321,0,6,127,374738,1907597,0,0,622670,231679,1668269575,3164
7837696,3449964,421468,3621544,3643724,33128,710880,0,0,0,175502,460,25397,323476,3321,0,6,128,374738,1907613,0,0,625227,231887,1668269575,3166
7837696,1481532,421484,1636540,5612144,33136,710884,0,0,0,176355,460,25548,323476,3321,0,6,128,374738,1907625,0,0,627785,232107,1668269575,3169
7837696,3046696,421492,3201996,4046972,33144,710884,0,0,0,177284,460,25623,323476,3321,0,6,128,374738,1907645,0,0,630330,232279,1668269575,3171
7837696,4395888,421500,4569568,2697772,33152,710884,0,0,0,178225,460,25686,323476,3321,0,6,128,374738,1907665,0,0,632869,232433,1668269575,3173
7837696,4396132,421508,4569524,2697520,33160,710884,0,0,0,179229,460,25686,323476,3321,0,6,129,374738,1907689,0,0,635410,232590,1668269575,3175
7837696,1959624,421516,2125932,5134020,33168,710884,0,0,0,180214,460,25706,323476,3321,0,6,129,374738,1907701,0,0,637953,232747,1668269575,3177
7837696,4410988,421524,4569616,2682644,33176,710888,0,0,0,180677,460,26247,323476,3321,0,6,129,374738,1907721,0,0,640495,232931,1668269575,3179
7837696,4411232,421524,4569584,2682392,33184,710888,0,0,0,181681,460,26247,323476,3321,0,6,129,374738,1907741,0,0,643031,233071,1668269575,3181
7837696,4411232,421532,4569536,2682392,33184,710888,0,0,0,182685,460,26247,323476,3321,0,6,130,374738,1907753,0,0,645575,233232,1668269575,3183
7837696,4409524,421540,4569704,2684092,33192,710888,0,0,0,183428,460,26508,323476,3321,0,6,130,374738,1907765,0,0,648117,233394,1668269575,3185
7837696,4409516,421548,4569652,2684092,33200,710888,0,0,0,184432,460,26508,323476,3321,0,6,130,374738,1907781,0,0,650718,233683,1668269575,3187
7837696,4425384,421556,4562984,2668216,33208,710888,0,0,0,185229,460,26715,323476,3321,0,6,130,374738,1907793,0,0,653263,233851,1668269575,3189
7837696,874952,421564,1037220,6218636,33216,710892,0,0,0,185955,460,26993,323476,3321,0,6,131,374738,1907813,0,0,655875,234207,1668269575,3192
7837696,4413804,421576,4569648,2679776,33224,710892,0,0,0,186696,460,27272,323476,3321,0,6,131,374738,1907845,0,0,658474,234450,1668269575,3195
7837696,1194196,421580,1350492,5899376,33232,710892,0,0,0,187631,460,27340,323476,3321,0,6,131,374738,1907857,0,0,661015,234627,1668269575,3197
7837696,4930008,421588,5093888,2163556,33240,710892,0,0,0,188447,460,27530,323476,3321,0,6,131,374738,1907877,0,0,663589,234861,1668269575,3199
7837696,4930252,421596,5093892,2163304,33248,710892,0,0,0,189450,460,27530,323476,3321,0,6,132,374738,1907893,0,0,666185,235127,1668269575,3201
7837696,4930744,421604,5093876,2162800,33256,710896,0,0,0,190455,460,27530,323476,3321,0,6,132,374738,1907905,0,0,668728,235281,1668269575,3203
7837696,4930732,421616,5093896,2162800,33268,710896,0,0,0,191459,460,27530,323476,3321,0,6,132,374738,1907925,0,0,671271,235439,1668269575,3205
7837696,230032,421628,372588,6865656,33276,708732,0,0,0,191964,460,27631,323873,3321,0,6,132,374738,1907953,0,0,672892,235661,1668269575,3207
