Percentage served,Time in ms
0,2.210
1,9.105
2,11.147
3,24.281
4,27.457
5,38.034
6,43.371
7,47.008
8,48.779
9,50.731
10,60.458
11,63.945
12,65.827
13,73.578
14,111.540
15,117.656
16,124.941
17,130.292
18,136.474
19,143.475
20,152.412
21,156.697
22,163.859
23,172.706
24,178.769
25,187.145
26,192.656
27,194.468
28,194.612
29,199.571
30,200.229
31,200.704
32,201.593
33,202.349
34,202.469
35,202.578
36,202.706
37,203.001
38,203.168
39,203.257
40,203.430
41,203.673
42,203.764
43,203.837
44,204.105
45,204.180
46,205.178
47,205.334
48,205.664
49,206.642
50,207.952
51,209.489
52,210.729
53,211.540
54,211.819
55,211.988
56,212.097
57,212.125
58,212.249
59,212.386
60,212.483
61,212.594
62,212.693
63,213.212
64,213.543
65,213.925
66,214.708
67,215.579
68,216.037
69,216.649
70,217.210
71,217.732
72,217.937
73,218.227
74,218.575
75,219.245
76,219.983
77,220.166
78,220.366
79,220.471
80,220.611
81,220.879
82,221.216
83,221.329
84,221.516
85,221.790
86,222.895
87,223.759
88,224.945
89,225.605
90,226.466
91,227.469
92,227.982
93,228.213
94,228.293
95,228.368
96,228.452
97,228.830
98,229.478
99,232.285
100,235.731
