K total memory,K used memory,K active memory,K inactive memory,K free memory,K buffer memory,K swap cache,K total swap,K used swap,K free swap,non-nice user cpu ticks,nice user cpu ticks,system cpu ticks,idle cpu ticks,IO-wait cpu ticks,IRQ cpu ticks,softirq cpu ticks,stolen cpu ticks,pages paged in,pages paged out,pages swapped in,pages swapped out,interrupts,CPU context switches,boot time,forks
8140856,332180,98648,188320,7662608,6612,139456,1637028,453240,1183788,175686,2146,38992,353642,47693,0,15971,0,31497237,50613817,7436909,12577238,5026425,4677394,1668331770,5516
8140856,332228,98652,188264,7662608,6612,139408,1637028,453240,1183788,175702,2146,39004,354556,47693,0,15971,0,31497237,50613825,7436909,12577238,5029840,4682140,1668331770,5518
8140856,332016,98664,188440,7662608,6620,139612,1637028,453240,1183788,175708,2146,39010,355492,47693,0,15972,0,31497365,50613857,7436909,12577238,5032828,4683827,1668331770,5526
8140856,332008,98672,188440,7662608,6628,139612,1637028,453240,1183788,175714,2146,39024,356388,47693,0,15973,0,31497365,50613893,7436909,12577238,5038149,4685643,1668331770,5532
8140856,332076,98680,188356,7662608,6636,139536,1637028,453240,1183788,175725,2146,39032,357323,47694,0,15973,0,31497365,50613917,7436909,12577238,5041316,4687012,1668331770,5536
8140856,332068,98688,188344,7662608,6644,139536,1637028,453240,1183788,175728,2146,39033,358279,47694,0,15973,0,31497365,50613933,7436909,12577238,5043558,4687701,1668331770,5538
8140856,332056,98696,188440,7662608,6652,139540,1637028,453240,1183788,175730,2146,39035,359239,47694,0,15973,0,31497365,50613949,7436909,12577238,5045577,4688223,1668331770,5540
8140856,332048,98704,188396,7662608,6660,139540,1637028,453240,1183788,175730,2146,39036,360205,47694,0,15974,0,31497365,50613973,7436909,12577238,5047414,4688414,1668331770,5542
8140856,332040,98712,188336,7662608,6668,139540,1637028,453240,1183788,175733,2146,39036,361166,47694,0,15974,0,31497365,50613993,7436909,12577238,5049358,4688717,1668331770,5544
8140856,332040,98712,188420,7662608,6668,139540,1637028,453240,1183788,175733,2146,39036,362131,47694,0,15974,0,31497365,50614005,7436909,12577238,5051220,4688915,1668331770,5546
8140856,332032,98720,188336,7662608,6676,139540,1637028,453240,1183788,175733,2146,39036,363105,47695,0,15974,0,31497365,50614017,7436909,12577238,5053741,4689143,1668331770,5548
8140856,332020,98728,188340,7662608,6684,139544,1637028,453240,1183788,175734,2146,39036,364074,47695,0,15974,0,31497365,50614037,7436909,12577238,5055858,4689354,1668331770,5550
8140856,332012,98736,188316,7662608,6692,139544,1637028,453240,1183788,175735,2146,39036,365037,47695,0,15974,0,31497365,50614057,7436909,12577238,5057747,4689581,1668331770,5552
8140856,332004,98744,188336,7662608,6700,139544,1637028,453240,1183788,175735,2146,39037,366001,47695,0,15974,0,31497365,50614093,7436909,12577238,5059543,4689768,1668331770,5554
8140856,332004,98744,188336,7662608,6700,139544,1637028,453240,1183788,175735,2146,39037,366965,47695,0,15974,0,31497365,50614093,7436909,12577238,5061332,4689968,1668331770,5556
8140856,331996,98752,188356,7662608,6708,139544,1637028,453240,1183788,175736,2146,39037,367932,47695,0,15974,0,31497365,50614109,7436909,12577238,5063134,4690151,1668331770,5558
8140856,331972,98780,188372,7662608,6724,139552,1637028,453240,1183788,175744,2146,39046,368869,47696,0,15974,0,31497365,50614161,7436909,12577238,5066031,4692286,1668331770,5564
8140856,331960,98780,188440,7662608,6732,139556,1637028,453240,1183788,175746,2146,39049,369827,47696,0,15974,0,31497365,50614217,7436909,12577238,5068246,4692920,1668331770,5566
8140856,331960,98796,188388,7662608,6732,139556,1637028,453240,1183788,175748,2146,39050,370788,47696,0,15974,0,31497365,50614217,7436909,12577238,5070244,4693398,1668331770,5568
8140856,331952,98804,188368,7662608,6740,139556,1637028,453240,1183788,175748,2146,39050,371758,47696,0,15974,0,31497365,50614233,7436909,12577238,5071970,4693599,1668331770,5570
8140856,331944,98812,188340,7662608,6748,139556,1637028,453240,1183788,175749,2146,39050,372719,47696,0,15974,0,31497365,50614245,7436909,12577238,5073915,4693948,1668331770,5572
8140856,331936,98820,188308,7662608,6756,139556,1637028,453240,1183788,175749,2146,39050,373684,47696,0,15975,0,31497365,50614257,7436909,12577238,5075798,4694156,1668331770,5574
8140856,331924,98828,188332,7662608,6764,139560,1637028,453240,1183788,175749,2146,39051,374647,47696,0,15975,0,31497365,50614269,7436909,12577238,5077698,4694399,1668331770,5576
8140856,331916,98836,188356,7662608,6772,139560,1637028,453240,1183788,175749,2146,39052,375611,47696,0,15975,0,31497365,50614321,7436909,12577238,5079607,4694610,1668331770,5578
8140856,331908,98844,188444,7662608,6780,139560,1637028,453240,1183788,175749,2146,39052,376576,47696,0,15975,0,31497365,50614341,7436909,12577238,5081480,4694824,1668331770,5580
8140856,331900,98852,188416,7662608,6788,139560,1637028,453240,1183788,175750,2146,39052,377543,47697,0,15975,0,31497365,50614361,7436909,12577238,5083277,4695027,1668331770,5582
8140856,331892,98860,188408,7662608,6796,139560,1637028,453240,1183788,175751,2146,39052,378511,47697,0,15975,0,31497365,50614377,7436909,12577238,5085094,4695250,1668331770,5584
