K total memory,K used memory,K active memory,K inactive memory,K free memory,K buffer memory,K swap cache,K total swap,K used swap,K free swap,non-nice user cpu ticks,nice user cpu ticks,system cpu ticks,idle cpu ticks,IO-wait cpu ticks,IRQ cpu ticks,softirq cpu ticks,stolen cpu ticks,pages paged in,pages paged out,pages swapped in,pages swapped out,interrupts,CPU context switches,boot time,forks
8140856,311580,95376,180192,7692592,5264,131420,1637028,457848,1179180,139913,2146,38553,326305,47674,0,15214,0,31478005,50610321,7434754,12577238,4835206,4549271,1668331770,5291
8140856,311820,95388,180316,7692340,5272,131424,1637028,457848,1179180,140131,2146,38568,326784,47674,0,15221,0,31478005,50610533,7434754,12577238,4838096,4553019,1668331770,5293
8140856,311820,95388,180308,7692340,5272,131424,1637028,457848,1179180,140339,2146,38570,327258,47674,0,15228,0,31478005,50610589,7434754,12577238,4839776,4553695,1668331770,5295
8140856,311812,95396,180320,7692340,5280,131424,1637028,457848,1179180,140586,2146,38571,327730,47674,0,15234,0,31478037,50610617,7434762,12577238,4841488,4554255,1668331770,5297
8140856,311812,95396,180300,7692340,5280,131424,1637028,457848,1179180,140871,2146,38572,328209,47674,0,15237,0,31478037,50610617,7434762,12577238,4843252,4554485,1668331770,5299
8140856,311804,95404,180296,7692340,5288,131424,1637028,457848,1179180,141181,2146,38572,328696,47674,0,15242,0,31478037,50610637,7434762,12577238,4845090,4554705,1668331770,5301
8140856,311792,95412,180324,7692340,5296,131428,1637028,457848,1179180,141492,2146,38572,329187,47675,0,15246,0,31478037,50610665,7434762,12577238,4846938,4554979,1668331770,5305
8140856,311792,95412,180304,7692340,5296,131428,1637028,457848,1179180,141830,2146,38572,329680,47675,0,15248,0,31478037,50610681,7434762,12577238,4848844,4555202,1668331770,5307
8140856,311784,95420,180360,7692340,5304,131428,1637028,457848,1179180,142158,2146,38573,330162,47675,0,15255,0,31478037,50610701,7434762,12577238,4850733,4555465,1668331770,5309
8140856,311776,95424,180532,7692340,5312,131428,1637028,457848,1179180,142509,2146,38574,330640,47675,0,15259,0,31478065,50610761,7434769,12577238,4852693,4555873,1668331770,5311
8140856,311768,95428,180456,7692340,5320,131428,1637028,457848,1179180,142838,2146,38576,331111,47676,0,15262,0,31478065,50610813,7434769,12577238,4854545,4556155,1668331770,5313
8140856,311764,95436,180412,7692340,5320,131432,1637028,457848,1179180,143169,2146,38576,331584,47676,0,15268,0,31478065,50610853,7434769,12577238,4856429,4556447,1668331770,5315
8140856,311756,95444,180508,7692340,5328,131432,1637028,457848,1179180,143526,2146,38577,332066,47676,0,15272,0,31478065,50610873,7434769,12577238,4858459,4556727,1668331770,5317
8140856,319456,97368,196068,7675708,5940,139752,1637028,454264,1182764,143867,2146,38591,332517,47682,0,15280,0,31494545,50610921,7436657,12577238,4861681,4559058,1668331770,5325
8140856,319776,97380,197716,7674196,5952,140932,1637028,454264,1182764,144168,2146,38592,333003,47685,0,15286,0,31496205,50611281,7436782,12577238,4863714,4559527,1668331770,5329
8140856,319800,97788,196600,7673944,5960,141152,1637028,454264,1182764,144493,2146,38593,333480,47686,0,15291,0,31496481,50611305,7436795,12577238,4865580,4559985,1668331770,5332
8140856,319792,97788,196512,7673944,5968,141152,1637028,454264,1182764,144857,2146,38594,333962,47686,0,15294,0,31496481,50611489,7436795,12577238,4867472,4560261,1668331770,5334
8140856,319788,97804,196500,7673944,5968,141156,1637028,454264,1182764,145213,2146,38594,334434,47686,0,15298,0,31496481,50611489,7436795,12577238,4869367,4560493,1668331770,5336
8140856,320032,97812,196680,7673692,5976,141156,1637028,454264,1182764,145572,2146,38594,334910,47686,0,15302,0,31496481,50611501,7436795,12577238,4871370,4560734,1668331770,5338
8140856,320024,97808,196500,7673692,5984,141156,1637028,454264,1182764,145930,2146,38594,335408,47686,0,15305,0,31496481,50611513,7436795,12577238,4873511,4560965,1668331770,5340
8140856,320016,97816,196616,7673692,5992,141156,1637028,454264,1182764,146234,2146,38595,335904,47686,0,15310,0,31496481,50611525,7436795,12577238,4875611,4561201,1668331770,5342
8140856,320008,97820,196496,7673692,6000,141156,1637028,454264,1182764,146528,2146,38596,336376,47686,0,15314,0,31496481,50611537,7436795,12577238,4877574,4561472,1668331770,5344
8140856,319996,97844,196684,7673692,6008,141160,1637028,454264,1182764,146825,2146,38596,336867,47686,0,15318,0,31496481,50611553,7436795,12577238,4879358,4561730,1668331770,5346
8140856,319984,97852,196664,7673692,6016,141164,1637028,454008,1183020,147114,2146,38596,337361,47687,0,15322,0,31496581,50611597,7436820,12577238,4881351,4562045,1668331770,5348
