procs -----------------------memory---------------------- ---swap-- -----io---- -system-- --------cpu--------
 r  b         swpd         free         buff        cache   si   so    bi    bo   in   cs  us  sy  id  wa  st
 0  0            0      4147432        37588      3128432    0    0   530  1430  550 1478  61  17  21   1   0
 2  0            0      4147432        37596      3128436    0    0     0     9  531  701  60  14  26   0   0
 1  0            0      4147432        37596      3128436    0    0     0     0  412  354  60  12  28   0   0
 2  0            0      4147432        37604      3128436    0    0     0     2  386  263  66  21  22   0   0
 1  0            0      4147432        37604      3128436    0    0     0    10  347   43  61  21  28   0   0
 1  0            0      4147432        37612      3128436    0    0     0     2  435  325  66  21  23   0   0
 2  0            0      4147432        37612      3128436    0    0     0    28  452  378  68  22  21   0   0
 2  0            0      4147432        37620      3128436    0    0     0     5  326  130  60  22  29   0   0
 0  0            0      4147432        37628      3128432    0    0     0     4  343  111  66  21  24   0   0
 1  0            0      4147432        37628      3128436    0    0     0     0  307   42  61  20  29   0   0
 0  0            0      4147432        37636      3128436    0    0     0     2  338   51  67  21  22   0   0
 1  0            0      4147432        37636      3128436    0    0     0     3  341   42  63  20  26   0   0
 2  0            0      4147432        37644      3128436    0    0     0     2  323   88  60  11  29   0   0
 0  0            0      4147432        37644      3128436    0    0     0     0  357  203  61  16  29   0   0
 1  0            0      4147432        37652      3128436    0    0     0     3  319   57  67  15  22   0   0
 2  0            0      4147432        37652      3128436    0    0     0     0  793 2083  69  14  27   0   0
 0  0            0      4147432        37660      3128492    0    0     0     2  585 1209  62  17  27   0   0
 1  0            0      4147432        37660      3128492    0    0     0     0  425  275  62  17  26   0   0
 3  0            0      4147432        37668      3128492    0    0     0     2  339  216  66  18  22   0   0
 2  0            0      4147432        37668      3128492    0    0     0     0  341  159  60  12  29   0   0
 0  0            0      4147432        37676      3128548    0    0     0     2  483  655  69  13  20   0   0
 2  0            0      4147432        37676      3128548    0    0     0     1  387  194  65  12  24   0   0
 2  0            0      4147432        37684      3128436    0    0     0     2  617 1048  61  13  26   0   0
 0  0            0      4147432        37684      3128436    0    0     0     0  395  341  63  12  35   0   0
 0  0            0      4147432        37692      3126280    0    0     0     2  439  298  62  11  28   0   0
