K total memory,K used memory,K active memory,K inactive memory,K free memory,K buffer memory,K swap cache,K total swap,K used swap,K free swap,non-nice user cpu ticks,nice user cpu ticks,system cpu ticks,idle cpu ticks,IO-wait cpu ticks,IRQ cpu ticks,softirq cpu ticks,stolen cpu ticks,pages paged in,pages paged out,pages swapped in,pages swapped out,interrupts,CPU context switches,boot time,forks
8140856,313404,87828,133152,7731144,1152,95156,1637028,462712,1174316,124572,2146,37984,270777,47608,0,15010,0,31436474,50607677,7432962,12577238,4641551,4387064,1668331770,5084
8140856,313140,87864,133744,7730892,1164,95660,1637028,462456,1174572,124612,2146,38014,271633,47609,0,15012,0,31437034,50607713,7432982,12577238,4645272,4394201,1668331770,5087
8140856,313164,88012,134076,7730640,1168,95884,1637028,462200,1174828,124617,2146,38027,272553,47610,0,15012,0,31437418,50607713,7433040,12577238,4647919,4396126,1668331770,5092
8140856,312240,88224,135328,7730140,1184,97292,1637028,462200,1174828,124626,2146,38045,273469,47611,0,15012,0,31438189,50607757,7433048,12577238,4650598,4398100,1668331770,5098
8140856,312484,88256,135352,7729888,1196,97288,1637028,462200,1174828,124631,2146,38059,274374,47611,0,15012,0,31438209,50607773,7433052,12577238,4653245,4399883,1668331770,5108
8140856,312704,88812,135436,7729132,1776,97244,1637028,462200,1174828,124638,2146,38067,275292,47614,0,15013,0,31439069,50607789,7433100,12577238,4655770,4401659,1668331770,5112
8140856,312632,88860,135524,7729132,1776,97316,1637028,462200,1174828,124644,2146,38076,276237,47614,0,15013,0,31439069,50607789,7433100,12577238,4657920,4403301,1668331770,5114
8140856,312876,88868,135496,7728880,1784,97316,1637028,462200,1174828,124645,2146,38078,277200,47614,0,15013,0,31439069,50607809,7433100,12577238,4659670,4403922,1668331770,5116
8140856,312748,88876,135748,7728880,1792,97436,1637028,461944,1175084,124657,2146,38085,278139,47615,0,15013,0,31439277,50607829,7433120,12577238,4661875,4406269,1668331770,5118
8140856,312992,88904,135716,7728628,1792,97444,1637028,461944,1175084,124658,2146,38086,279102,47615,0,15013,0,31439277,50607829,7433120,12577238,4663342,4406520,1668331770,5120
8140856,312904,88912,135868,7728628,1800,97524,1637028,461944,1175084,124659,2146,38087,280060,47615,0,15015,0,31439357,50607861,7433120,12577238,4664871,4406769,1668331770,5122
8140856,313144,88920,135908,7728376,1808,97528,1637028,461944,1175084,124660,2146,38087,281037,47616,0,15015,0,31439357,50607873,7433120,12577238,4666734,4406998,1668331770,5124
8140856,313104,89012,136044,7728376,1816,97560,1637028,461944,1175084,124670,2146,38091,281979,47617,0,15016,0,31439565,50607885,7433164,12577238,4668815,4408664,1668331770,5128
8140856,313048,89012,135940,7728376,1824,97608,1637028,461944,1175084,124673,2146,38095,282940,47618,0,15016,0,31439613,50607897,7433164,12577238,4670859,4409649,1668331770,5130
8140856,311904,89160,138116,7728376,1956,98620,1637028,461432,1175596,124675,2146,38096,283892,47624,0,15016,0,31441905,50607905,7433451,12577238,4672752,4410608,1668331770,5132
8140856,311164,89200,138808,7728376,1964,99352,1637028,461432,1175596,124676,2146,38097,284859,47624,0,15016,0,31442637,50607929,7433451,12577238,4674438,4410931,1668331770,5135
8140856,308796,89416,141108,7728376,1972,101712,1637028,461432,1175596,124676,2146,38099,285822,47625,0,15018,0,31444086,50607945,7433451,12577238,4676027,4411311,1668331770,5137
8140856,309036,89432,141000,7728124,1980,101716,1637028,461432,1175596,124682,2146,38106,286767,47625,0,15018,0,31444118,50607957,7433459,12577238,4678270,4413316,1668331770,5141
8140856,309028,89440,141032,7728124,1988,101716,1637028,461432,1175596,124684,2146,38108,287732,47625,0,15019,0,31444150,50607985,7433467,12577238,4680025,4413908,1668331770,5143
8140856,308944,89448,141116,7728124,1996,101792,1637028,461432,1175596,124686,2146,38114,288680,47625,0,15019,0,31444150,50607997,7433467,12577238,4682439,4414918,1668331770,5146
8140856,309012,89460,141048,7728124,2004,101716,1637028,461432,1175596,124688,2146,38118,289636,47626,0,15020,0,31444150,50608009,7433467,12577238,4684477,4415656,1668331770,5148
8140856,309340,89628,141072,7727620,2168,101728,1637028,461432,1175596,124700,2146,38130,290563,47626,0,15020,0,31444298,50608081,7433467,12577238,4687015,4418887,1668331770,5152
8140856,309328,89644,141052,7727620,2176,101732,1637028,461432,1175596,124701,2146,38133,291525,47627,0,15020,0,31444298,50608141,7433467,12577238,4688618,4419550,1668331770,5154
8140856,309328,89648,141052,7727620,2176,101732,1637028,461432,1175596,124704,2146,38136,292486,47627,0,15020,0,31444298,50608141,7433467,12577238,4690153,4420035,1668331770,5156
8140856,309572,89656,141120,7727368,2184,101732,1637028,461432,1175596,124704,2146,38136,293456,47627,0,15020,0,31444298,50608153,7433467,12577238,4691705,4420237,1668331770,5158
