K total memory,K used memory,K active memory,K inactive memory,K free memory,K buffer memory,K swap cache,K total swap,K used swap,K free swap,non-nice user cpu ticks,nice user cpu ticks,system cpu ticks,idle cpu ticks,IO-wait cpu ticks,IRQ cpu ticks,softirq cpu ticks,stolen cpu ticks,pages paged in,pages paged out,pages swapped in,pages swapped out,interrupts,CPU context switches,boot time,forks
8140856,4457612,304608,4386292,3280544,24800,377900,1637028,428512,1208516,113957,2146,21438,243450,22233,0,6917,0,15367518,32070777,3489170,7943837,2668462,2484617,1668331770,4860
8140856,4487836,304612,4416188,3250308,24808,377904,1637028,428512,1208516,114345,2146,21440,243450,22233,0,6926,0,15367518,32070961,3489170,7943837,2669973,2486441,1668331770,4862
8140856,4483792,306416,4412528,3254152,24824,378088,1637028,428512,1208516,114668,2146,21496,243450,22233,0,6936,0,15367774,32071009,3489185,7943837,2671105,2487301,1668331770,4867
8140856,3861056,306428,3773444,3876880,24832,378088,1637028,428508,1208520,114954,2146,21590,243450,22233,0,6945,0,15367774,32071085,3489185,7943837,2672164,2487676,1668331770,4869
8140856,2118256,306428,2029920,5619680,24832,378088,1637028,428508,1208520,115319,2146,21626,243450,22233,0,6952,0,15367774,32071085,3489185,7943837,2673227,2487981,1668331770,4871
8140856,4483376,306436,4412500,3254552,24840,378088,1637028,428492,1208536,115619,2146,21721,243450,22233,0,6962,0,15367806,32071101,3489193,7943837,2674536,2489023,1668331770,4873
8140856,4483316,306436,4412480,3254608,24840,378092,1637028,428480,1208548,115957,2146,21788,243450,22233,0,6970,0,15367806,32071101,3489193,7943837,2676091,2490799,1668331770,4875
8140856,4483468,306444,4412496,3254448,24848,378092,1637028,428480,1208548,116296,2146,21850,243450,22233,0,6976,0,15367806,32071129,3489193,7943837,2677706,2493193,1668331770,4877
8140856,4483620,306452,4412388,3254288,24856,378092,1637028,428480,1208548,116541,2146,21990,243450,22233,0,6986,0,15367806,32071437,3489193,7943837,2678881,2493960,1668331770,4879
8140856,5008472,306460,4936820,2729428,24864,378092,1637028,428480,1208548,116868,2146,22055,243450,22233,0,6997,0,15367806,32071457,3489193,7943837,2679958,2494340,1668331770,4881
8140856,5008976,306460,4936880,2728924,24864,378092,1637028,428480,1208548,117264,2146,22056,243450,22233,0,7005,0,15367806,32071501,3489193,7943837,2680998,2494596,1668331770,4883
8140856,5009216,306464,4936768,2728672,24872,378096,1637028,428480,1208548,117664,2146,22056,243450,22233,0,7011,0,15367806,32071513,3489193,7943837,2682048,2494845,1668331770,4885
8140856,5009208,306476,4936816,2728672,24880,378096,1637028,428480,1208548,118054,2146,22056,243450,22233,0,7014,0,15367806,32071525,3489193,7943837,2683056,2495084,1668331770,4887
8140856,5009200,306476,4936936,2728672,24888,378096,1637028,428472,1208556,118441,2146,22058,243450,22233,0,7022,0,15367838,32071537,3489201,7943837,2684326,2496600,1668331770,4889
8140856,5009192,306492,4936824,2728672,24896,378096,1637028,428472,1208556,118836,2146,22059,243450,22233,0,7029,0,15367838,32071561,3489201,7943837,2685377,2496901,1668331770,4891
8140856,5009936,306500,4936840,2727920,24904,378096,1637028,428464,1208564,119233,2146,22059,243450,22233,0,7039,0,15367854,32071581,3489205,7943837,2686475,2497230,1668331770,4894
8140856,4493192,306508,4412596,3244656,24912,378096,1637028,428464,1208564,119561,2146,22133,243450,22233,0,7046,0,15367854,32071593,3489205,7943837,2687519,2497492,1668331770,4896
8140856,4493680,306516,4412528,3244156,24920,378100,1637028,428464,1208564,119954,2146,22133,243450,22233,0,7056,0,15367854,32071617,3489205,7943837,2688559,2497730,1668331770,4898
8140856,4492984,306524,4412604,3244844,24928,378100,1637028,428464,1208564,120298,2146,22189,243450,22233,0,7062,0,15367854,32071629,3489205,7943837,2689604,2497995,1668331770,4900
8140856,4492976,306528,4412576,3244844,24936,378100,1637028,428456,1208572,120693,2146,22191,243450,22233,0,7070,0,15367854,32071641,3489205,7943837,2690756,2498832,1668331770,4902
8140856,4492968,306540,4412632,3244844,24944,378100,1637028,428456,1208572,121090,2146,22191,243450,22233,0,7078,0,15367854,32071657,3489205,7943837,2691794,2499087,1668331770,4904
8140856,4492960,306548,4412548,3244844,24952,378100,1637028,428456,1208572,121478,2146,22191,243450,22233,0,7088,0,15367854,32071677,3489205,7943837,2692842,2499380,1668331770,4907
8140856,4492948,306548,4412596,3244844,24960,378104,1637028,428456,1208572,121870,2146,22191,243450,22233,0,7094,0,15367854,32071697,3489205,7943837,2693867,2499604,1668331770,4909
8140856,4492948,306556,4412560,3244844,24960,378104,1637028,428452,1208576,122257,2146,22198,243450,22233,0,7104,0,15367854,32071697,3489205,7943837,2695349,2501519,1668331770,4911
8140856,333192,306580,215708,7406756,24968,375940,1637028,428436,1208592,122462,2146,22219,243878,22233,0,7108,0,15367894,32071709,3489215,7943837,2698232,2505233,1668331770,4913
