Percentage served,Time in ms
0,0.007
1,0.081
2,0.097
3,0.118
4,0.131
5,0.143
6,0.155
7,0.166
8,0.175
9,0.185
10,0.198
11,0.212
12,0.222
13,0.233
14,0.245
15,0.260
16,0.277
17,0.297
18,0.314
19,0.336
20,0.359
21,0.379
22,0.400
23,0.425
24,0.449
25,0.479
26,0.508
27,0.541
28,0.576
29,0.612
30,0.647
31,0.689
32,0.731
33,0.775
34,0.824
35,0.869
36,0.922
37,0.978
38,1.039
39,1.106
40,1.181
41,1.260
42,1.347
43,1.443
44,1.541
45,1.645
46,1.760
47,1.888
48,2.029
49,2.187
50,2.379
51,2.612
52,2.853
53,3.091
54,3.332
55,3.606
56,3.882
57,4.246
58,4.657
59,5.125
60,5.692
61,6.269
62,6.944
63,7.819
64,8.830
65,9.957
66,11.314
67,12.676
68,14.199
69,16.063
70,18.004
71,20.035
72,22.456
73,25.047
74,27.751
75,31.458
76,35.272
77,39.834
78,45.855
79,53.758
80,61.598
81,71.537
82,85.207
83,98.064
84,115.077
85,135.472
86,164.964
87,216.000
88,303.551
89,938.381
90,1155.185
91,1761.600
92,2117.755
93,4317.821
94,6512.449
95,8180.774
96,21030.421
97,28381.380
98,30150.907
99,30456.606
100,31569.042
