Percentage served,Time in ms
0,0.053
1,0.074
2,0.080
3,0.103
4,0.113
5,0.120
6,0.127
7,0.135
8,0.145
9,0.153
10,0.160
11,0.167
12,0.172
13,0.181
14,0.196
15,0.215
16,0.222
17,0.231
18,0.242
19,0.252
20,0.268
21,0.287
22,0.310
23,0.343
24,0.366
25,0.395
26,0.424
27,0.456
28,0.493
29,0.534
30,0.575
31,0.630
32,0.696
33,0.772
34,0.843
35,0.898
36,0.939
37,0.985
38,1.053
39,1.162
40,1.243
41,1.306
42,1.422
43,1.538
44,1.639
45,1.790
46,1.954
47,2.062
48,2.178
49,2.351
50,2.531
51,2.793
52,3.067
53,3.383
54,3.694
55,4.066
56,4.532
57,4.804
58,4.944
59,5.239
60,5.726
61,6.294
62,6.746
63,7.129
64,7.549
65,7.861
66,8.431
67,9.051
68,9.772
69,10.575
70,11.329
71,11.992
72,12.856
73,13.571
74,15.066
75,16.800
76,19.098
77,20.356
78,21.994
79,24.659
80,27.446
81,28.695
82,30.348
83,32.383
84,34.722
85,37.797
86,40.854
87,46.452
88,54.865
89,67.643
90,98.901
91,451.501
92,796.635
93,847.855
94,859.520
95,878.080
96,894.772
97,920.321
98,949.598
99,987.521
100,1004.411
