procs -----------------------memory---------------------- ---swap-- -----io---- -system-- --------cpu--------
r,b,swpd,free,buff,cache,si,so,bi,bo,in,cs,us,sy,id,wa,st
2,0,0,4169516,36704,3106008,0,0,864,2342,754,2273,29,11,58,2,0
0,0,0,4169516,36712,3105972,0,0,0,41,686,1337,1,2,97,0,0
0,0,0,4169516,36712,3105972,0,0,0,0,328,107,0,0,100,0,0
0,0,0,4169516,36720,3105964,0,0,0,2,328,94,0,0,100,0,0
0,0,0,4169516,36720,3105964,0,0,0,0,300,39,0,0,100,0,0
0,0,0,4169516,36728,3105964,0,0,0,2,304,38,0,0,100,0,0
0,0,0,4169516,36728,3105964,0,0,0,0,358,246,0,1,99,0,0
0,0,0,4169516,36736,3105964,0,0,0,11,678,1576,2,4,94,0,0
0,0,0,4169516,36736,3105964,0,0,0,1,325,50,0,0,100,0,0
0,0,0,4169516,36744,3105964,0,0,0,2,322,41,0,0,100,0,0
0,0,0,4169516,36744,3105964,0,0,0,0,388,190,0,0,99,0,0
0,0,0,4169516,36752,3105964,0,0,0,2,320,50,0,0,100,0,0
0,0,0,4169516,36752,3105964,0,0,0,0,322,46,0,0,100,0,0
0,0,0,4169516,36760,3105964,0,0,0,2,311,40,0,0,100,0,0
0,0,0,4169516,36760,3105964,0,0,0,0,299,34,0,0,100,0,0
0,0,0,4169516,36768,3105964,0,0,0,4,299,37,0,0,100,0,0
0,0,0,4169516,36768,3105964,0,0,0,0,406,293,0,1,99,0,0
0,0,0,4169516,36776,3105964,0,0,0,2,535,1092,1,1,98,0,0
0,0,0,4169516,36776,3105964,0,0,0,0,313,53,0,0,100,0,0
0,0,0,4169516,36784,3105964,0,0,0,2,301,46,0,0,100,0,0
0,0,0,4168796,36788,3105892,0,0,1,0,436,274,14,5,81,0,0
0,0,0,4168796,36796,3105896,0,0,0,9,551,729,1,1,98,0,0
0,0,0,4168796,36804,3105896,0,0,0,6,533,604,6,1,93,0,0
1,0,0,4168796,36804,3105896,0,0,0,6,338,50,3,0,97,0,0
0,0,0,4176104,36812,3103740,0,0,0,2,568,922,3,1,95,0,0
