procs -----------------------memory---------------------- ---swap-- -----io---- -system-- --------cpu--------
 r  b         swpd         free         buff        cache   si   so    bi    bo   in   cs  us  sy  id  wa  st
 6  0            0      3718368        59892      3381180    0    0   973  2655  803 2651  28  11  59   2   0
 3  0            0      3794384        60480      3381900    0    0    26  1354  492 1165  67  17  35   2   0
 5  0            0      3845844        60916      3330548    0    0    34   806  583 1154  66  15  38   1   0
 3  0            0      3847964        60964      3330272    0    0     0   757  858 1294  49  20  31   0   0
 3  0            0      3845764        61332      3331000    0    0    39  1555  568  912  59  14  36   1   0
 3  0            0      3829436        61692      3338940    0    0     2  2626  396 1777  73  13  33   1   0
 3  0            0      3806308        62380      3340952    0    0    13  2325  575 1083  66  13  40   1   0
 1  0            0      3782724        62724      3393336    0    0    99  1364  515 1134  67  14  39   0   0
 7  0            0      3832416        62988      3341616    0    0     2   724  792 1539  64  16  40   1   0
 1  0            0      3833812        63076      3341272    0    0     0   682  702 1288  61  19  40   0   0
 1  0            0      3828132        63420      3341724    0    0     2  1365  614  864  61  11  38   0   0
 2  0            0      3749024        63736      3394176    0    0     2  1238  698 1523  58  20  32   0   0
 1  0            0      3775056        64204      3393360    0    0    63  1219  484  960  62  13  35   0   0
 3  0            0      3781676        64628      3393388    0    0    30  1040  462  763  67  11  31   0   0
 3  0            0      3750752        64980      3395740    0    0    24  1233  674 1676  70  12  37   1   0
 1  0            0      3758660        65324      3396128    0    0    11  1168  583  820  64  11  35   1   0
 4  0            0      3745344        65668      3398220    0    0    43  1477  636 1108  59  12  37   1   0
 3  0            0      3753200        66020      3399076    0    0    38  1418  583  835  57  11  31   1   0
 1  0            0      3755556        66416      3399280    0    0     2  1178  571 1223  70   9  39   1   0
 2  0            0      3760900        66760      3400152    0    0    28  1262  520 1138  70  11  39   1   0
 3  0            0      3742592        67120      3400240    0    0     5  1110  550  890  60  11  38   1   0
 0  0            0      3777156        67464      3401232    0    0    37  1246  546  965  59  12  39   0   0
 5  0            0      3695520        69396      3434132    0    0  4603 11937 1609 8902  63  22  34   2   0
 1  0            0      3683024        70568      3444828    0    0   982  3362 2169 3985  55  11  31  14   0
 4  0            0      3663048        70784      3445216    0    0   474  1456 1076 1757  44  22  32   2   0
