K total memory,K used memory,K active memory,K inactive memory,K free memory,K buffer memory,K swap cache,K total swap,K used swap,K free swap,non-nice user cpu ticks,nice user cpu ticks,system cpu ticks,idle cpu ticks,IO-wait cpu ticks,IRQ cpu ticks,softirq cpu ticks,stolen cpu ticks,pages paged in,pages paged out,pages swapped in,pages swapped out,interrupts,CPU context switches,boot time,forks
8140856,3087388,260844,3594180,4089892,37164,926412,1637028,0,1637028,17420,1789,4729,66686,455,0,706,0,785317,3458485,0,818514,342397,393334,1668331770,2296
8140856,4913112,260848,5434284,2264156,37172,926416,1637028,0,1637028,17751,1789,4768,66686,455,0,715,0,785317,3458529,0,818514,343746,395450,1668331770,2298
8140856,4913364,260856,5434176,2263904,37172,926416,1637028,0,1637028,18107,1789,4790,66686,455,0,724,0,785317,3460173,0,818514,344869,396406,1668331770,2300
8140856,4913604,260860,5434148,2263656,37180,926416,1637028,0,1637028,18473,1789,4825,66686,455,0,734,0,785317,3460209,0,818514,345947,397205,1668331770,2302
8140856,3305148,260872,3823260,3871536,37188,926984,1637028,308488,1328540,18818,1789,4876,66686,455,0,747,0,785317,3768345,0,895541,347643,397944,1668331770,2304
8140856,3812120,263912,4295732,3364984,37200,926552,1637028,0,1637028,18997,1789,5046,66686,455,0,780,0,785329,5097265,0,1227771,351165,399432,1668331770,2310
8140856,4886868,263920,5394736,2290232,37208,926548,1637028,0,1637028,19392,1789,5087,66686,455,0,790,0,785329,5097329,0,1227771,353239,402846,1668331770,2312
8140856,4892588,263920,5394676,2284464,37208,926596,1637028,0,1637028,19650,1789,5219,66686,455,0,811,0,785329,6734369,0,1637028,359391,404385,1668331770,2314
8140856,4873348,263928,5394628,2303696,37216,926596,1637028,0,1637028,19900,1789,5332,66686,455,0,854,0,785329,8371421,0,2046285,362909,405052,1668331770,2316
8140856,4872828,263936,5394720,2304216,37224,926588,1637028,0,1637028,20226,1789,5388,66686,455,0,862,0,785329,8371509,0,2046285,363944,405327,1668331770,2318
8140856,3321884,263944,3830424,3855152,37232,926588,1637028,0,1637028,20556,1789,5454,66686,455,0,872,0,785329,8371521,0,2046285,365012,405619,1668331770,2320
8140856,4347140,263952,4865064,2829884,37240,926592,1637028,0,1637028,20838,1789,5576,66686,455,0,880,0,785329,8371705,0,2046285,366166,406090,1668331770,2322
8140856,5398872,263952,5919080,1778152,37240,926592,1637028,0,1637028,21141,1789,5657,66686,455,0,887,0,785329,8371705,0,2046285,367499,407472,1668331770,2324
8140856,5399116,263960,5919000,1777900,37248,926592,1637028,0,1637028,21544,1789,5658,66686,455,0,896,0,785329,8371717,0,2046285,368580,407787,1668331770,2326
8140856,5399612,263968,5918996,1777396,37256,926592,1637028,0,1637028,21946,1789,5658,66686,455,0,904,0,785329,8371737,0,2046285,369647,408048,1668331770,2328
8140856,5399856,263976,5919000,1777144,37264,926592,1637028,0,1637028,22344,1789,5659,66686,455,0,911,0,785329,8371757,0,2046285,370698,408289,1668331770,2330
8140856,5400108,263976,5919044,1776892,37264,926592,1637028,0,1637028,22746,1789,5659,66686,455,0,922,0,785329,8371757,0,2046285,371773,408556,1668331770,2332
8140856,5400348,263984,5919004,1776640,37272,926596,1637028,0,1637028,23148,1789,5659,66686,455,0,932,0,785329,8371785,0,2046285,372836,408822,1668331770,2334
8140856,3396608,263992,3916756,3780292,37280,926676,1637028,0,1637028,23532,1789,5686,66686,455,0,938,0,785329,8371797,0,2046285,374843,412185,1668331770,2336
8140856,4817500,264000,5337864,2359388,37288,926680,1637028,0,1637028,23889,1789,5752,66686,455,0,948,0,785329,8371813,0,2046285,376936,415457,1668331770,2338
8140856,4874524,264008,5394692,2302436,37296,926600,1637028,0,1637028,24280,1789,5754,66686,455,0,955,0,785329,8371829,0,2046285,377962,415768,1668331770,2340
8140856,4872992,264016,5394728,2303960,37304,926600,1637028,0,1637028,24612,1789,5805,66686,455,0,964,0,785329,8371849,0,2046285,378985,416079,1668331770,2342
8140856,4873484,264024,5394780,2303456,37312,926604,1637028,0,1637028,25047,1789,5833,66686,455,0,974,0,785329,8371869,0,2046285,381801,421511,1668331770,2344
8140856,4873728,264032,5394716,2303204,37320,926604,1637028,0,1637028,25441,1789,5837,66686,455,0,982,0,785329,8371885,0,2046285,383107,422625,1668331770,2346
8140856,715344,264200,1197528,6463744,37328,924440,1637028,0,1637028,25634,1789,5858,67134,455,0,986,0,785329,8371905,0,2046285,385859,429094,1668331770,2348
