Percentage served,Time in ms
0,4.427
1,33.196
2,41.131
3,51.465
4,79.073
5,103.904
6,109.854
7,132.582
8,201.227
9,237.327
10,256.767
11,270.173
12,280.045
13,291.526
14,301.237
15,312.475
16,326.205
17,338.967
18,346.633
19,353.971
20,376.867
21,396.366
22,410.869
23,445.668
24,474.910
25,491.590
26,494.730
27,498.185
28,500.539
29,504.304
30,507.600
31,509.496
32,511.975
33,513.860
34,514.956
35,516.142
36,517.299
37,518.764
38,520.546
39,522.424
40,523.622
41,524.398
42,525.681
43,526.698
44,527.985
45,529.072
46,529.900
47,530.759
48,531.823
49,532.477
50,532.980
51,533.505
52,535.926
53,543.218
54,545.656
55,549.615
56,554.036
57,558.080
58,561.677
59,564.367
60,567.270
61,568.429
62,569.505
63,570.660
64,574.254
65,576.560
66,579.543
67,580.359
68,581.300
69,582.418
70,583.635
71,584.468
72,585.409
73,586.636
74,588.636
75,594.438
76,600.412
77,602.685
78,605.745
79,606.433
80,607.168
81,622.170
82,636.888
83,643.413
84,655.041
85,664.237
86,672.319
87,680.349
88,690.198
89,694.030
90,699.437
91,711.750
92,729.134
93,742.704
94,759.152
95,772.488
96,784.026
97,800.141
98,821.139
99,852.025
100,874.251
