Percentage served,Time in ms
0,4.516
1,21.704
2,35.234
3,43.427
4,91.350
5,94.874
6,104.864
7,119.696
8,293.081
9,310.350
10,329.230
11,341.575
12,352.766
13,354.067
14,355.066
15,357.345
16,358.719
17,360.101
18,360.756
19,362.192
20,362.799
21,363.807
22,365.749
23,367.258
24,368.870
25,370.871
26,373.392
27,374.830
28,376.019
29,377.579
30,378.307
31,379.142
32,380.016
33,381.220
34,381.836
35,382.449
36,382.768
37,383.107
38,383.559
39,383.936
40,384.192
41,385.095
42,385.901
43,386.470
44,387.050
45,387.346
46,387.561
47,387.928
48,388.246
49,388.664
50,389.078
51,389.288
52,389.511
53,389.845
54,390.257
55,390.578
56,391.028
57,391.342
58,391.801
59,392.856
60,393.351
61,393.977
62,394.312
63,394.773
64,395.203
65,395.632
66,396.236
67,397.159
68,397.776
69,398.568
70,399.256
71,400.134
72,400.576
73,401.371
74,402.764
75,404.015
76,405.406
77,406.336
78,408.596
79,412.196
80,414.097
81,416.035
82,417.230
83,418.087
84,419.062
85,419.688
86,420.402
87,421.005
88,421.754
89,422.461
90,423.500
91,424.880
92,425.477
93,425.961
94,426.368
95,427.194
96,428.448
97,436.377
98,1405.226
99,1443.033
100,1468.932
