K total memory,K used memory,K active memory,K inactive memory,K free memory,K buffer memory,K swap cache,K total swap,K used swap,K free swap,non-nice user cpu ticks,nice user cpu ticks,system cpu ticks,idle cpu ticks,IO-wait cpu ticks,IRQ cpu ticks,softirq cpu ticks,stolen cpu ticks,pages paged in,pages paged out,pages swapped in,pages swapped out,interrupts,CPU context switches,boot time,forks
8150928,1113384,199316,1193476,6608252,32276,397016,1048572,404328,644244,205406,0,46619,1334287,7918,0,3427,0,21552727,44668120,4671461,11008312,7489471,5192612,1668169841,3661
8150928,4487148,199320,4560580,3234476,32284,397020,1048572,404328,644244,206259,0,46756,1334287,7918,0,3427,0,21552727,44668136,4671461,11008312,7500157,5194444,1668169841,3663
8150928,4491492,199328,4560580,3230128,32284,397024,1048572,404328,644244,207260,0,46759,1334288,7918,0,3427,0,21552727,44668136,4671461,11008312,7511062,5196571,1668169841,3665
8150928,1777320,199328,1845120,5944300,32284,397024,1048572,404328,644244,207695,0,47312,1334288,7918,0,3427,0,21552727,44668136,4671461,11008312,7521571,5198052,1668169841,3667
8150928,4489908,199328,4560432,3231712,32284,397024,1048572,404328,644244,208534,0,47508,1334289,7918,0,3427,0,21552727,44668136,4671461,11008312,7532686,5199871,1668169841,3669
8150928,4395716,199328,4467632,3325940,32284,396988,1048572,404328,644244,209362,0,47686,1334289,7918,0,3427,0,21552727,44668136,4671461,11008312,7543423,5201554,1668169841,3671
8150928,4493108,199328,4560596,3228548,32284,396988,1048572,404328,644244,210141,0,47913,1334290,7918,0,3427,0,21552727,44668140,4671461,11008312,7554033,5203021,1668169841,3673
8150928,4478680,199328,4560432,3242976,32284,396988,1048572,404328,644244,210876,0,48168,1334291,7918,0,3427,0,21552727,44668140,4671461,11008312,7564609,5204799,1668169841,3675
8150928,4478588,199336,4560328,3243056,32292,396992,1048572,404324,644248,211669,0,48378,1334291,7918,0,3427,0,21552727,44668160,4671461,11008312,7575348,5206682,1668169841,3677
8150928,2303572,199336,2376616,5418072,32292,396992,1048572,389284,659288,212110,0,48905,1334291,7918,0,3452,0,21552727,45327448,4671461,11173134,7591200,5208453,1668169841,3679
8150928,3147944,199336,3229656,4573700,32292,396992,1048572,389284,659288,212868,0,49153,1334292,7918,0,3452,0,21552727,45327448,4671461,11173134,7601881,5210053,1668169841,3681
8150928,4996616,199336,5084720,2725032,32292,396988,1048572,389284,659288,213804,0,49222,1334293,7918,0,3452,0,21552727,45327448,4671461,11173134,7612519,5211529,1668169841,3683
8150928,5001220,199336,5084740,2720436,32292,396980,1048572,389284,659288,214809,0,49223,1334294,7918,0,3452,0,21552727,45327448,4671461,11173134,7623269,5213103,1668169841,3685
8150928,5001472,199336,5084772,2720184,32292,396980,1048572,389284,659288,215813,0,49225,1334294,7918,0,3452,0,21552727,45327448,4671461,11173134,7634041,5215003,1668169841,3687
8150928,5001472,199336,5084772,2720184,32292,396980,1048572,389284,659288,216818,0,49227,1334294,7918,0,3452,0,21552727,45327460,4671461,11173134,7644899,5216841,1668169841,3689
8150928,5001976,199336,5084732,2719680,32292,396980,1048572,389284,659288,217824,0,49229,1334295,7918,0,3452,0,21552727,45327460,4671461,11173134,7655648,5218418,1668169841,3691
8150928,5001972,199336,5084772,2719680,32292,396984,1048572,389284,659288,218822,0,49230,1334296,7918,0,3452,0,21552727,45327460,4671461,11173134,7666323,5219989,1668169841,3693
8150928,2535176,199336,2615628,5186472,32292,396988,1048572,389284,659288,219694,0,49365,1334296,7918,0,3452,0,21552727,45327460,4671461,11173134,7677016,5221509,1668169841,3695
8150928,4485220,199336,4560476,3236432,32292,396984,1048572,389284,659288,220632,0,49429,1334298,7918,0,3452,0,21552727,45327460,4671461,11173134,7687600,5222959,1668169841,3697
8150928,2754592,199336,2834604,4967060,32292,396984,1048572,389284,659288,221495,0,49572,1334298,7918,0,3452,0,21552727,45327460,4671461,11173134,7698434,5224930,1668169841,3699
8150928,4485392,199336,4560592,3236260,32292,396984,1048572,389284,659288,222438,0,49635,1334298,7918,0,3452,0,21552727,45327460,4671461,11173134,7709137,5226620,1668169841,3701
8150928,4485396,199336,4560560,3236260,32292,396980,1048572,389284,659288,223443,0,49636,1334299,7918,0,3452,0,21552727,45327460,4671461,11173134,7719829,5228225,1668169841,3703
8150928,4485896,199328,4557348,3235756,32292,396984,1048572,389284,659288,224446,0,49639,1334300,7918,0,3452,0,21552727,45327460,4671461,11173134,7730642,5230352,1668169841,3705
8150928,4486152,199316,4557288,3235504,32292,396980,1048572,389284,659288,225450,0,49640,1334301,7918,0,3452,0,21552727,45327460,4671461,11173134,7741328,5231878,1668169841,3707
8150928,308756,200024,358620,7415064,32292,394816,1048572,389284,659288,226178,0,49701,1334515,7918,0,3452,0,21552727,45327460,4671461,11173134,7750104,5233872,1668169841,3709
