Percentage served,Time in ms
0,0.002
1,7.544
2,8.784
3,10.936
4,13.964
5,16.141
6,17.807
7,18.393
8,19.046
9,19.674
10,20.192
11,20.726
12,21.496
13,22.477
14,23.373
15,24.660
16,25.714
17,26.506
18,27.155
19,28.051
20,28.590
21,29.212
22,29.987
23,30.556
24,31.167
25,32.422
26,34.392
27,36.077
28,37.739
29,39.835
30,42.524
31,43.727
32,45.295
33,46.119
34,48.516
35,50.148
36,51.041
37,51.988
38,53.734
39,56.480
40,58.992
41,61.663
42,65.440
43,70.128
44,73.771
45,77.806
46,81.185
47,84.656
48,90.246
49,96.560
50,100.022
51,106.013
52,118.893
53,129.369
54,136.674
55,148.501
56,151.966
57,155.988
58,158.457
59,167.468
60,177.036
61,182.278
62,189.829
63,192.226
64,196.374
65,201.311
66,205.564
67,208.761
68,211.478
69,217.461
70,220.832
71,223.335
72,225.762
73,227.345
74,230.289
75,234.697
76,237.623
77,241.478
78,245.209
79,251.440
80,255.602
81,263.559
82,282.421
83,290.493
84,298.056
85,310.234
86,333.450
87,346.787
88,371.650
89,443.805
90,489.164
91,503.824
92,543.772
93,707.253
94,1168.095
95,1229.618
96,1327.603
97,1616.379
98,1746.754
99,1815.532
100,3148.479
