procs -----------------------memory---------------------- ---swap-- -----io---- -system-- --------cpu--------
r,b,swpd,free,buff,cache,si,so,bi,bo,in,cs,us,sy,id,wa,st
1,0,0,6233480,356048,996212,0,0,1,15,42,49,2,2,96,0,0
0,0,0,6232260,356048,996252,0,0,0,13,1545,1347,52,2,47,0,0
2,0,0,6231508,356048,996268,0,0,0,29,1600,1481,50,2,49,0,0
0,0,0,6235316,356048,996264,0,0,0,30,1665,1529,53,2,46,0,0
2,0,0,6232292,356048,996276,0,0,0,32,1611,1475,50,1,49,0,0
1,0,0,6233568,356048,996284,0,0,0,28,1570,1277,54,1,46,0,0
1,0,0,6234440,356048,996284,0,0,0,30,1579,1429,50,2,48,0,0
2,0,0,6238752,356048,996280,0,0,0,29,1667,1597,51,2,48,0,0
6,0,0,6234256,356048,996284,0,0,0,31,1596,1457,51,1,47,0,0
2,0,0,6231484,356048,996288,0,0,0,22,1543,1266,52,1,47,0,0
2,0,0,6231236,356048,996296,0,0,0,26,1650,1597,51,2,47,0,0
2,0,0,6230520,356048,996296,0,0,0,33,1577,1421,50,1,48,0,0
1,0,0,6230520,356048,996292,0,0,0,25,1577,1339,52,1,47,0,0
2,0,0,6233852,356048,996288,0,0,0,29,1635,1563,50,2,48,0,0
1,0,0,6236152,356048,996288,0,0,0,28,1646,1481,52,1,47,0,0
2,0,0,6235660,356048,996284,0,0,0,37,1587,1491,49,1,50,0,0
1,0,0,6239972,356048,996292,0,0,0,26,1622,1359,53,1,46,0,0
2,0,0,6237672,356048,996296,0,0,0,24,1543,1511,46,2,53,0,0
1,0,0,6239564,356048,996292,0,0,0,29,1717,1462,57,2,42,0,0
2,0,0,6236688,356048,996312,0,0,0,28,1518,1483,47,1,52,0,0
1,0,0,6236440,356048,996288,0,0,0,28,1665,1371,56,1,43,0,0
1,0,0,6236440,356048,996292,0,0,0,29,1595,1417,52,2,47,0,0
1,0,0,6236440,356048,996280,0,0,0,42,1628,1532,52,2,46,0,0
1,0,0,6236440,356048,996292,0,0,0,24,1653,1488,51,2,48,0,0
0,0,0,6238648,356048,994144,0,0,0,31,1270,1415,31,1,67,0,0
