K total memory,K used memory,K active memory,K inactive memory,K free memory,K buffer memory,K swap cache,K total swap,K used swap,K free swap,non-nice user cpu ticks,nice user cpu ticks,system cpu ticks,idle cpu ticks,IO-wait cpu ticks,IRQ cpu ticks,softirq cpu ticks,stolen cpu ticks,pages paged in,pages paged out,pages swapped in,pages swapped out,interrupts,CPU context switches,boot time,forks
8150928,3063236,225940,3426152,4371764,67128,648800,1048572,0,1048572,62785,0,10333,44666,138,0,125,0,342647,7368516,0,1835001,946618,428918,1668169846,2241
8150928,7803856,105816,7808752,115400,1084,230588,1048572,906144,142428,63120,0,10921,44670,285,0,148,0,353603,8274548,40,2061504,1008584,437653,1668169846,2243
8150928,7830032,1918548,5994208,117012,920,202964,1048572,1048540,32,63244,0,11520,44718,338,0,283,0,1399183,9477284,257236,2362187,1137119,502000,1668169846,2245
8150928,7829244,2247700,5661476,119272,912,201500,1048572,1038320,10252,63406,0,12095,44765,385,0,387,0,2385339,10464384,499130,2608962,1252783,557891,1668169846,2247
8150928,7877532,1935896,5969284,123556,680,149160,1048572,1048572,0,63509,0,12642,44855,453,0,537,0,3606355,11692784,801654,2916062,1364588,629825,1668169846,2249
8150928,3988444,1467728,2562636,4008088,956,153440,1048572,770028,278544,63597,0,13366,44880,528,0,656,0,4519335,12629540,1016110,3150229,1472654,673452,1668169846,2252
8150928,7598364,1569184,6068468,381404,1524,169636,1048572,363500,685072,63946,0,13765,44886,620,0,706,0,4939011,12629544,1116903,3150229,1550630,732880,1668169846,2254
8150928,7570672,1484260,6054132,469900,940,109416,1048572,1044940,3632,64104,0,14432,44904,674,0,788,0,5434795,13742936,1227194,3428558,1636507,780957,1668169846,2256
8150928,7923752,1912888,6015588,102684,1804,122688,1048572,557132,491440,64516,0,14801,44905,925,0,834,0,6098591,13925552,1388528,3474191,1712086,845631,1668169846,2259
8150928,7979112,2412952,5514848,103420,800,67596,1048572,1038984,9588,64827,0,15233,44932,1052,0,919,0,6568447,14841492,1500462,3703158,1775359,886709,1668169846,2261
8150928,7992672,4332244,3595484,103308,180,54768,1048572,1048572,0,65170,0,15749,44956,1092,0,987,0,7163911,15292764,1622614,3815976,1867866,941359,1668169846,2263
8150928,4247464,2267108,1924340,3818064,1444,83956,1048572,867296,181276,65307,0,16290,45031,1221,0,1045,0,7701059,15584008,1728327,3888765,1934882,987669,1668169846,2266
8150928,7981660,2089828,5836088,104512,988,63768,1048572,747756,300816,65696,0,16642,45036,1409,0,1091,0,8158415,15931156,1841254,3975541,2000821,1039007,1668169846,2268
8150928,5131584,2159988,2937592,2938724,1400,79220,1048572,804820,243752,65839,0,17122,45081,1603,0,1139,0,8688291,16404836,1956734,4093931,2068452,1097874,1668169846,2271
8150928,7962700,1965332,5948280,117096,1472,69660,1048572,928352,120220,66188,0,17538,45082,1800,0,1192,0,9114551,16957960,2060802,4232202,2143371,1149537,1668169846,2273
8150928,6743852,69360,6611780,1335052,1476,70548,1048572,458524,590048,66660,0,18019,45086,1816,0,1206,0,9210779,17125112,2072984,4273960,2171538,1188397,1668169846,2276
8150928,7992160,3658156,4252536,119876,760,38132,1048572,1048544,28,67168,0,18391,45090,1893,0,1239,0,9361787,17844960,2106807,4453912,2214034,1204868,1668169846,2278
8150928,5743344,541292,5153056,2337524,1352,68708,1048572,482048,566524,67425,0,18914,45096,1976,0,1317,0,10086547,18320144,2273455,4572678,2284970,1256796,1668169846,2282
8150928,8008260,3898304,4030996,102980,632,39056,1048572,858440,190132,67949,0,19271,45096,2081,0,1335,0,10118107,18715816,2278557,4671586,2316707,1262583,1668169846,2284
8150928,5459056,2849864,2554988,2622932,1320,67620,1048572,501884,546688,68100,0,19726,45158,2255,0,1392,0,10568575,19159564,2378358,4782493,2366833,1316202,1668169846,2287
8150928,7993160,3769528,4141624,120844,672,36252,1048572,1043808,4764,68670,0,20081,45168,2439,0,1428,0,10671715,19785128,2400444,4938874,2406387,1330545,1668169846,2289
8150928,5900220,2963108,2875400,2180596,1380,68732,1048572,586532,462040,68896,0,20525,45176,2632,0,1471,0,11245407,20020692,2526758,4997736,2469198,1390387,1668169846,2292
8150928,8000984,3993744,3923600,113800,624,35520,1048572,1048572,0,69409,0,20919,45187,2683,0,1500,0,11412631,20642908,2565356,5153272,2516752,1407822,1668169846,2294
8150928,5900220,86204,425076,7491340,1524,69076,1048572,488384,560188,69597,0,21478,45257,2787,0,1550,0,11969867,21048792,2674321,5254721,2590400,1451193,1668169846,2296
