procs -----------------------memory---------------------- ---swap-- -----io---- -system-- --------cpu--------
 r  b         swpd         free         buff        cache   si   so    bi    bo   in   cs  us  sy  id  wa  st
 0  0            0      6856636        38172       722868    0    0    79   427   54   55   8   0  90   1   0
 0  0            0      6856636        38172       722872    0    0     0     0   32   42   0   0  98   0   0
 0  0            0      6856636        38180       722872    0    0     0     9   46   53   0   0  98   0   0
 0  0            0      6856384        38188       722872    0    0     0     8   35   43   0   0  99   0   0
 0  0            0      6856384        38196       722872    0    0     0     2   24   37   0   0  99   0   0
 0  0            0      6856384        38196       722872    0    0     0     1   18   23   0   0  99   0   0
 0  0            0      6856384        38204       722872    0    0     0     2   17   22   0   0  99   0   0
 0  0            0      6856384        38204       722872    0    0     0     1   46   59   0   0  99   0   0
 0  0            0      6856384        38212       722872    0    0     0     3   44   48   0   0  98   0   0
 0  0            0      6856384        38220       722872    0    0     0     2   17   24   0   0  99   0   0
 0  0            0      6856384        38220       722872    0    0     0     1   24   35   0   0  99   0   0
 0  0            0      6856384        38228       722872    0    0     0     2   17   27   0   0  99   0   0
 0  0            0      6856384        38228       722872    0    0     0     1   17   24   0   0  99   0   0
 0  0            0      6856384        38236       722872    0    0     0     2   18   26   0   0  98   0   0
 0  0            0      6856384        38236       722872    0    0     0     1   15   23   0   0  98   0   0
 0  0            0      6856132        38244       722872    0    0     0     2   25   34   0   0  98   0   0
 0  0            0      6856132        38252       722872    0    0     0     3   18   25   0   0  98   0   0
 0  0            0      6856132        38252       722872    0    0     0     1   16   23   0   0  99   0   0
 0  0            0      6856132        38260       722872    0    0     0     2   41   45   0   0  99   0   0
 0  0            0      6856132        38260       722872    0    0     0     1   27   39   0   0  99   0   0
 0  0            0      6855656        38268       722872    0    0     0     4   27   30   0   0  97   0   0
 0  1            0      6855164        38272       722876    0    0     0     5   36   43   0   0  98   0   0
 0  0            0      6854912        38276       722876    0    0     0    32   60   65   0   0  99   0   0
 0  0            0      6854912        38284       722876    0    0     0    11   33   39   0   0  98   0   0
 0  0            0      6854912        38292       722876    0    0     0     4   21   28   0   0  98   0   0
 0  0            0      6854912        38292       722876    0    0     0     2   15   21   0   0  99   0   0
 0  0            0      6854912        38300       722876    0    0     0     2   18   24   0   0  99   0   0
 0  0            0      6854912        38300       722876    0    0     0     1   14   20   0   0  99   0   0
