K total memory,K used memory,K active memory,K inactive memory,K free memory,K buffer memory,K swap cache,K total swap,K used swap,K free swap,non-nice user cpu ticks,nice user cpu ticks,system cpu ticks,idle cpu ticks,IO-wait cpu ticks,IRQ cpu ticks,softirq cpu ticks,stolen cpu ticks,pages paged in,pages paged out,pages swapped in,pages swapped out,interrupts,CPU context switches,boot time,forks
7837696,1948800,201792,1970132,5520168,20168,348560,0,0,0,377828,698,47394,562187,3968,0,11,202,1758784,2113925,0,0,1417379,507690,1668269575,5241
7837696,4389152,201800,4421236,3079804,20176,348564,0,0,0,378703,698,47523,562187,3968,0,11,202,1758784,2114093,0,0,1419946,507926,1668269575,5243
7837696,4389904,201812,4421220,3079048,20184,348560,0,0,0,379707,698,47524,562187,3968,0,11,202,1758784,2114121,0,0,1422505,508157,1668269575,5246
7837696,4389896,201820,4421200,3079048,20184,348568,0,0,0,380710,698,47524,562187,3968,0,11,202,1758784,2114165,0,0,1425052,508316,1668269575,5248
7837696,4390140,201828,4421180,3078796,20192,348568,0,0,0,381714,698,47524,562187,3968,0,11,202,1758784,2114177,0,0,1427592,508478,1668269575,5250
7837696,3250396,201832,3259148,4218532,20200,348568,0,0,0,382214,698,48028,562187,3968,0,11,203,1758784,2114193,0,0,1430141,508668,1668269575,5252
7837696,1451512,201844,1460044,6017404,20208,348572,0,0,0,383046,698,48200,562187,3968,0,11,203,1758784,2114205,0,0,1432680,508864,1668269575,5254
7837696,3016676,201852,3025412,4452232,20216,348572,0,0,0,383967,698,48283,562187,3968,0,11,203,1758784,2114225,0,0,1435225,509044,1668269575,5256
7837696,4401652,201860,4421188,3067248,20224,348572,0,0,0,384905,698,48349,562187,3968,0,11,203,1758784,2114245,0,0,1437770,509218,1668269575,5258
7837696,4402148,201868,4421120,3066744,20232,348572,0,0,0,385908,698,48349,562187,3968,0,11,204,1758784,2114269,0,0,1440313,509385,1668269575,5260
7837696,2569232,201876,2579720,4899652,20240,348572,0,0,0,386899,698,48363,562187,3968,0,11,204,1758784,2114281,0,0,1442856,509559,1668269575,5262
7837696,4416184,201884,4421300,3052688,20248,348576,0,0,0,387476,698,48790,562187,3968,0,11,204,1758784,2114301,0,0,1445399,509739,1668269575,5264
7837696,4416176,201888,4421312,3052688,20256,348576,0,0,0,388480,698,48790,562187,3968,0,11,204,1758784,2114321,0,0,1447942,509904,1668269575,5266
7837696,2839820,202368,2855960,4629020,20272,348584,0,0,0,389443,698,48832,562187,3968,0,11,205,1758784,2114369,0,0,1450514,510256,1668269575,5269
7837696,4400328,202376,4418640,3068504,20280,348584,0,0,0,390251,698,49029,562187,3968,0,11,205,1758784,2114569,0,0,1453118,510585,1668269575,5272
7837696,2859728,202376,2877904,4609096,20288,348584,0,0,0,391213,698,49071,562187,3968,0,11,205,1758784,2114601,0,0,1455663,510766,1668269575,5274
7837696,4428448,202384,4418752,3040376,20288,348584,0,0,0,392068,698,49220,562187,3968,0,11,205,1758784,2114613,0,0,1458204,510928,1668269575,5276
7837696,1583432,202392,1587772,5885380,20296,348588,0,0,0,392674,698,49618,562187,3968,0,11,206,1758784,2114625,0,0,1460751,511123,1668269575,5278
7837696,4414640,202400,4418780,3054164,20304,348588,0,0,0,393526,698,49770,562187,3968,0,11,206,1758784,2114645,0,0,1463290,511285,1668269575,5280
7837696,4363460,202408,4381580,3105336,20312,348588,0,0,0,394285,698,50014,562187,3968,0,11,206,1758784,2114665,0,0,1465833,511461,1668269575,5282
7837696,4926668,202416,4943104,2542120,20320,348588,0,0,0,395263,698,50041,562187,3968,0,11,206,1758784,2114689,0,0,1468379,511612,1668269575,5284
7837696,4927164,202424,4942944,2541616,20328,348588,0,0,0,396267,698,50041,562187,3968,0,11,207,1758784,2114701,0,0,1470921,511772,1668269575,5286
7837696,4925332,202436,4943032,2543432,20340,348592,0,0,0,397271,698,50041,562187,3968,0,11,207,1758784,2114721,0,0,1473468,511925,1668269575,5288
7837696,3308800,202444,3323128,4159956,20348,348592,0,0,0,398262,698,50054,562187,3968,0,11,207,1758784,2114749,0,0,1476011,512084,1668269575,5290
7837696,224480,202448,221736,7246432,20356,346428,0,0,0,398665,698,50269,562571,3968,0,11,207,1758784,2114781,0,0,1477658,512302,1668269575,5292
