Percentage served,Time in ms
0,0.021
1,0.054
2,0.055
3,0.056
4,0.056
5,0.056
6,0.056
7,0.057
8,0.057
9,0.057
10,0.057
11,0.057
12,0.058
13,0.061
14,0.063
15,0.065
16,0.066
17,0.067
18,0.068
19,0.069
20,0.069
21,0.070
22,0.070
23,0.070
24,0.071
25,0.071
26,0.072
27,0.072
28,0.072
29,0.073
30,0.073
31,0.073
32,0.074
33,0.074
34,0.074
35,0.075
36,0.075
37,0.076
38,0.076
39,0.077
40,0.078
41,0.079
42,0.080
43,0.081
44,0.082
45,0.084
46,0.086
47,0.091
48,0.096
49,0.101
50,0.104
51,0.105
52,0.106
53,0.108
54,0.110
55,0.112
56,0.114
57,0.116
58,0.118
59,0.120
60,0.123
61,0.127
62,0.131
63,0.137
64,0.147
65,0.163
66,0.188
67,0.210
68,0.230
69,0.253
70,0.282
71,0.310
72,0.339
73,0.376
74,0.423
75,0.478
76,0.567
77,0.708
78,0.941
79,1.347
80,2.017
81,2.784
82,3.727
83,4.872
84,6.424
85,8.493
86,10.280
87,12.326
88,14.995
89,19.672
90,25.935
91,36.571
92,55.014
93,87.247
94,158.169
95,830.527
96,1343.468
97,2501.881
98,2776.175
99,2814.965
100,7090.441
