K total memory,K used memory,K active memory,K inactive memory,K free memory,K buffer memory,K swap cache,K total swap,K used swap,K free swap,non-nice user cpu ticks,nice user cpu ticks,system cpu ticks,idle cpu ticks,IO-wait cpu ticks,IRQ cpu ticks,softirq cpu ticks,stolen cpu ticks,pages paged in,pages paged out,pages swapped in,pages swapped out,interrupts,CPU context switches,boot time,forks
7837696,225932,5824,124612,7544288,1772,65704,0,0,0,247880,460,43746,337478,3373,0,8,153,1503096,1968445,0,0,1014406,377355,1668269575,3452
7837696,225924,5896,124632,7544288,1772,65712,0,0,0,247880,460,43746,338477,3374,0,8,153,1503096,1969437,0,0,1014661,377692,1668269575,3454
7837696,225916,5912,124620,7544288,1780,65712,0,0,0,247880,460,43746,339477,3374,0,8,153,1503096,1969537,0,0,1014793,377844,1668269575,3456
7837696,226156,5920,124620,7544040,1788,65712,0,0,0,247880,460,43746,340477,3374,0,8,153,1503096,1969553,0,0,1014903,377984,1668269575,3458
7837696,225452,6504,124612,7544040,2448,65756,0,0,0,247880,460,43747,341476,3375,0,8,153,1503804,1969565,0,0,1015034,378149,1668269575,3460
7837696,225432,6540,124720,7544040,2456,65768,0,0,0,247880,460,43748,342476,3375,0,8,153,1503804,1969577,0,0,1015134,378291,1668269575,3462
7837696,225420,6548,124716,7544040,2464,65772,0,0,0,247880,460,43748,343476,3375,0,8,153,1503804,1969589,0,0,1015255,378449,1668269575,3464
7837696,215432,8108,135340,7541772,2476,78016,0,0,0,247880,460,43890,344327,3378,0,8,154,1524561,1969609,0,0,1018344,384213,1668269575,3467
7837696,215412,8152,135416,7541772,2484,78028,0,0,0,247880,460,43891,345327,3378,0,8,154,1524561,1969629,0,0,1018448,384365,1668269575,3469
7837696,212876,8164,137868,7541772,2492,80556,0,0,0,247881,460,43895,346314,3387,0,8,154,1526047,1969641,0,0,1018683,384739,1668269575,3471
7837696,212868,8184,137828,7541772,2500,80556,0,0,0,247881,460,43895,347314,3387,0,8,154,1526047,1969653,0,0,1018803,384888,1668269575,3473
7837696,212856,8192,137940,7541772,2508,80560,0,0,0,247881,460,43895,348314,3387,0,8,154,1526047,1969665,0,0,1018906,385025,1668269575,3475
7837696,212280,8204,138400,7541772,2516,81128,0,0,0,247881,460,43896,349314,3387,0,8,154,1526615,1969677,0,0,1019033,385205,1668269575,3477
7837696,212272,8208,138400,7541772,2524,81128,0,0,0,247882,460,43896,350314,3387,0,8,154,1526615,1969689,0,0,1019133,385341,1668269575,3479
7837696,212252,8220,138436,7541772,2536,81136,0,0,0,247882,460,43897,351314,3387,0,8,154,1526619,1969713,0,0,1019252,385493,1668269575,3481
7837696,212680,8420,138304,7541268,2548,81200,0,0,0,247882,460,43897,352313,3388,0,8,155,1526687,1969733,0,0,1019484,385805,1668269575,3487
7837696,212672,8444,138296,7541268,2556,81200,0,0,0,247883,460,43898,353312,3388,0,8,155,1526687,1969745,0,0,1019742,386136,1668269575,3493
7837696,212808,8572,138308,7541016,2576,81296,0,0,0,247884,460,43901,354309,3388,0,8,155,1526791,1969761,0,0,1020150,386605,1668269575,3507
7837696,213052,8584,138300,7540764,2584,81296,0,0,0,247885,460,43902,355308,3388,0,8,155,1526791,1969773,0,0,1020342,386834,1668269575,3511
7837696,213044,8588,138276,7540764,2592,81296,0,0,0,247885,460,43902,356308,3388,0,8,155,1526791,1969785,0,0,1020466,387014,1668269575,3513
7837696,213036,8600,138268,7540764,2600,81296,0,0,0,247885,460,43903,357307,3388,0,8,155,1526791,1969797,0,0,1020616,387197,1668269575,3516
7837696,214244,8772,139436,7538248,2612,82592,0,0,0,247885,460,43917,358293,3389,0,8,156,1528466,1969825,0,0,1020990,387819,1668269575,3520
7837696,214484,8776,139480,7537996,2620,82596,0,0,0,247886,460,43917,359293,3389,0,8,156,1528466,1969845,0,0,1021098,387966,1668269575,3522
7837696,214476,8784,139412,7537996,2628,82596,0,0,0,247886,460,43917,360293,3389,0,8,156,1528466,1969857,0,0,1021203,388105,1668269575,3524
7837696,214468,8788,139400,7537996,2636,82596,0,0,0,247886,460,43917,361293,3389,0,8,156,1528466,1969869,0,0,1021342,388285,1668269575,3526
7837696,214964,8804,139440,7537492,2644,82596,0,0,0,247886,460,43918,362293,3389,0,8,156,1528466,1969881,0,0,1021549,388556,1668269575,3530
