K total memory,K used memory,K active memory,K inactive memory,K free memory,K buffer memory,K swap cache,K total swap,K used swap,K free swap,non-nice user cpu ticks,nice user cpu ticks,system cpu ticks,idle cpu ticks,IO-wait cpu ticks,IRQ cpu ticks,softirq cpu ticks,stolen cpu ticks,pages paged in,pages paged out,pages swapped in,pages swapped out,interrupts,CPU context switches,boot time,forks
7837696,886680,421644,1039424,6206904,33292,710820,0,0,0,192041,460,27658,327792,3322,0,6,133,374738,1908013,0,0,674833,238007,1668269575,3214
7837696,7275264,200160,7373320,111984,23476,426972,0,0,0,192776,460,27929,327792,3322,0,6,133,375738,1908169,0,0,682370,238541,1668269575,3216
7837696,7548364,4864,7478524,217164,2388,69780,0,0,0,193531,460,28177,327793,3322,0,7,133,401148,1908245,0,0,697063,241595,1668269575,3220
7837696,7033696,3612,6950120,753136,1480,49384,0,0,0,194334,460,28380,327793,3322,0,7,134,414492,1909281,0,0,701585,243252,1668269575,3223
7837696,7357328,3836,7272256,429492,1568,49308,0,0,0,195167,460,28554,327794,3322,0,7,134,427924,1910085,0,0,704527,244747,1668269575,3226
7837696,6923276,3724,6841108,863572,1568,49280,0,0,0,195966,460,28759,327795,3323,0,7,134,441208,1910945,0,0,707509,246233,1668269575,3229
7837696,7068028,4144,6982804,719220,1604,48844,0,0,0,196792,460,28940,327795,3323,0,7,134,456164,1912601,0,0,710686,247763,1668269575,3234
7837696,6739212,3912,6659472,1045532,1588,51364,0,0,0,197587,460,29151,327795,3323,0,7,135,471416,1912801,0,0,713575,248881,1668269575,3237
7837696,6971980,3584,6887260,815080,1588,49048,0,0,0,198418,460,29327,327795,3324,0,7,135,483968,1913641,0,0,716536,250185,1668269575,3240
7837696,6512832,3652,6426832,1273792,1508,49564,0,0,0,199193,460,29527,327825,3325,0,7,135,497400,1914529,0,0,719456,251741,1668269575,3243
7837696,6680560,4020,6596216,1106444,1576,49116,0,0,0,200021,460,29706,327825,3325,0,7,135,510112,1915365,0,0,722398,253116,1668269575,3246
7837696,6408520,3712,6326960,1378060,1572,49544,0,0,0,200816,460,29916,327826,3325,0,7,136,523448,1916261,0,0,725387,254639,1668269575,3249
7837696,6569980,3972,6455056,1216916,1572,49228,0,0,0,201646,460,30091,327827,3326,0,7,136,537648,1917101,0,0,728330,255858,1668269575,3252
7837696,6303384,3756,6206708,1483332,1568,49412,0,0,0,202453,460,30290,327827,3326,0,7,136,550984,1918001,0,0,731298,257377,1668269575,3255
7837696,4110508,4752,4025816,3672512,1616,53060,0,0,0,202950,460,30786,327833,3331,0,7,137,598281,1918901,0,0,735596,271559,1668269575,3259
7837696,5688404,4024,5570304,2101188,1556,46548,0,0,0,203660,460,31089,327834,3332,0,7,137,630291,1919805,0,0,741925,277550,1668269575,3262
7837696,7319000,5156,7234892,464684,1560,52452,0,0,0,204468,460,31287,327834,3332,0,7,137,634825,1919805,0,0,744597,278102,1668269575,3265
7837696,7357428,3676,7254568,434504,1312,44452,0,0,0,205301,460,31473,327834,3332,0,7,137,655905,1921645,0,0,747915,280741,1668269575,3268
7837696,7273576,4636,7189300,512884,1332,49904,0,0,0,206097,460,31682,327834,3332,0,7,138,660925,1921645,0,0,750548,281060,1668269575,3271
7837696,7636956,3728,7553600,149256,1576,49908,0,0,0,206935,460,31850,327835,3332,0,7,138,674513,1922549,0,0,753502,282683,1668269575,3274
7837696,7170884,3932,7086052,615452,1600,49760,0,0,0,207714,460,32078,327835,3332,0,7,138,688261,1923517,0,0,756488,284179,1668269575,3277
7837696,7456112,4136,7378532,324836,1572,55176,0,0,0,208545,460,32263,327835,3333,0,7,138,705790,1924417,0,0,759627,285999,1668269575,3280
7837696,7019140,3732,6937176,767216,1592,49748,0,0,0,209340,460,32472,327835,3334,0,7,139,719654,1925373,0,0,762621,287531,1668269575,3283
7837696,7291812,3996,7207108,494564,1580,49740,0,0,0,210163,460,32655,327835,3334,0,7,139,733426,1926309,0,0,765603,288980,1668269575,3286
7837696,240736,4332,109600,7546052,1600,49308,0,0,0,210699,460,32815,328137,3339,0,7,139,748630,1927245,0,0,767920,290682,1668269575,3289
