Percentage served,Time in ms
0,2.591
1,8.460
2,12.461
3,13.976
4,15.765
5,17.175
6,18.453
7,19.496
8,22.448
9,37.642
10,49.773
11,52.312
12,53.654
13,55.547
14,56.421
15,58.369
16,66.992
17,72.337
18,157.728
19,164.108
20,179.145
21,179.302
22,180.751
23,182.155
24,183.448
25,184.189
26,184.373
27,186.561
28,186.762
29,186.833
30,186.933
31,187.323
32,188.270
33,189.235
34,190.277
35,191.117
36,191.741
37,191.950
38,192.020
39,192.085
40,192.240
41,192.314
42,192.522
43,192.787
44,192.867
45,192.911
46,193.073
47,193.428
48,194.139
49,194.389
50,194.530
51,194.623
52,194.679
53,194.777
54,194.816
55,194.918
56,195.014
57,195.120
58,195.408
59,195.682
60,195.965
61,196.072
62,196.193
63,196.263
64,196.345
65,197.127
66,197.320
67,197.397
68,198.074
69,198.743
70,198.974
71,199.190
72,199.266
73,199.336
74,199.402
75,199.465
76,199.571
77,199.825
78,199.902
79,199.994
80,200.129
81,200.512
82,201.000
83,201.147
84,201.389
85,201.538
86,201.978
87,202.323
88,202.492
89,202.545
90,202.660
91,202.776
92,203.364
93,203.784
94,204.008
95,207.615
96,209.219
97,211.129
98,213.323
99,213.586
100,214.370
