procs -----------------------memory---------------------- ---swap-- -----io---- -system-- --------cpu--------
 r  b         swpd         free         buff        cache   si   so    bi    bo   in   cs  us  sy  id  wa  st
 0  0            0      4147936        37056      3128488    0    0   664  1792  629 1791  23   9  97   1   0
 0  0            0      4147936        37064      3128496    0    0     0     8  745 1667   1   1  96   0   0
 0  0            0      4147936        37064      3128496    0    0     0     0  539  637   1   1  95   0   0
 0  0            0      4147936        37072      3128496    0    0     0     2  648 1323   2   1  95   0   0
 0  0            0      4147936        37072      3128496    0    0     0     0  363  192   0   0  94   0   0
 0  0            0      4147936        37080      3128496    0    0     0     2  319   55   0   0  95   0   0
 0  0            0      4147936        37080      3128496    0    0     0    36  331   46   0   0  97   0   0
 0  0            0      4147936        37088      3128496    0    0     0     5  428  600   1   1  98   0   0
 0  0            0      4147936        37096      3128488    0    0     0     4  317   45   0   0  96   0   0
 0  0            0      4147936        37096      3128496    0    0     0     0  311   38   0   0  95   0   0
 0  0            0      4147936        37104      3128496    0    0     0     2  312   40   0   0  97   0   0
 0  0            0      4147936        37104      3128496    0    0     0     0  310   35   0   0  94   0   0
 0  0            0      4147936        37112      3128496    0    0     0     2  311   37   0   0  96   0   0
 0  0            0      4147936        37112      3128496    0    0     0     3  314   33   0   0  98   0   0
 0  0            0      4147936        37120      3128496    0    0     0     3  318   42   0   0  95   0   0
 0  0            0      4147936        37256      3128496    0    0    26     0  300   39   0   0  94   0   0
 0  0            0      4147936        37264      3128496    0    0     0     3  302   37   0   0  96   0   0
 0  0            0      4147936        37264      3128496    0    0     0     0  303   43   0   0  95   0   0
 0  0            0      4147936        37272      3128496    0    0     0     2  305   38   0   0  95   0   0
 0  0            0      4147936        37272      3128496    0    0     0     0  300   38   0   0  97   0   0
 0  0            0      4147936        37280      3128496    0    0     0     4  307   38   0   0  96   0   0
 1  0            0      4147936        37280      3128496    0    0     0     2  302   40   0   0  97   0   0
 0  0            0      4147936        37288      3128496    0    0     0     1  304   45   0   0  94   0   0
 0  0            0      4147936        37296      3128496    0    0     0     2  331   40   3   0  97   0   0
 0  0            0      4147936        37296      3126340    0    0     0     0  354   83   6   0  94   0   0
 0  0            0      4147936        37304      3126340    0    0     0     2  309  125   0   0  98   0   0
 0  0            0      4147936        37304      3126340    0    0     0     0  310  101   0   0  97   0   0
