Percentage served,Time in ms
0,0.016
1,0.070
2,0.078
3,0.105
4,0.111
5,0.117
6,0.123
7,0.129
8,0.138
9,0.149
10,0.157
11,0.162
12,0.167
13,0.173
14,0.180
15,0.192
16,0.206
17,0.217
18,0.226
19,0.236
20,0.245
21,0.256
22,0.268
23,0.282
24,0.297
25,0.311
26,0.333
27,0.352
28,0.371
29,0.398
30,0.423
31,0.453
32,0.480
33,0.510
34,0.543
35,0.583
36,0.615
37,0.654
38,0.703
39,0.752
40,0.804
41,0.872
42,0.942
43,1.016
44,1.092
45,1.156
46,1.233
47,1.322
48,1.432
49,1.569
50,1.716
51,1.863
52,2.023
53,2.214
54,2.490
55,2.771
56,3.069
57,3.419
58,3.826
59,4.238
60,4.728
61,5.256
62,5.845
63,6.541
64,7.249
65,7.959
66,8.696
67,9.332
68,9.991
69,10.649
70,11.564
71,12.381
72,13.349
73,14.628
74,15.844
75,17.137
76,18.546
77,20.308
78,22.460
79,24.696
80,27.424
81,31.391
82,34.546
83,37.430
84,41.318
85,46.479
86,52.236
87,63.402
88,76.987
89,94.318
90,147.359
91,998.801
92,1221.871
93,1662.166
94,2603.650
95,2919.475
96,4005.759
97,4070.496
98,4594.364
99,4351.677
100,4729.251
