procs -----------------------memory---------------------- ---swap-- -----io---- -system-- --------cpu--------
r,b,swpd,free,buff,cache,si,so,bi,bo,in,cs,us,sy,id,wa,st
3,0,0,4996296,10656,2262680,0,0,1142,1861,770,1353,19,10,70,2,0
4,0,0,4964096,13412,2263868,0,0,484,1113,795,1272,54,14,40,2,0
1,0,0,4987072,15036,2264224,0,0,343,1512,773,1453,63,12,32,2,0
7,0,0,4953636,20664,2268804,0,0,936,4335,1353,3985,56,22,35,6,0
2,0,0,4905616,22936,2286828,0,0,1202,1858,554,2420,64,14,31,1,0
4,0,0,4770508,27600,2390472,0,0,4006,20791,2718,10753,51,24,38,7,0
2,0,0,4663008,28120,2557800,0,0,6224,27709,1605,15804,53,20,30,8,0
2,0,0,4552720,29352,2610752,0,0,146,1174,970,1684,57,22,38,3,0
1,0,0,4599196,30208,2610924,0,0,122,1093,523,874,66,11,31,2,0
1,0,0,4579072,30772,2611048,0,0,51,1789,887,1525,58,25,37,0,0
3,0,0,4570568,31156,2611576,0,0,22,1247,513,854,68,12,39,1,0
4,0,0,4570736,33208,2600192,0,0,1351,8086,1599,4750,58,37,41,4,0
3,0,0,4530428,35584,2628280,0,0,829,8010,3009,6268,48,31,43,8,0
3,0,0,4533092,36036,2679080,0,0,30,1092,570,936,54,13,42,1,0
3,0,0,4529940,36384,2679224,0,0,10,1158,549,834,56,12,41,1,0
4,0,0,4492232,36964,2693220,0,0,2770,2500,836,7102,58,38,33,1,0
2,0,0,4327688,37024,2850636,0,0,6487,30674,1505,14580,32,12,39,7,0
2,0,0,4176324,40772,2979736,0,0,2843,17187,1490,8234,41,26,37,6,0
6,0,0,4170884,40940,2962156,0,0,11,309,497,4851,70,14,46,1,0
2,0,0,4066860,40976,3088616,0,0,6,10449,1132,15507,73,14,43,0,0
3,0,0,4013252,41668,3167696,0,0,70,37069,2312,9284,47,28,32,3,0
2,0,0,4000292,41932,3167356,0,0,5,879,671,1011,53,14,32,0,0
2,0,0,3981496,42376,3167968,0,0,32,1358,866,2008,61,15,32,2,0
6,0,0,3939236,42604,3220420,0,0,0,1518,1049,1963,53,23,43,1,0
2,0,0,3970308,43200,3223296,0,0,226,2365,1570,2668,42,25,42,1,0
