K total memory,K used memory,K active memory,K inactive memory,K free memory,K buffer memory,K swap cache,K total swap,K used swap,K free swap,non-nice user cpu ticks,nice user cpu ticks,system cpu ticks,idle cpu ticks,IO-wait cpu ticks,IRQ cpu ticks,softirq cpu ticks,stolen cpu ticks,pages paged in,pages paged out,pages swapped in,pages swapped out,interrupts,CPU context switches,boot time,forks
8140856,4066308,70032,3949872,3960936,2464,111148,1637028,440400,1196628,34543,1789,13981,78748,15787,0,4497,0,11156937,21362769,2514902,5293366,1471957,1478285,1668331770,2480
8140856,7732428,100372,7762412,117124,1820,89484,1637028,1056256,580772,34704,1789,14206,78751,15806,0,4542,0,11159509,21980621,2514909,5447780,1494280,1482338,1668331770,2482
8140856,7829900,96632,7762200,120720,1812,88424,1637028,1165504,471524,35132,1789,14249,78756,16082,0,4573,0,11317452,22245941,2553567,5514102,1511640,1495385,1668331770,2484
8140856,7935280,92828,7767140,118960,1796,84820,1637028,1173456,463572,35592,1789,14270,78756,16390,0,4599,0,11443948,22371269,2585191,5545434,1530800,1511274,1668331770,2486
8140856,7983804,87380,7752860,137868,568,78616,1637028,1185112,451916,36067,1789,14289,78756,16719,0,4622,0,11640376,22579277,2634286,5597433,1548825,1527010,1668331770,2488
8140856,7840080,94856,7768616,115708,568,84500,1637028,1167944,469084,36527,1789,14328,78759,17008,0,4645,0,11844672,22754929,2682549,5641342,1566315,1544571,1668331770,2490
8140856,7742684,92336,7770372,116220,576,81376,1637028,1167080,469948,36997,1789,14366,78759,17304,0,4669,0,12044480,22953145,2732386,5690893,1584695,1563798,1668331770,2492
8140856,7921620,92572,3743424,4138560,584,80092,1637028,1159592,477436,37426,1789,14420,78769,17595,0,4696,0,12160444,23063373,2761270,5718435,1604130,1580178,1668331770,2494
8140856,7660200,91628,7787832,100456,592,79608,1637028,1139404,497624,37509,1789,14762,78778,17825,0,4736,0,12286664,23168869,2792759,5744804,1626089,1590430,1668331770,2496
8140856,7884504,87844,7711188,179748,564,76040,1637028,1234048,402980,37737,1789,15002,78788,18130,0,4766,0,12461600,23438973,2836464,5812325,1642674,1604112,1668331770,2498
8140856,7784408,90420,5600784,2277372,572,78504,1637028,1042560,594468,38129,1789,15114,78789,18394,0,4778,0,12655460,23438985,2884313,5812325,1653768,1618590,1668331770,2500
8140856,7442448,88704,7769588,121012,572,76824,1637028,993416,643612,38516,1789,15222,78810,18604,0,4799,0,12832096,23567593,2928431,5844473,1666328,1636964,1668331770,2502
8140856,7250332,88672,7774532,115044,552,74928,1637028,1181908,455120,38936,1789,15266,78828,18901,0,4836,0,12915592,23840985,2948929,5912818,1682151,1648827,1668331770,2504
8140856,7850368,88536,7774244,115800,560,74128,1637028,1179044,457984,39419,1789,15286,78828,19226,0,4855,0,13124164,24050413,3001038,5965172,1701190,1665484,1668331770,2506
8140856,6422284,89692,6248600,1640484,560,77528,1637028,1040964,596064,39658,1789,15494,78846,19409,0,4881,0,13342276,24128325,3054586,5984650,1734888,1681388,1668331770,2509
8140856,7654008,87840,6980548,911084,528,75236,1637028,1068064,568964,39890,1789,15742,78847,19709,0,4913,0,13532252,24353121,3102080,6040843,1753900,1698227,1668331770,2511
8140856,7954008,87204,7780792,111156,504,75188,1637028,1172248,464780,40274,1789,15834,78866,19892,0,4953,0,13689340,24618653,3140644,6107221,1769543,1716506,1668331770,2513
8140856,7951784,86312,7778200,113956,512,74604,1637028,1181200,455828,40749,1789,15856,78867,20106,0,4971,0,13867912,24807121,3185287,6154335,1781563,1733558,1668331770,2515
8140856,7854416,92372,7771416,114596,500,71344,1637028,1176584,460444,41070,1789,16031,78867,20338,0,4994,0,14076980,25013817,3237485,6206005,1794325,1749918,1668331770,2517
8140856,7954324,90804,7772188,115684,508,70340,1637028,1177324,459704,41540,1789,16053,78867,20651,0,5016,0,14248952,25190701,3280478,6250223,1812892,1765708,1668331770,2519
8140856,7954072,89308,7772932,116944,516,69324,1637028,1175584,461444,41994,1789,16084,78868,20942,0,5045,0,14409772,25356825,3320683,6291751,1832293,1783258,1668331770,2521
8140856,7503324,90048,5316504,2567892,524,69116,1637028,1059432,577596,42334,1789,16224,78868,21209,0,5059,0,14617448,25451281,3372536,6315362,1857884,1799402,1668331770,2523
8140856,7949600,88108,7767792,122736,516,68004,1637028,1167904,469124,42672,1789,16372,78880,21481,0,5088,0,14818460,25760517,3422738,6392664,1874321,1815166,1668331770,2525
8140856,7835132,87708,3639988,4237656,524,67544,1637028,1167128,469900,42900,1789,16603,78887,21639,0,5121,0,14969260,25908281,3460393,6429600,1898862,1828962,1668331770,2527
8140856,7620106,90564,83212,7781820,664,70484,1637028,450608,1186420,43099,1789,16706,79263,21776,0,5140,0,15061220,25924313,3482600,6433604,1908946,1842328,1668331770,2529
