Percentage served,Time in ms
0,9.476
1,9.803
2,11.218
3,17.836
4,22.495
5,23.807
6,23.854
7,24.166
8,24.515
9,24.641
10,25.474
11,26.399
12,27.529
13,28.061
14,28.228
15,28.823
16,28.832
17,33.414
18,34.675
19,35.536
20,36.510
21,36.866
22,37.577
23,39.323
24,40.301
25,41.058
26,41.317
27,41.796
28,43.384
29,44.389
30,45.797
31,46.280
32,46.614
33,47.218
34,48.851
35,49.747
36,50.444
37,51.728
38,52.858
39,54.224
40,54.725
41,55.111
42,55.388
43,55.583
44,56.573
45,56.760
46,56.921
47,57.154
48,57.531
49,57.675
50,57.753
51,57.877
52,57.981
53,58.077
54,58.099
55,58.494
56,59.303
57,59.619
58,59.976
59,60.148
60,60.249
61,60.469
62,61.584
63,62.255
64,62.801
65,63.417
66,63.624
67,63.813
68,64.101
69,64.342
70,64.599
71,64.823
72,65.182
73,65.566
74,65.894
75,66.156
76,66.304
77,66.517
78,66.761
79,67.341
80,67.907
81,68.628
82,70.002
83,71.272
84,72.399
85,73.274
86,74.060
87,74.955
88,75.655
89,76.096
90,76.553
91,77.504
92,78.700
93,80.221
94,84.679
95,87.494
96,91.305
97,92.302
98,94.581
99,95.281
100,98.692
