K total memory,K used memory,K active memory,K inactive memory,K free memory,K buffer memory,K swap cache,K total swap,K used swap,K free swap,non-nice user cpu ticks,nice user cpu ticks,system cpu ticks,idle cpu ticks,IO-wait cpu ticks,IRQ cpu ticks,softirq cpu ticks,stolen cpu ticks,pages paged in,pages paged out,pages swapped in,pages swapped out,interrupts,CPU context switches,boot time,forks
8150928,271044,70920,139972,7797440,1576,80868,1048572,416468,632104,390949,0,127129,4942804,23590,0,9637,0,64634651,115892520,14230030,28811113,17613748,12519720,1668169826,4136
8150928,271356,71100,140272,7796684,1580,81308,1048572,416372,632200,390950,0,127131,4943802,23590,0,9637,0,64634987,115892524,14230039,28811113,17614521,12521149,1668169826,4138
8150928,271580,71792,139644,7796436,1580,81332,1048572,416284,632288,390951,0,127134,4944800,23590,0,9637,0,64635063,115892524,14230053,28811113,17615248,12522561,1668169826,4140
8150928,271576,71892,139656,7796436,1580,81336,1048572,416196,632376,390952,0,127138,4945797,23590,0,9637,0,64635139,115892528,14230072,28811113,17616023,12524013,1668169826,4142
8150928,271576,71916,139624,7796436,1580,81336,1048572,416100,632472,390956,0,127141,4946789,23590,0,9637,0,64635151,115892528,14230075,28811113,17616887,12525639,1668169826,4144
8150928,271576,71920,139788,7796436,1580,81336,1048572,416064,632508,390956,0,127143,4947786,23590,0,9637,0,64635159,115892528,14230077,28811113,17617593,12526985,1668169826,4146
8150928,271568,71920,139744,7796436,1580,81344,1048572,416044,632528,390958,0,127145,4948780,23590,0,9637,0,64635159,115892528,14230077,28811113,17618508,12528720,1668169826,4148
8150928,271572,71924,139932,7796436,1580,81340,1048572,416020,632552,390959,0,127147,4949784,23591,0,9637,0,64635175,115892528,14230081,28811113,17619300,12530299,1668169826,4150
8150928,271572,71920,139852,7796436,1580,81340,1048572,416004,632568,390960,0,127150,4950781,23591,0,9637,0,64635183,115892528,14230083,28811113,17620065,12531714,1668169826,4152
8150928,271572,71924,140076,7796436,1580,81340,1048572,415964,632608,390961,0,127152,4951779,23591,0,9637,0,64635195,115892528,14230086,28811113,17620794,12533132,1668169826,4154
8150928,271572,71940,139944,7796436,1580,81340,1048572,415936,632636,390964,0,127154,4952773,23591,0,9637,0,64635235,115892528,14230096,28811113,17621745,12534911,1668169826,4157
8150928,271440,71940,140036,7796436,1580,81472,1048572,415932,632640,390965,0,127157,4953770,23591,0,9637,0,64635363,115892528,14230096,28811113,17622540,12536340,1668169826,4159
8150928,271420,71944,140076,7796436,1580,81492,1048572,415884,632688,390966,0,127159,4954766,23591,0,9637,0,64635419,115892528,14230110,28811113,17623286,12537791,1668169826,4161
8150928,271420,71940,140132,7796436,1580,81492,1048572,415872,632700,390968,0,127161,4955764,23591,0,9637,0,64635427,115892528,14230112,28811113,17623995,12539094,1668169826,4163
8150928,271420,71944,140108,7796436,1580,81492,1048572,415868,632704,390970,0,127163,4956760,23591,0,9637,0,64635427,115892528,14230112,28811113,17624667,12540384,1668169826,4165
8150928,271420,71944,140148,7796436,1580,81492,1048572,415852,632720,390971,0,127165,4957756,23591,0,9637,0,64635427,115892528,14230112,28811113,17625355,12541655,1668169826,4167
8150928,271412,71948,140444,7796436,1580,81500,1048572,415840,632732,390975,0,127169,4958748,23591,0,9637,0,64635439,115892528,14230115,28811113,17626240,12543340,1668169826,4169
8150928,271408,71948,140368,7796436,1580,81504,1048572,415836,632736,390976,0,127171,4959745,23591,0,9637,0,64635439,115892528,14230115,28811113,17626924,12544720,1668169826,4171
8150928,271400,71928,140284,7796436,1580,81512,1048572,415752,632820,390977,0,127175,4960742,23591,0,9637,0,64635451,115892528,14230118,28811113,17627673,12546123,1668169826,4173
8150928,271400,71928,140444,7796436,1580,81512,1048572,415736,632836,390979,0,127177,4961739,23591,0,9637,0,64635467,115892528,14230122,28811113,17628398,12547565,1668169826,4175
8150928,271400,71924,140516,7796436,1580,81512,1048572,415736,632836,390979,0,127178,4962738,23591,0,9637,0,64635467,115892528,14230122,28811113,17629133,12548973,1668169826,4177
8150928,271400,71928,140500,7796436,1580,81512,1048572,415732,632840,390982,0,127181,4963733,23591,0,9637,0,64635467,115892528,14230122,28811113,17629915,12550473,1668169826,4179
8150928,271392,71932,140616,7796436,1580,81520,1048572,415724,632848,390985,0,127184,4964728,23591,0,9637,0,64635467,115892528,14230122,28811113,17630727,12552051,1668169826,4181
8150928,271648,71932,140632,7796184,1580,81516,1048572,415708,632864,390989,0,127186,4965721,23591,0,9637,0,64635499,115892528,14230130,28811113,17631511,12553518,1668169826,4183
8150928,271648,71932,140616,7796184,1580,81516,1048572,415704,632868,390991,0,127188,4966716,23591,0,9637,0,64635499,115892528,14230130,28811113,17632270,12555013,1668169826,4185
8150928,271900,71932,140700,7795932,1580,81516,1048572,415700,632872,390992,0,127190,4967714,23591,0,9637,0,64635499,115892528,14230130,28811113,17632950,12556321,1668169826,4187
