Percentage served,Time in ms
0,3.834
1,20.437
2,28.532
3,30.932
4,32.272
5,33.933
6,35.898
7,36.855
8,37.835
9,38.499
10,38.922
11,39.302
12,39.696
13,40.703
14,41.568
15,42.572
16,43.352
17,44.336
18,45.252
19,45.720
20,46.305
21,47.486
22,48.276
23,48.919
24,49.601
25,50.518
26,51.443
27,52.282
28,52.949
29,53.610
30,54.418
31,56.033
32,56.843
33,57.118
34,57.370
35,57.884
36,58.206
37,58.796
38,59.171
39,59.666
40,60.232
41,61.534
42,63.493
43,64.945
44,65.605
45,66.853
46,67.834
47,68.800
48,70.782
49,72.842
50,73.776
51,75.815
52,77.935
53,80.148
54,82.619
55,84.907
56,86.525
57,88.211
58,90.397
59,93.502
60,96.937
61,105.270
62,114.571
63,117.221
64,119.294
65,128.605
66,144.181
67,168.756
68,178.607
69,189.128
70,194.740
71,198.331
72,202.243
73,207.761
74,211.745
75,213.955
76,216.510
77,251.502
78,253.280
79,255.208
80,269.864
81,273.808
82,276.536
83,285.192
84,285.867
85,286.633
86,288.378
87,289.603
88,290.146
89,293.255
90,297.753
91,302.077
92,310.898
93,322.841
94,333.561
95,346.250
96,360.069
97,371.815
98,385.735
99,759.308
100,855.073
