procs -----------------------memory---------------------- ---swap-- -----io---- -system-- --------cpu--------
r,b,swpd,free,buff,cache,si,so,bi,bo,in,cs,us,sy,id,wa,st
2,0,0,6852140,38324,725032,0,0,70,378,49,50,7,0,91,1,0
2,0,0,6852140,38332,725036,0,0,0,30,263,38,49,0,51,0,0
2,0,0,6852140,38340,725028,0,0,0,6,266,31,51,0,49,0,0
0,0,0,6852140,38340,725036,0,0,0,0,258,27,49,0,51,0,0
0,0,0,6852140,38348,725036,0,0,0,2,277,46,51,1,49,0,0
0,0,0,6852140,38348,725036,0,0,0,0,258,26,49,1,51,0,0
2,0,0,6852140,38356,725036,0,0,0,2,270,45,50,1,50,0,0
0,0,0,6852140,38356,725036,0,0,0,7,285,54,53,0,47,0,0
0,0,0,6852140,38364,725036,0,0,0,2,261,31,49,1,51,0,0
0,0,0,6852140,38364,725036,0,0,0,1,264,41,49,1,51,0,0
2,0,0,6852140,38372,725036,0,0,0,2,265,35,50,1,50,0,0
2,0,0,6852140,38372,725036,0,0,0,0,268,29,51,0,49,0,0
2,0,0,6852140,38380,725036,0,0,0,2,270,31,51,0,48,0,0
2,0,0,6852140,38388,725036,0,0,0,2,268,30,51,0,49,0,0
0,0,0,6852140,38396,725036,0,0,0,2,268,33,51,0,49,0,0
0,0,0,6852140,38404,725036,0,0,0,2,258,29,49,0,51,0,0
0,0,0,6852140,38404,725036,0,0,0,1,261,30,49,0,51,0,0
0,0,0,6852140,38412,725036,0,0,0,2,259,29,49,0,51,0,0
0,0,0,6852140,38420,725036,0,0,0,2,259,30,49,0,51,0,0
2,0,0,6852140,38420,725036,0,0,0,0,268,43,50,0,50,0,0
2,0,0,6852140,38428,725036,0,0,0,2,270,30,52,0,48,0,0
2,0,0,6851888,38436,725036,0,0,0,3,273,35,51,0,49,0,0
2,0,0,6851888,38436,725036,0,0,0,0,271,32,52,0,48,0,0
0,0,0,6851888,38444,725036,0,0,0,3,265,31,50,0,50,0,0
0,0,0,6851888,38452,722880,0,0,0,2,208,37,37,0,63,0,0
