K total memory,K used memory,K active memory,K inactive memory,K free memory,K buffer memory,K swap cache,K total swap,K used swap,K free swap,non-nice user cpu ticks,nice user cpu ticks,system cpu ticks,idle cpu ticks,IO-wait cpu ticks,IRQ cpu ticks,softirq cpu ticks,stolen cpu ticks,pages paged in,pages paged out,pages swapped in,pages swapped out,interrupts,CPU context switches,boot time,forks
7837696,986544,201576,1011160,6482740,19960,348452,0,0,0,356649,698,44397,557401,3968,0,11,195,1758704,2113201,0,0,1354637,501214,1668269575,5175
7837696,4394580,201580,4421192,3074700,19960,348456,0,0,0,357482,698,44567,557401,3968,0,11,196,1758704,2113201,0,0,1357236,501504,1668269575,5177
7837696,4395076,201588,4421220,3074196,19968,348456,0,0,0,358488,698,44567,557401,3968,0,11,196,1758704,2113241,0,0,1359784,501681,1668269575,5179
7837696,4395320,201592,4421212,3073944,19976,348456,0,0,0,359491,698,44568,557401,3968,0,11,196,1758704,2113253,0,0,1362323,501858,1668269575,5181
7837696,4395312,201600,4421204,3073944,19984,348456,0,0,0,360495,698,44568,557401,3968,0,11,196,1758704,2113265,0,0,1364871,502030,1668269575,5183
7837696,2539880,201612,2549824,4929368,19992,348456,0,0,0,361109,698,44958,557401,3968,0,11,196,1758704,2113277,0,0,1367414,502224,1668269575,5185
7837696,1390024,201620,1394424,6079212,20000,348460,0,0,0,361929,698,45142,557401,3968,0,11,197,1758704,2113457,0,0,1369985,502438,1668269575,5187
7837696,2964836,201636,2970660,4504388,20008,348464,0,0,0,362876,698,45198,557401,3968,0,11,197,1758704,2113493,0,0,1372545,502685,1668269575,5190
7837696,4415640,201644,4421300,3053576,20016,348464,0,0,0,363826,698,45253,557401,3968,0,11,197,1758704,2113513,0,0,1375087,502845,1668269575,5192
7837696,4415884,201652,4421328,3053324,20024,348464,0,0,0,364830,698,45253,557401,3968,0,11,197,1758704,2113549,0,0,1377633,503034,1668269575,5194
7837696,2432672,201660,2450096,5036528,20032,348464,0,0,0,365826,698,45262,557401,3968,0,11,198,1758704,2113561,0,0,1380180,503195,1668269575,5196
7837696,4396176,201668,4421316,3073012,20040,348468,0,0,0,366330,698,45762,557401,3968,0,11,198,1758704,2113581,0,0,1382725,503380,1668269575,5198
7837696,4396420,201672,4421384,3072760,20048,348468,0,0,0,367334,698,45762,557401,3968,0,11,198,1758704,2113601,0,0,1385269,503534,1668269575,5200
7837696,4396664,201684,4421340,3072508,20056,348468,0,0,0,368338,698,45762,557401,3968,0,11,198,1758704,2113625,0,0,1387817,503709,1668269575,5202
7837696,4396812,201692,4421392,3072352,20064,348468,0,0,0,369100,698,46005,557401,3968,0,11,199,1758704,2113637,0,0,1390360,503895,1668269575,5204
7837696,4397056,201700,4421340,3072100,20072,348468,0,0,0,370104,698,46005,557401,3968,0,11,199,1758704,2113653,0,0,1392905,504074,1668269575,5206
7837696,4234660,201708,4246604,3234488,20080,348468,0,0,0,370875,698,46239,557401,3968,0,11,199,1758704,2113665,0,0,1395448,504241,1668269575,5208
7837696,2520288,201716,2503144,4948848,20088,348472,0,0,0,371556,698,46561,557401,3968,0,11,199,1758704,2113685,0,0,1397993,504456,1668269575,5210
7837696,4402492,201724,4421392,3066636,20096,348472,0,0,0,372313,698,46808,557401,3968,0,11,200,1758704,2113705,0,0,1400547,504671,1668269575,5212
7837696,1732200,201784,1738864,5736928,20096,348472,0,0,0,373148,698,46977,557401,3968,0,11,200,1758704,2113717,0,0,1403136,504989,1668269575,5215
7837696,4928556,201732,4945472,2540564,20104,348472,0,0,0,373996,698,47133,557401,3968,0,11,200,1758704,2113729,0,0,1405676,505146,1668269575,5217
7837696,4928800,201740,4945464,2540312,20112,348472,0,0,0,375000,698,47133,557401,3968,0,11,200,1758704,2113745,0,0,1408222,505327,1668269575,5219
7837696,4929292,201748,4945412,2539808,20120,348476,0,0,0,376005,698,47133,557401,3968,0,11,200,1758704,2113757,0,0,1410768,505485,1668269575,5221
7837696,4929588,201756,4945468,2539504,20128,348476,0,0,0,377008,698,47134,557401,3968,0,11,201,1758704,2113777,0,0,1413312,505667,1668269575,5223
7837696,212076,201776,224124,7259164,20144,346312,0,0,0,377619,698,47299,557629,3968,0,11,201,1758704,2113825,0,0,1415389,506000,1668269575,5227
