procs -----------------------memory---------------------- ---swap-- -----io---- -system-- --------cpu--------
 r  b         swpd         free         buff        cache   si   so    bi    bo   in   cs  us  sy  id  wa  st
 2  0            0      6870496        32116       712772    0    0   251  1284  117  117  18   1  78   3   0
 0  0            0      6870496        32140       712776    0    0     0    31  269   44  50   0  50   0   0
 2  0            0      6870496        32140       712776    0    0     0     0  269   38  50   0  50   0   0
 2  0            0      6870272        32148       712776    0    0     0     2  265   39  50   0  50   0   0
 0  0            0      6870272        32164       712768    0    0     0     7  274   51  51   0  49   0   0
 0  0            0      6870272        32164       712772    0    0     0     0  268   46  49   0  51   0   0
 0  0            0      6870272        32172       712772    0    0     0     5  264   29  50   0  50   0   0
 0  0            0      6870272        32172       712772    0    0     0    40  292   38  54   0  46   0   0
 0  0            0      6870272        32180       712772    0    0     0     6  261   28  50   0  50   0   0
 0  0            0      6870272        32188       712772    0    0     0     2  261   31  49   0  51   0   0
 0  0            0      6870272        32188       712772    0    0     0     0  259   26  49   0  51   0   0
 0  0            0      6870272        32196       712772    0    0     0     2  260   33  49   0  51   0   0
 0  0            0      6870272        32196       712772    0    0     0     0  258   27  49   0  51   0   0
 0  0            0      6870272        32204       712772    0    0     0     2  262   32  49   0  50   0   0
 0  0            0      6870272        32204       712772    0    0     0     4  261   29  49   0  51   0   0
 2  0            0      6870272        32212       712772    0    0     0     2  272   49  51   0  49   0   0
 2  0            0      6870272        32220       712772    0    0     0     2  264   27  51   0  49   0   0
 2  0            0      6870272        32228       712772    0    0     0     2  268   33  51   1  49   0   0
 2  0            0      6870272        32236       712772    0    0     0     2  264   28  51   1  49   0   0
 2  0            0      6870272        32244       712772    0    0     0     2  265   31  50   0  50   0   0
 2  0            0      6870272        32252       712772    0    0     0     2  266   27  51   1  49   0   0
 2  1            0      6870272        32268       712764    0    0     0     6  257   32  49   1  51   0   0
 2  0            0      6870272        32268       712772    0    0     0     0  264   26  51   0  49   0   0
 2  0            0      6870272        32276       712772    0    0     0     2  258   34  49   0  51   0   0
 0  0            0      6870272        32284       710684    0    0     0     2  219   36  40   0  50   0   0
 0  0            0      6870272        32292       710616    0    0     0     2   19   28   0   0  50   0   0
 0  0            0      6870272        32292       710616    0    0     0     0   14   21   0   0  60   0   0
