K total memory,K used memory,K active memory,K inactive memory,K free memory,K buffer memory,K swap cache,K total swap,K used swap,K free swap,non-nice user cpu ticks,nice user cpu ticks,system cpu ticks,idle cpu ticks,IO-wait cpu ticks,IRQ cpu ticks,softirq cpu ticks,stolen cpu ticks,pages paged in,pages paged out,pages swapped in,pages swapped out,interrupts,CPU context switches,boot time,forks
7837696,1911004,6448,1841176,5847772,2552,76368,0,0,0,210892,460,32932,330438,3343,0,7,140,765876,1927309,0,0,769746,292674,1668269575,3296
7837696,3937456,3560,3861712,3848912,1492,49836,0,0,0,211640,460,33189,330439,3343,0,7,140,781345,1928309,0,0,772932,294700,1668269575,3300
7837696,4577404,3876,4495772,3208748,1500,50044,0,0,0,212438,460,33397,330440,3344,0,7,140,795521,1929301,0,0,775929,296329,1668269575,3303
7837696,3737200,3568,3633960,4048876,1512,50108,0,0,0,213273,460,33568,330441,3344,0,7,140,809461,1930189,0,0,778869,297910,1668269575,3306
7837696,4308456,3704,4225776,3477256,1588,50396,0,0,0,214064,460,33783,330442,3345,0,7,141,823437,1931189,0,0,781877,299395,1668269575,3309
7837696,3535512,4704,3455768,4253852,1616,46716,0,0,0,214910,460,33958,330442,3345,0,7,141,835073,1932313,0,0,784875,301407,1668269575,3312
7837696,4245840,3680,4158652,3539788,1584,50484,0,0,0,215705,460,34172,330443,3345,0,7,141,852461,1933213,0,0,787948,302912,1668269575,3315
7837696,3526476,3472,3442920,4265176,1364,44680,0,0,0,216552,460,34379,330445,3346,0,7,141,864993,1934165,0,0,791099,307131,1668269575,3318
7837696,4128152,3752,4043392,3657636,1596,50312,0,0,0,217347,460,34593,330446,3347,0,7,142,886337,1935129,0,0,794202,309125,1668269575,3321
7837696,7630372,4728,7545140,155236,1596,50492,0,0,0,218188,460,34755,330446,3347,0,7,142,886341,1935129,0,0,796737,309279,1668269575,3323
7837696,3872452,3668,3787424,3913128,1576,50540,0,0,0,218970,460,34978,330446,3347,0,7,142,912281,1937001,0,0,800132,311942,1668269575,3327
7837696,7511528,5464,7427496,273164,2252,50752,0,0,0,219795,460,35158,330446,3347,0,7,143,913005,1937057,0,0,802700,312142,1668269575,3329
7837696,7694896,4204,7604600,100708,1604,40488,0,0,0,220580,460,35377,330447,3349,0,7,143,936313,1939005,0,0,806118,315040,1668269575,3333
7837696,6846388,5432,6777112,919148,1752,70408,0,0,0,221253,460,35707,330447,3350,0,7,143,969307,1939009,0,0,809830,319773,1668269575,3337
7837696,7066164,3808,6982348,719300,1584,50648,0,0,0,222077,460,35889,330447,3350,0,7,143,983495,1939965,0,0,812799,321144,1668269575,3340
7837696,6724264,3808,6616440,1061324,1584,50524,0,0,0,222865,460,36106,330448,3350,0,7,144,998475,1940953,0,0,815818,322476,1668269575,3343
7837696,6903800,3716,6820848,881484,1568,50844,0,0,0,223680,460,36297,330449,3350,0,7,144,1012547,1941925,0,0,818786,323814,1668269575,3346
7837696,6579780,3776,6497860,1205640,1572,50704,0,0,0,224477,460,36504,330449,3351,0,7,144,1027527,1942881,0,0,821812,325201,1668269575,3349
7837696,6812472,3808,6728540,972940,1572,50712,0,0,0,225310,460,36688,330450,3351,0,7,144,1041911,1943853,0,0,824817,326387,1668269575,3352
7837696,6529232,3736,6446780,1256180,1576,50708,0,0,0,226116,460,36889,330450,3351,0,7,145,1059203,1944805,0,0,827848,328013,1668269575,3355
7837696,6663996,3724,6583328,1121280,1568,50852,0,0,0,226949,460,37062,330450,3351,0,7,145,1074167,1945821,0,0,830846,329427,1668269575,3358
7837696,6420664,3740,6340304,1364480,1568,50984,0,0,0,227767,460,37248,330450,3353,0,7,145,1088683,1946841,0,0,833846,330923,1668269575,3361
7837696,6540624,3716,6460672,1244476,1576,51020,0,0,0,228578,460,37443,330451,3353,0,7,146,1103491,1947821,0,0,836834,332649,1668269575,3364
7837696,6323596,4420,6239568,1460984,2240,50876,0,0,0,229378,460,37647,330451,3354,0,7,146,1119099,1948873,0,0,839886,334145,1668269575,3367
7837696,229484,6028,113692,7551540,2248,54424,0,0,0,229745,460,37736,330994,3356,0,7,146,1123892,1948921,0,0,841339,334827,1668269575,3370
