procs -----------------------memory---------------------- ---swap-- -----io---- -system-- --------cpu--------
 r  b         swpd         free         buff        cache   si   so    bi    bo   in   cs  us  sy  id  wa  st
 3  0            0      4147432        37700      3128516    0    0   490  1324  531 1395  62  17  21   1   0
 0  0            0      4147432        37708      3128520    0    0     0     9  339  151  62  13  28   0   0
 0  0            0      4147432        37708      3128440    0    0     0     0  330  118  66  14  23   0   0
 2  0            0      4147432        37716      3128440    0    0     0     2  321   63  61  14  29   0   0
 1  0            0      4147432        37716      3128440    0    0     0     0  295   43  66  15  24   0   0
 0  0            0      4147432        37724      3128440    0    0     0     2  312   52  64  16  26   0   0
 1  0            0      4147432        37724      3128440    0    0     0    29  349   70  67  15  22   0   0
 0  0            0      4147432        37732      3128440    0    0     0    11  525  725  67  13  20   0   0
 1  0            0      4147432        37740      3128440    0    0     0     4  368  130  68  11  21   0   0
 1  0            0      4147432        37740      3128440    0    0     0     2  330   76  66  13  23   0   0
 1  0            0      4147432        37748      3128440    0    0     0     2  336   47  68  13  21   0   0
 0  0            0      4147432        37748      3128440    0    0     0     1  325   46  68  14  21   0   0
 2  0            0      4147432        37756      3128440    0    0     0     2  321   48  61  14  28   0   0
 0  0            0      4147432        37764      3128440    0    0     0     9  309   50  63  14  26   0   0
 1  0            0      4147432        37772      3128432    0    0     0    10  308   71  64  15  25   0   0
 1  0            0      4147432        37772      3128440    0    0     0     7  341   49  69  17  21   0   0
 1  0            0      4147432        37780      3128440    0    0     0     2  338   46  65  18  25   0   0
 2  0            0      4147432        37780      3128440    0    0     0     0  311   53  60  17  20   0   0
 1  0            0      4147432        37788      3128440    0    0     0     2  326   56  54  17  25   0   0
 2  0            0      4147432        37788      3128440    0    0     0     0  324   50  57  18  23   0   0
 0  0            0      4147432        37796      3128440    0    0     0     2  332   45  57  19  22   0   0
 3  0            0      4147432        37796      3128440    0    0     0     0  354   43  51  13  28   0   0
 0  0            0      4147432        37804      3128440    0    0     0     4  328   47  55  13  24   0   0
 2  0            0      4147432        37804      3128440    0    0     0     0  616 1040  59  14  28   0   0
 0  0            0      4147432        37812      3126284    0    0     0     2  803 1828  60  13  26   0   0
