Percentage served,Time in ms
0,0.049
1,0.070
2,0.072
3,0.073
4,0.074
5,0.076
6,0.077
7,0.081
8,0.088
9,0.102
10,0.109
11,0.118
12,0.125
13,0.132
14,0.143
15,0.153
16,0.161
17,0.167
18,0.173
19,0.180
20,0.186
21,0.201
22,0.213
23,0.223
24,0.231
25,0.236
26,0.241
27,0.247
28,0.254
29,0.263
30,0.274
31,0.289
32,0.300
33,0.310
34,0.323
35,0.344
36,0.364
37,0.388
38,0.414
39,0.431
40,0.458
41,0.484
42,0.518
43,0.562
44,0.611
45,0.654
46,0.728
47,0.790
48,0.860
49,0.915
50,0.979
51,1.057
52,1.200
53,1.321
54,1.451
55,1.614
56,1.841
57,2.048
58,2.323
59,2.618
60,2.905
61,3.138
62,3.430
63,3.854
64,4.398
65,4.969
66,5.514
67,6.522
68,7.391
69,8.021
70,8.358
71,8.926
72,10.096
73,11.438
74,12.683
75,14.013
76,15.511
77,18.125
78,20.882
79,24.678
80,27.285
81,29.235
82,31.259
83,33.996
84,35.176
85,38.505
86,46.087
87,53.321
88,73.018
89,112.217
90,188.627
91,433.357
92,443.161
93,457.884
94,469.292
95,478.568
96,488.933
97,503.617
98,527.246
99,550.398
100,577.679
