Percentage served,Time in ms
0,3.953
1,9.712
2,10.183
3,10.901
4,11.295
5,11.972
6,12.679
7,13.832
8,14.912
9,15.357
10,15.554
11,15.658
12,15.933
13,16.132
14,16.340
15,16.639
16,17.089
17,17.345
18,19.459
19,21.244
20,21.435
21,21.553
22,21.666
23,21.939
24,22.332
25,22.503
26,22.562
27,22.674
28,22.778
29,22.943
30,23.144
31,23.493
32,23.793
33,24.158
34,24.776
35,25.178
36,25.389
37,26.049
38,26.852
39,27.783
40,29.750
41,30.689
42,31.286
43,31.469
44,32.028
45,32.337
46,32.548
47,32.639
48,32.790
49,33.258
50,37.238
51,40.984
52,41.264
53,42.008
54,44.626
55,44.763
56,46.921
57,47.100
58,47.989
59,48.402
60,50.743
61,53.974
62,56.233
63,58.143
64,59.914
65,60.958
66,62.406
67,63.825
68,64.553
69,64.983
70,65.264
71,65.381
72,65.852
73,66.953
74,67.635
75,70.473
76,73.252
77,73.499
78,73.948
79,74.302
80,74.842
81,75.348
82,75.528
83,75.669
84,76.096
85,76.596
86,77.117
87,77.680
88,79.371
89,80.549
90,81.376
91,82.950
92,83.634
93,84.324
94,86.088
95,87.791
96,88.364
97,89.786
98,90.939
99,94.494
100,97.925
