K total memory,K used memory,K active memory,K inactive memory,K free memory,K buffer memory,K swap cache,K total swap,K used swap,K free swap,non-nice user cpu ticks,nice user cpu ticks,system cpu ticks,idle cpu ticks,IO-wait cpu ticks,IRQ cpu ticks,softirq cpu ticks,stolen cpu ticks,pages paged in,pages paged out,pages swapped in,pages swapped out,interrupts,CPU context switches,boot time,forks
8150928,274452,71952,146996,7790392,1596,84488,1048572,415200,633372,391152,0,127283,5003487,23592,0,9637,0,64636591,115892580,14230235,28811113,17673629,12636266,1668169826,4242
8150928,276500,71952,154224,7787116,1596,85716,1048572,415188,633384,391647,0,127286,5003993,23593,0,9637,0,64637827,115892580,14230240,28811113,17679254,12637688,1668169826,4244
8150928,276736,71960,154260,7786864,1604,85724,1048572,415172,633400,392138,0,127288,5004503,23593,0,9637,0,64637843,115892592,14230244,28811113,17685035,12639603,1668169826,4246
8150928,276740,71960,154352,7786864,1604,85720,1048572,415172,633400,392614,0,127289,5005029,23593,0,9637,0,64637843,115892592,14230244,28811113,17690412,12640984,1668169826,4248
8150928,276740,71956,154392,7786864,1604,85720,1048572,415172,633400,393120,0,127291,5005517,23593,0,9637,0,64637843,115892592,14230244,28811113,17696087,12642417,1668169826,4250
8150928,276740,71960,154352,7786864,1604,85720,1048572,415172,633400,393645,0,127293,5005993,23593,0,9637,0,64637843,115892592,14230244,28811113,17702190,12644315,1668169826,4252
8150928,276736,71960,154472,7786864,1604,85724,1048572,415160,633412,394206,0,127295,5006407,23593,0,9638,0,64637867,115892592,14230250,28811113,17708530,12645854,1668169826,4254
8150928,276736,71960,154492,7786864,1604,85724,1048572,415160,633412,394695,0,127297,5006924,23593,0,9638,0,64637867,115892596,14230250,28811113,17714077,12647201,1668169826,4256
8150928,276736,71960,154496,7786864,1604,85724,1048572,415156,633416,395188,0,127300,5007425,23593,0,9638,0,64637867,115892596,14230250,28811113,17719887,12648978,1668169826,4258
8150928,276740,71960,154676,7786864,1604,85720,1048572,415156,633416,395618,0,127302,5007996,23593,0,9638,0,64637867,115892600,14230250,28811113,17724862,12650330,1668169826,4260
8150928,276740,71960,154556,7786864,1604,85720,1048572,415156,633416,396171,0,127303,5008447,23593,0,9638,0,64637867,115892600,14230250,28811113,17731297,12652279,1668169826,4262
8150928,276736,71956,154476,7786864,1604,85724,1048572,415152,633420,396609,0,127306,5009012,23593,0,9638,0,64637867,115892600,14230250,28811113,17736412,12653784,1668169826,4264
8150928,276740,71956,154500,7786864,1604,85720,1048572,415152,633420,397158,0,127308,5009466,23593,0,9638,0,64637867,115892600,14230250,28811113,17742670,12655328,1668169826,4266
8150928,276740,71952,154572,7786864,1604,85720,1048572,415152,633420,397632,0,127311,5009993,23593,0,9638,0,64637867,115892600,14230250,28811113,17748143,12656858,1668169826,4268
8150928,276740,71956,154496,7786864,1604,85720,1048572,415148,633424,398148,0,127313,5010478,23593,0,9638,0,64637867,115892600,14230250,28811113,17754156,12658770,1668169826,4270
8150928,276740,71956,154376,7786864,1604,85720,1048572,415148,633424,398645,0,127315,5010983,23593,0,9638,0,64637867,115892600,14230250,28811113,17759762,12660252,1668169826,4273
8150928,276740,71952,154472,7786864,1604,85720,1048572,415148,633424,399133,0,127316,5011496,23593,0,9638,0,64637867,115892600,14230250,28811113,17765334,12661853,1668169826,4275
8150928,276728,71956,154504,7786864,1604,85732,1048572,415140,633432,399623,0,127319,5012006,23593,0,9638,0,64637871,115892600,14230251,28811113,17770891,12663312,1668169826,4277
8150928,276732,71952,154368,7786864,1604,85728,1048572,415136,633436,400131,0,127321,5012497,23593,0,9638,0,64637871,115892600,14230251,28811113,17776570,12664730,1668169826,4279
8150928,276732,71952,154424,7786864,1604,85728,1048572,415136,633436,400635,0,127323,5012994,23593,0,9638,0,64637871,115892600,14230251,28811113,17782274,12666124,1668169826,4281
8150928,276732,71956,154548,7786864,1604,85728,1048572,415132,633440,401164,0,127325,5013465,23593,0,9638,0,64637887,115892600,14230255,28811113,17788400,12667985,1668169826,4283
8150928,276732,71952,154472,7786864,1604,85728,1048572,415132,633440,401658,0,127327,5013972,23593,0,9638,0,64637887,115892600,14230255,28811113,17793975,12669356,1668169826,4285
8150928,276720,71956,154444,7786864,1604,85740,1048572,415116,633456,402160,0,127331,5014468,23593,0,9638,0,64637911,115892600,14230261,28811113,17799788,12670994,1668169826,4287
8150928,276724,71956,154500,7786864,1604,85736,1048572,415116,633456,402680,0,127332,5014949,23593,0,9638,0,64637911,115892600,14230261,28811113,17805645,12672363,1668169826,4289
8150928,278876,73608,143960,7786864,1604,83584,1048572,415116,633456,403184,0,127336,5015443,23593,0,9638,0,64637911,115892600,14230261,28811113,17811544,12674223,1668169826,4291
